username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Mustafa Akgün,@MustafaAkgunArt,2021-06-13T22:12:18.000Z,"Lucifer 

#lucifer #angel #demon #dark #wings #apple #chrome #art #watercolor #mustafaakgün #illustration #love #melek #şeytan #elma #space #uzay #boşluk #cennet #cehennem #paradise #sad #adam #adem",,,,2,"[""['lucifer', 'angel', 'demon', 'dark', 'wings', 'apple', 'chrome', 'art', 'watercolor', 'mustafaakgün', 'illustration', 'love', 'melek', 'şeytan', 'elma', 'space', 'uzay', 'boşluk', 'cennet', 'cehennem', 'paradise', 'sad', 'adam', 'adem']""]"
elindaLeft is 🆁 ight,@Coldsheena,2021-06-01T07:38:45.000Z,"#Teşkilat #Uzay
Merch salesman be like:",,,,,"[""['Teşkilat', 'Uzay']""]"
Socks Fabrikası,@socksfabrikasi,2021-03-17T14:24:08.000Z,"We're going out into space with NASA!
.
#nasasocks #socks #happyfeet #space #spaceswag #spaceresearch #spacetravel #nasa #nasa #uzay #çorap #sockslover #sockstyle #socksoftheday #tarzkombinler",,,,,"[""['nasasocks', 'socks', 'happyfeet', 'space', 'spaceswag', 'spaceresearch', 'spacetravel', 'nasa', 'nasa', 'uzay', 'çorap', 'sockslover', 'sockstyle', 'socksoftheday', 'tarzkombinler']""]"
Ali Tarhan,@aliitarhan,2021-07-11T14:45:18.000Z,Live now   #tekcareuzay  #uzay,"Quote Tweet
Virgin Galactic
@virgingalactic
 · Jul 11
WATCH LIVE: @RichardBranson and crew of mission specialists fly to space on @VirginGalactic’s #Unity22. A new space age is here...  https://twitter.com/i/broadcasts/1YqKDeqvybLGV…",,,,"[""['tekcareuzay', 'uzay']""]"
Fizik Hub,@FizikHub,2021-07-24T00:37:25.000Z,"ESA, Vega roket evrimini 2025'in ötesine taşıyor
#astronomy  #SpaceX #NASA  #physics #fizik #yıldız #star #Dolunay #photography #NaturePhotography #nature #doga #Astrophotography #evren #UNIVERSE #Cosmos #planet #ESA #Europe #avrupa #space #uzay #ajans #agency #vega #Rocket",,1,4,8,"[""['astronomy', 'SpaceX', 'NASA', 'physics', 'fizik', 'yıldız', 'star', 'Dolunay', 'photography', 'NaturePhotography', 'nature', 'doga', 'Astrophotography', 'evren', 'UNIVERSE', 'Cosmos', 'planet', 'ESA', 'Europe', 'avrupa', 'space', 'uzay', 'ajans', 'agency', 'vega', 'Rocket']""]"
Sinan KOÇAK,@sinan_kocak1,2021-07-27T10:47:23.000Z,"26 Temmuz Pazartesi günü Aksaray Bilim Merkezi tarafından Gökyüzü Gözlem Şenliği düzenlendi. Atölye çalışmaları, sunumlar ve teleskoplarla gökyüzü gözlemi yapıldı. Bende bu etkinlikte konuşmacı olarak yer aldım.

Image Credit: 
@BilimAksaray
 

#astronomi #uzay",,,,6,"[""['astronomi', 'uzay']""]"
Livesay ♡,@sinpalabres,2021-07-21T04:46:42.000Z,"Aracın adı:Versiyon 1
Günlük Kontrol:
Aman uzaya kıl düşmesin,bonemizi takalım.
#uzay",,,1,4,"[""['uzay']""]"
Livesay ♡,@sinpalabres,2021-07-21T04:49:08.000Z,"Versiyon 2:
Herkes sessiz olsun.Uzaylıların ruhunu çağırıyoruz.
#Uzay
#JeffBezos",,1,1,6,"[""['Uzay', 'JeffBezos']""]"
Flâneur,@LumeninCaelo,2021-07-26T14:59:21.000Z,#lider #çay #uzay #uzaylı #karikatür,,,1,6,"[""['lider', 'çay', 'uzay', 'uzaylı', 'karikatür']""]"
Eğitimde Astrofizik & Yapay Zekâ - AstroAI for Edu,@astro_education,2021-07-12T16:31:16.000Z,"@astronomTurk
 :'Dünya dışı yaşam burnumuzun dibinde olabilir!' 
@hrumedya
 @USEmbassyTurkey
 @Mehmet_s_celik
 @HarusemHarran
 @AhmetGocen3
 

#astrofizik #uzay #YapayZeka",,,2,12,"[""['astrofizik', 'uzay', 'YapayZeka']""]"
