username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
My World of TOYS,@capecoraldwells,2021-08-08T00:06:44.000Z,"#STARWARS 
Second Turkish bootleg would be the one with the calculator.    #UZAY",,11,14,108,"['STARWARS', 'UZAY']"
My World of TOYS,@capecoraldwells,2021-08-07T23:59:16.000Z,"#STARWARS 
If I got to pick only one Turkish bootleg it would definitely be this one…. love this card…. #UZAY",,2,3,46,"['STARWARS', 'UZAY']"
Evrenin Kaşifi,@kasifievrenin,2021-08-08T16:39:23.000Z,"Senin favorin hangisi?  

: IG a_guy_named_eric

#planet #galaxy #galaxies #universe #telescope #cosmos #nebula #nightsky #blackhole #star #astrology #haber #sondakika #sondakikahaberleri #evren #bilim #uzay #karadelik #dünya #nature #milkywaychasers #astrophotography",,1,,3,"['planet', 'galaxy', 'galaxies', 'universe', 'telescope', 'cosmos', 'nebula', 'nightsky', 'blackhole', 'star', 'astrology', 'haber', 'sondakika', 'sondakikahaberleri', 'evren', 'bilim', 'uzay', 'karadelik', 'dünya', 'nature', 'milkywaychasers', 'astrophotography']"
Arzuu,@Arzuu16012051,2021-08-11T15:37:51.000Z,"Daha Satürn'ün halklarına oturup ayaklarımızı sallandırcaktık... 
#uzay",,,,1,['uzay']
Orta Dünya'nın karanlık kraliçesi,@ipek_aydogmus,2021-08-11T16:22:40.000Z,Gelse bile biz görür muyuz? Görsek bile paramız olur mu? Coğrafya kaderdir. #Uzay,,,,4,['Uzay']
Hasan Ali Dal,@hsnldl,2021-08-12T21:11:34.000Z,"Bu gece ve yarın gece gökyüzüne dikkatli bakın... Belki ateş-topu (#fireball) şeklinde bir göktaşı görürsünüz, kameranız yanınızda olsun, çünkü #PerseidMeteorYağmuru en görkemli günlerini yaşıyor...

#Astronomi #Meteor #Göktaşı #Gökyüzü #Uzay
@EUObservatory
 @Yoldas_Ezgi",,,1,4,"['fireball', 'PerseidMeteorYağmuru', 'Astronomi', 'Meteor', 'Göktaşı', 'Gökyüzü', 'Uzay']"
Metin O. Kaya,@moderninovasyon,2021-08-08T16:13:17.000Z,"Türkiye'nin ses hızının 4 katına ( 4 Mach) kadar çıkan rüzgar tünelinin #İTÜ #Uçak ve #Uzay Bilimleri fakültesinde olduğunu biliyor muydunuz? Yaklaşık 30 yıldır  Türkiye'nin sesüstü projelerine (füze, uçak vb) büyük  destek veriyoruz.",,1,5,50,"['İTÜ', 'Uçak', 'Uzay']"
Teknoloji Gündem,@teknolojigndm,2021-08-08T13:23:00.000Z,Uzay yolculuğunun bilet fiyatları belli oldu #uzay #virgingalactic - https://teknolojigundem.com/haber/uzay-yolculugunun-bilet-fiyatlari-belli-oldu/1591825…,,,2,3,"['uzay', 'virgingalactic']"
Uzay Kampı Türkiye,@Uzay_Kampi,2021-08-12T13:00:02.000Z,"Perseid Göktaşı Yağmuru'nun en yoğun olduğu zamanı kaçırmayın!
#uzay #uzaybilimleri #gözlem #dünya #meteor   #meteoryağmuru #kaçırma #uzaydanhaberler #PerseidMeteorYağmuru #perseid #meteor #asteroid #uzaykampi #kesfet  #uzaykampiturkiye  #Perseid #kuyrukluyıldız #takımyıldızı",,,2,10,"['uzay', 'uzaybilimleri', 'gözlem', 'dünya', 'meteor', 'meteoryağmuru', 'kaçırma', 'uzaydanhaberler', 'PerseidMeteorYağmuru', 'perseid', 'meteor', 'asteroid', 'uzaykampi', 'kesfet', 'uzaykampiturkiye', 'Perseid', 'kuyrukluyıldız', 'takımyıldızı']"
NouvArt,@Nouva_Art,2021-08-07T16:21:02.000Z,"Ayılar Cehennemi | Kenan Yaşar
@Kropatra
 #içerik #hayat #teknoloji #uzay #insan","Ayılar Cehennemi
Nedir uyku denen şey? Birkaç saate sıkıştırılan bir eylemsizlik hâli mi, yoksa birkaç saat gibi belirli bir süreci kapsayan, ama tanımlama gereği duyulmayan bir zaman dilimi mi? Belki de zaman...
nouvart.net",,4,6,"['içerik', 'hayat', 'teknoloji', 'uzay', 'insan']"
INFINIA Mühendislik,@INFINIA_Muh,2021-08-06T14:30:37.000Z,"Kızılötesi teleskop çeşitleri hangileridir?
Kızılötesi teleskoplar yer tabanlı, havadan veya uzay teleskopları olabilir.
#infinia #infiniamühendislik #kızılötesiteleskoplar #teleskop #yertabanlı #havakaynaklı #uzay",,,,,"['infinia', 'infiniamühendislik', 'kızılötesiteleskoplar', 'teleskop', 'yertabanlı', 'havakaynaklı', 'uzay']"
BeyanKuran,@BeyanKuran,2021-08-06T15:42:58.000Z,"Haşr 1
Göklerdeki ve yerdeki her şey Allah'ı tespih etmektedir. O, mutlak güç sahibidir, hüküm ve hikmet sahibidir.

#islam #allah #kuran #kuranıkerim #quran #holyquran #ayet #sure 
#haşr #haşrsuresi #haşir #yenidendoğuş 
#gök #yer #hikmet 
#uzay #dünya #yeryüzü",,,,,"['islam', 'allah', 'kuran', 'kuranıkerim', 'quran', 'holyquran', 'ayet', 'sure', 'haşr', 'haşrsuresi', 'haşir', 'yenidendoğuş', 'gök', 'yer', 'hikmet', 'uzay', 'dünya', 'yeryüzü']"
