username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
G Plus,@guwahatiplus,2021-08-12T16:17:32.000Z,"#VIDEO | CM Himanta Biswa Sarma and MLA Akhil Gogoi had a spirited exchange in the #Assam Assembly on Wednesday. 

Watch full video: https://youtu.be/qCjJdSG4kK8","2:18
720 views",3,1,29,"['VIDEO', 'Assam']"
Park Jihoon Brasil #MyCollection,@JihoonBrasil,2021-08-12T09:38:16.000Z,"[#VIDEO] 12.08.21 - Assista ao MV de Gallery by Park Jihoon

 https://youtube.com/watch?v=_n_wnZVSOYQ…
 
 #GalleryByParkJihoon
 #박지훈과시선을맞춰_갤러리 

#박지훈 #ParkJihoon 
@Park_Jihoon_twt
#MyCollection  #Gallery","박지훈(PARKJIHOON) 'Gallery' M/V
박지훈(PARKJIHOON) 'Gallery' M/VOfficial Page : http://park-jihoon.co.kr/pages/Official Fancafe : http://cafe.daum.net/park-jihoonOfficial Twitter : https://twi...
youtube.com",,10,16,"['VIDEO', 'GalleryByParkJihoon', '박지훈과시선을맞춰_갤러리', '박지훈', 'ParkJihoon', 'MyCollection', 'Gallery']"
Blueberry Pictures,@blueberrypics,2021-08-12T18:01:30.000Z,"A still from a #video shoot we done for our clients website. According to HubSpot, including video on a #landingpage can increase conversions by 80%! ",,,,2,"['video', 'landingpage']"
Ssharad Malhotra Fc,@SsharadF,2021-08-13T09:01:27.000Z,"#SsharadMalhotra #SharadMalhotra 
@SHARADSMALHOTR1
#recent #offscreen #pics #stills on #sets of #music #video #IdharDekho #behindthescenes  
Keep streaming---> https://m.youtube.com/watch?v=yFjYxDnsHGA…",SM ~ Sharad Malhotra09,,12,18,"['SsharadMalhotra', 'SharadMalhotra', 'recent', 'offscreen', 'pics', 'stills', 'sets', 'music', 'video', 'IdharDekho', 'behindthescenes']"
Saudi Gazette,@Saudi_Gazette,2021-08-11T20:30:00.000Z,"#VIDEO: Today’s top news headlines.

Check http://SaudiGazette.com.sa for the latest updates

by 
@AljoharaZarea",,1,57,74,['VIDEO']
IndiaToday,@IndiaToday,2021-08-12T04:35:09.000Z,#Video: Parliament's Monsoon Session concludes before scheduled date. Here's why!,"Parliament's Monsoon Session concludes 2 days ahead of schedule
The tumultuous Monsoon session of Parliament was on Wednesday curtailed by two days.
indiatoday.in",,2,4,['Video']
IndiaToday,@IndiaToday,2021-08-12T15:26:31.000Z,"As South supertar #MaheshBabu turns 46, here are a few of his must-watch movies. 
#Video","Mahesh Babu Films You Can Binge Watch
As south superstar Mahesh Babu turns 46, here are some of his films that you can revisit and binge watch.
indiatoday.in",,2,11,"['MaheshBabu', 'Video']"
ONF Brasil,@ONOFFBrasil,2021-08-12T12:50:40.000Z,"#VIDEO •  | 12.08.21 Confira a performance de ‘Popping’ no Mcountdown! 

 http://youtu.be/-_O5z_1Sjaw 
@WM_ONOFF
 #온앤오프 #ONF",,,4,9,"['VIDEO', '온앤오프', 'ONF']"
Martin Tobias Lithner,@LithnerTobias,2021-08-12T17:11:02.000Z,"2nd volume of recorded poetry from my first book 
published (2011) - Available for the first time in HQ.

https://youtube.com/watch?v=1C6hLlyuLyM…
 
#Lithner #YouTube #poetry #poems #firstbook #10thAnniversary #English #profound #avantgarde #visual #music #video #book #ebook #reflections","Martin Tobias Lithner - Reflections of Insanity (10th Anniversary -...
Reflections of Insanity 10th Anniversary - Vol IIPoetry by Martin Tobias Lithner (© 2011)@LithnerTobias""Non solum ambulabit in tenebris, sed complectere...""#...
youtube.com",,14,14,"['Lithner', 'YouTube', 'poetry', 'poems', 'firstbook', '10thAnniversary', 'English', 'profound', 'avantgarde', 'visual', 'music', 'video', 'book', 'ebook', 'reflections']"
KoTana-Poltergeist,@XelbotKTart,2021-08-11T07:29:32.000Z,"For 
@senaslibrary
 
Video - https://youtu.be/lbpe7znoUsA 

#art #fanart #commission #digitalart #Video",,,3,8,"['art', 'fanart', 'commission', 'digitalart', 'Video']"
Krys K,@sheisKrysK,2021-08-13T10:55:59.000Z,"Added a new video: ""Kiss"" https://reverbnation.com/q/7v1v48 #video","Krys K | ReverbNation
R&B/Soul music, lyrics, and videos from Antioch, CA on ReverbNation
reverbnation.com",,,,['video']
Nurse Educator,@NEjournalonline,2021-08-11T13:00:03.000Z,"""Interprofessional Course on Trauma-Informed Care"" Fiske used a systematic instructional design process and an interprofessional approach to design and deliver the course. https://bit.ly/3Cmt7oA #Video https://bit.ly/3lrr1xM",,,,3,['Video']
IndiaToday,@IndiaToday,2021-08-12T06:07:24.000Z,"In conversation with #Shershaah team.
#Video","Shiv Panditt, Nikitin Dheer, Shataf Figar on Shershaah and how it was working with Sidharth and...
In an exclusive chat with IndiaToday.in, Nikitin Dheer, Shiv Panditt and Shataf Figar opened up about what it was like to play the role of an Army officer and how it was like working with Sidharth...
indiatoday.in",,2,7,"['Shershaah', 'Video']"
EMCd,@emcdeurope,2021-08-13T10:36:33.000Z,"Over the past year we have been involved in such a wide variety of projects so we have decided to invest in some new equipment to reflect this.
So this new toy arrived today, any guesses in which circumstances this 200-600mm lens would be used for?
#photography #video #Shropshire",,,,,"['photography', 'video', 'Shropshire']"
Terry Livesey,@terrylivesey,2021-08-13T11:12:15.000Z,VIDEO TIP   #videotip #video,,,,,"['videotip', 'video']"
@QUAN_THE_DON313,@QUAN_THE_DON313,2021-08-11T02:09:57.000Z,"Added a new video: ""QUAN THE DON313-PANDEMIC 2 BANDEMIC(Dir x Flatline of DroneGodz Cinema)8K Visual"" https://reverbnation.com/q/7v0kl0 #video","QUAN THE DON313 | ReverbNation
Rap music, lyrics, and videos from Detroit, MI on ReverbNation
reverbnation.com",,,1,['video']
Mischiefox,@mischiefox,2021-08-13T11:08:01.000Z,"I'm #streaminglive right now at:
https://twitch.tv/mischiefox_

Come check out the den!

#twitch #gamer 
#youtube #streamer
#twitchstreamer 
#live #streaming
#supportsmallstreamers 
#gaming #stream 
#livestream #video","@mischiefox | Linktree
Linktree. Make your link do more.
linktr.ee",,9,3,"['streaminglive', 'twitch', 'gamer', 'youtube', 'streamer', 'twitchstreamer', 'live', 'streaming', 'supportsmallstreamers', 'gaming', 'stream', 'livestream', 'video']"
Maggie Quijada,@MaggieQuijada,2021-08-12T03:40:04.000Z,"Back in the office- feels great. But, why is the world still using video after return to office? Never used video before pandemic, it was called a conference calls and worked great. #video-makeup #messy-office #zoom fatigue #returntooffice",,1,,3,"['video', 'messy', 'zoom', 'returntooffice']"
Dianna Wright,@MsDi70,2021-08-13T12:01:03.000Z,"Video consumption increased overwhelmingly during the pandemic, leading marketers to feel more positive about the return on investment offered by video marketing. #TV #OTT #CTV #video #EffectvEmp https://bit.ly/37CpBbw",,,,,"['TV', 'OTT', 'CTV', 'video', 'EffectvEmp']"
Black Box International,@BlackBoxEMEA,2021-08-12T13:00:05.000Z,How do you find the best #video #adapter for you? Choose from our wide selection most suitable for your daily video source to display connections here: https://bit.ly/3AyviDV,,,,1,"['video', 'adapter']"
Sangita,@SangitaE007,2021-08-12T17:47:16.000Z,"I will be making more #tutorials for beginner artists along with my own #learning 
#Video is fun format to play with.
#ArtistOnTwitter #DaVinciResolve",,,,5,"['tutorials', 'learning', 'Video', 'ArtistOnTwitter', 'DaVinciResolve']"
J Groove Don,@JGrooveDon1,2021-08-12T10:21:29.000Z,"Added a new video: ""SELECTA REUBEN MY LIFE MY LIFE RIDDIM  PRODUCE BY SELECTA REUBEN J G R"" https://reverbnation.com/q/7v197v #video","J GROOVE DON | ReverbNation
Reggae music, lyrics, and videos from Cape Town, WC, ZA on ReverbNation
reverbnation.com",,,,['video']
Danny Tommy,@dannytommymusic,2021-08-10T23:37:02.000Z,"Added a new video: ""Come Back (Danny Tommy)"" https://reverbnation.com/q/7v0i6g #video","Danny Tommy | ReverbNation
Christian/Gospel music, lyrics, and videos from Atlanta, GA on ReverbNation
reverbnation.com",,,,['video']
