username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Kawamalo,@VaiyolotaIX,2021-08-05T19:40:09.000Z,"they as kids, there's nothing else to say.  

#kawaki #sumire #water #fire #nue #goldfish #kawasumi #children #memories #boruto",,2,38,166,"['kawaki', 'sumire', 'water', 'fire', 'nue', 'goldfish', 'kawasumi', 'children', 'memories', 'boruto']"
Phys.org,@physorg_com,2021-08-06T14:17:53.000Z,"Environmental impact of bottled #water up to 3,500 times higher than #tapwater 
@ISGLOBALorg","Environmental impact of bottled water up to 3,500 times higher than tap water
What is the best option for individual water consumption if we take into account both health and environmental impacts? The answer to that question, according to a new study led by the Barcelona...
phys.org",,29,37,"['water', 'tapwater']"
Rachel Toll,@Elidanza,2021-08-06T07:04:06.000Z,"Take me down to the sea again....
Happy Friday x

#watercolour #watercolourpainting #seascape #beachdays #movement #waves #sea #sky #painting #waves #surf #Cornwall #seaside #light #water #paint #BigArtBoost #thedailysketch #blues #clouds #sunlight #seasalt #artist #art #dusk",,3,29,190,"['watercolour', 'watercolourpainting', 'seascape', 'beachdays', 'movement', 'waves', 'sea', 'sky', 'painting', 'waves', 'surf', 'Cornwall', 'seaside', 'light', 'water', 'paint', 'BigArtBoost', 'thedailysketch', 'blues', 'clouds', 'sunlight', 'seasalt', 'artist', 'art', 'dusk']"
Humanity First International,@HFI1995,2021-08-06T06:30:44.000Z,HF team in #IvoryCoast is rehabilitating village #water hand-pumps in the country this month,,,16,36,"['IvoryCoast', 'water']"
Guido Strambio,@guido_str,2021-08-05T16:03:34.000Z,"Fluid building, art print on 
@FineArtAmerica
  https://fineartamerica.com/featured/fluid-building-guido-strambio.html?product=art-print…
#building  #reflection  #abstract  #water  #ripples",,,15,15,"['building', 'reflection', 'abstract', 'water', 'ripples']"
Mercilessjun,@mercilessjun,2021-08-07T04:53:31.000Z,"Missing the rocks and water

#rocks #water #sunset #photography",,,3,7,"['rocks', 'water', 'sunset', 'photography']"
DuPont Water Solutions,@DuPontWater,2021-08-06T12:08:01.000Z,"Did you know that water makes up 90% of your favorite beer?

On #InternationalBeerDay, raise a glass to the foundation of your favorite brew: #Water.",,,3,5,"['InternationalBeerDay', 'Water']"
marybethmccabe,@marybethmccabe,2021-08-12T02:51:40.000Z,Do you fill up your water in every airport? What airport is your best? #water #drink #health,,,1,5,"['water', 'drink', 'health']"
K. A. Stefan Svensson,@Sherringford56,2021-08-06T19:37:58.000Z,"Good night, all friends, sleep well and safe! Today's sunset over Lake Mälaren. #sunset #SunsetSky #sunsetphotography #skies #water #Mälaren #LakeMälaren #Stockholm #BeautifulStockholm #urbanphotography #NaturePhotography",,1,1,90,"['sunset', 'SunsetSky', 'sunsetphotography', 'skies', 'water', 'Mälaren', 'LakeMälaren', 'Stockholm', 'BeautifulStockholm', 'urbanphotography', 'NaturePhotography']"
Opepraiz,@iamopepraiz,2021-08-07T04:05:17.000Z,"Life of an oceanographer, somewhere In the Pacific Ocean 

#oceanography #water #ocean #sea #pacific",,,,4,"['oceanography', 'water', 'ocean', 'sea', 'pacific']"
David Cokeley,@DavidCokeley3,2021-08-06T00:55:27.000Z,In the New River Gorge National Park…… #NationalParks #stream #outdoors #adventure #nature #NaturePhotography #photographer #photograghy #water,,,,13,"['NationalParks', 'stream', 'outdoors', 'adventure', 'nature', 'NaturePhotography', 'photographer', 'photograghy', 'water']"
Athenea,@AtheneaAtenea,2021-08-11T13:42:28.000Z,"Water that you should not drink, let it pass.
#snowballpower #Thaw #Water #Bath",,1,72,126,"['snowballpower', 'Thaw', 'Water', 'Bath']"
J Davies,@jdaviesarts,2021-08-05T12:23:30.000Z,"Original jaw series no 2. Watercolour and ink on arches paper 19 x 14 cm, maximal surreal things JDavies artworks archive. #artist #arts #watercolour #water paper #acrylic #ink #flowers #painting #contemporary # linen #gallery #rotherham #art scene #surreal",,5,25,131,"['artist', 'arts', 'watercolour', 'water', 'acrylic', 'ink', 'flowers', 'painting', 'contemporary', 'gallery', 'rotherham', 'art', 'surreal']"
Gregory Thanos,@GregoryThanos,2021-08-06T16:35:40.000Z,"Waterfire

#landscape #nature #landscapephotography #naturephotography #naturephotographer #landscapephotographer #naturelovers #landscapelovers  #outdoorphotography #sunset #sunsetphotography #colours #water #abstractphotography #Abstract #photography #photographer #abstractart",on_landscape and 9 others,,,9,"['landscape', 'nature', 'landscapephotography', 'naturephotography', 'naturephotographer', 'landscapephotographer', 'naturelovers', 'landscapelovers', 'outdoorphotography', 'sunset', 'sunsetphotography', 'colours', 'water', 'abstractphotography', 'Abstract', 'photography', 'photographer', 'abstractart']"
