username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Ahmet Çolakbayrakdar,@ahmetclkbyrkdr,2018-12-07T05:57:24.000Z,"Vatandaşlarımıza daha hızlı ve verimli hizmet verebilmek için #ÇözümMerkezi Alo Whatsapp Hattımız hizmete girmiştir.
03522227000 numaralı Whatsapp hattımızdan Çözüm Merkezimize ulaşabilirsiniz.
#Kocasinan #KocasinanBelediyesi #Kayseri #Whatsapp #WhatsappHattı",Kocasinan Belediyesi,,,14,"['ÇözümMerkezi', 'Kocasinan', 'KocasinanBelediyesi', 'Kayseri', 'Whatsapp', 'WhatsappHattı']"
Başkent Üniversitesi,@baskentunv,2020-08-10T15:15:05.000Z,"Başkent Üniversitesi Online Tanıtım Günlerinde Whatsapp hattımız ile de yanınızdayız
#başkentüniversitesi #yks2020 #bilim #yükseköğretim #üniversite #adayöğrenciler #ankara #bilimbizdetoplanırbizdenyayılır #whatsapp #whatsapphattı",,,2,7,"['başkentüniversitesi', 'yks2020', 'bilim', 'yükseköğretim', 'üniversite', 'adayöğrenciler', 'ankara', 'bilimbizdetoplanırbizdenyayılır', 'whatsapp', 'whatsapphattı']"
sankouniversitesi,@sankouniversite,2021-07-21T11:30:00.000Z,"Üniversitemiz hakkında ayrıntılı bilgilere, +90 530 919 27 65 numaralı Whatsapp İletişim hattımızdan ulaşabilirsiniz.
#sankoüniversitesi #sanko #eğitim #sağlık #tıpfakültesi #sağlıkbilimlerifakültesi #lisansüstüeğitimenstitüsü #sağlıkhizmetlerimeslekyükseokulu #Whatsapphattı",,,1,2,"['sankoüniversitesi', 'sanko', 'eğitim', 'sağlık', 'tıpfakültesi', 'sağlıkbilimlerifakültesi', 'lisansüstüeğitimenstitüsü', 'sağlıkhizmetlerimeslekyükseokulu', 'Whatsapphattı']"
Kocasinan Belediyesi,@KocasinanBld,2018-12-05T07:37:54.000Z,"Kocasinan Belediyesi Çözüm Merkezi Whatsapp'ta 7/24 hizmetinizde! 
03522227000 numaralı Whatsapp hattımızdan Kocasinan Belediyesi'ne ulaşabilirsiniz.
#Kocasinan #KocasinanBelediyesi #Kayseri #Whatsapp #WhatsappHattı",,1,1,4,"['Kocasinan', 'KocasinanBelediyesi', 'Kayseri', 'Whatsapp', 'WhatsappHattı']"
Gebze Belediyesi,@gebze_belediye,2018-11-20T06:58:11.000Z,"Bize ulaşmak çok kolay! 7/24 aktif hizmet hattı ile görüşleriniz, istekleriniz, önerileriniz için bir telefon mesafesindeyiz. 

#WhatsApphattı #çözümcepte #gebzebelediyesi",,1,1,8,"['WhatsApphattı', 'çözümcepte', 'gebzebelediyesi']"
Ali Engin,@chpaliengin,2020-11-19T14:37:36.000Z,"Bir telefon uzağınızdayız!  0553 0 376 000 numaralı telefondan ilçemiz hakkında sorularınız, dilek ve şikayetleriniz için bizlere ulaşabilirsiniz.

#izmir #narlıdere #narlıderebelediyesi #whatsapp #whatsapphattı",,1,1,3,"['izmir', 'narlıdere', 'narlıderebelediyesi', 'whatsapp', 'whatsapphattı']"
BBP Karacasu İlçe Başkan Vekili,@KaracasuT,2020-02-27T01:04:06.000Z,"#Karacasu #Kültür #turizm #Tanıtım #Derneği olarak,İlçemizdeki #etkinlik lerinizde,kaliteli ve uygun fiyatlı hizmet ve artı ücretsiz avantajlardan yaralanmak istiyorsanız ? #Karacasu'yu Bana sor #whatsapphattı +905424890609,#Mail karkulturder@yandex.com.",,,,1,"['Karacasu', 'Kültür', 'turizm', 'Tanıtım', 'Derneği', 'etkinlik', 'Karacasu', 'whatsapphattı', 'Mail']"
İnterAjans,@InterAjans_nl,2017-02-24T12:29:06.000Z,"http://interajans.nl/hasta-sikayetleri-icin-whatsapp-hatti/…
#hastaşikayetleri #whatsapphattı",,,,,"['hastaşikayetleri', 'whatsapphattı']"
Gebze Belediyesi,@gebze_belediye,2018-06-27T05:58:37.000Z,"Görüşleriniz, istekleriniz, önerileriniz bizim için değerlidir dedik, çözümü cebinize getirdik. 
7/24 aktif WhatsApp hizmet hattı sizi bize ulaştırıyor. 
#WhatsApphattı #çözümcepte #gebzebelediyesi",,1,2,5,"['WhatsApphattı', 'çözümcepte', 'gebzebelediyesi']"
Gen SüperMarket,@GenSupermarket,2019-02-18T14:34:21.000Z,#arimarmarket #genmarket #telefonsiparis #whatsapphatti #geniletisim #kapidaödeme #kontöryukleme #acilsipariș,,,1,1,"['arimarmarket', 'genmarket', 'telefonsiparis', 'whatsapphatti', 'geniletisim', 'kapidaödeme', 'kontöryukleme', 'acilsipariș']"
