username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Our Watch,@OurWatchAus,2021-08-11T06:33:35.000Z,"TAFEs are key settings in creating a society that is free from violence, as they play a significant role in our #community. We've produced a range of tools to support TAFEs in building an environment that encourages #equal treatment and value of #women. https://bit.ly/37k9PlC",,5,84,275,"['community', 'equal', 'women']"
Edge Growth,@Edge_Growth,2021-08-09T15:17:37.000Z,"Wishing all our passionate and purposeful powerhouse women of Edge Growth and the rest of South Africa a very Happy Women’s Day! 
Photographed are just a few of the inspiring and accomplished women that we are lucky enough to work with. Here’s to you! 

#women #womensday",,,2,7,"['women', 'womensday']"
raihne_echosoul,@raihne_echosoul,2021-08-08T05:19:33.000Z,"I am a woman initiated through life

I welcome the expansion that is meant for my evolution 

#women #intiation #mindbodysoul #sensual #empower",,6,31,386,"['women', 'intiation', 'mindbodysoul', 'sensual', 'empower']"
PACJA,@PACJA1,2021-08-09T06:46:06.000Z,Charles Mwangi: #ClimateChange does not affect everyone the same way. #Women most affected. Particularly those in arid and semi arid areas,,,10,19,"['ClimateChange', 'Women']"
Leibythesea,@leibythesea,2021-08-10T07:47:51.000Z,Sia and I have established friendly relations with our Tauvu from Vanua Levu. Now everyone in Tailevu and Lomaiviti can be friends with them.  #Fijian #women,,,,16,"['Fijian', 'women']"
Esri South Africa,@EsriSouthAfrica,2021-08-09T09:20:19.000Z,Esri South Africa wishes you a happy women's day! #WomensDay #Women,,,2,1,"['WomensDay', 'Women']"
Rachel Thompson | Broken People out now | VOICE,@RachelintheOC,2021-08-10T06:55:03.000Z,"“Forever is composed of nows.”

~ Emily Dickinson 

#Survivors #Women #Healing",,,11,6,"['Survivors', 'Women', 'Healing']"
katie kadue,@kukukadoo,2021-08-11T21:26:31.000Z,"cuomo‘s out, i’m in ithaca… a great week for #women in new york state",,4,,68,['women']
Sahar Munir,@SaharMunir2,2021-08-11T03:42:11.000Z,I CAN'T CRITCIZE THEM FOR SHOWING A WOMEN INCAPACITATED BECAUSE  A WOMAN IS HELPLESS IN THIS COUNTRY AND THEY JUST DEPICT OUR SOCIETY. #women #pakistan,,,,2,"['women', 'pakistan']"
Riley,@ryegarfield,2021-08-11T02:05:44.000Z,This is my first custom keyboard #keyboard #women,,1,,3,"['keyboard', 'women']"
Queen Vandal,@mandisakay88,2021-08-07T23:13:02.000Z,"For us women we are Queens of our own creations..#Queen_Vandal

#Women's month ",,,,3,"['Queen_Vandal', 'Women']"
Humanics,@humanicsgroup,2021-08-12T12:20:03.000Z,"The figures on the #gender distribution of victims of forced labor show that nearly 32% of the victims are #women, especially in #agriculture, #forestry, and #fishing. 

#Women 
#GengerEquality 
#Agriculture 
#Forestry 
#Fishing 
#humanics",,,3,3,"['gender', 'women', 'agriculture', 'forestry', 'fishing', 'Women', 'GengerEquality', 'Agriculture', 'Forestry', 'Fishing', 'humanics']"
Zarqa,@Zarqa49026100,2021-08-13T11:05:45.000Z,"This week we mixed it up...Under 13s Girls v Ladies 
@FugitivesCC
 Really nice to welcome some new ladies too. Here's a snapshot of 'some' of those who took part #women #girls #cricket",,,,,"['women', 'girls', 'cricket']"
Gary Palmer,@Gary_Paragon,2021-08-09T07:30:19.000Z,"To all the #amazing #women of South Africa. 
Happy WOMEN'S DAY!
#womensday",,,,1,"['amazing', 'women', 'womensday']"
