username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Ichie Craze,@denzel_joker,2021-08-10T09:33:42.000Z,"So someone needed an answer to how to achieve this well let's say this was what made me able to now downvote answers. 
.
#yaay 

I like that in my little way, I've been able to contribute to the 
@FlutterDev
 on a community level.",,,2,5,['yaay']
FiveStars Africa,@5StarsAfrica,2021-07-25T08:59:48.000Z,"Cheers to progress and growth #yaay We're up & running at sports planet junction and westgate malls. Visit us for your cycling and sport accessories. #businessgrowth #womenentrepreneurs 

#fivestarsafrica #outofafrica #business #businesswomen #entrepreneur #proudlykenyan #kenya",,2,3,9,"['yaay', 'businessgrowth', 'womenentrepreneurs', 'fivestarsafrica', 'outofafrica', 'business', 'businesswomen', 'entrepreneur', 'proudlykenyan', 'kenya']"
Shanganani Ndzinge,@B_Boyce,2021-06-07T17:55:12.000Z,And we're off to change another life.. #hummingbirdcake #cake #smile #happiness #changingtheworldonecakeatatime #birthday #yaay,,,,2,"['hummingbirdcake', 'cake', 'smile', 'happiness', 'changingtheworldonecakeatatime', 'birthday', 'yaay']"
Newbridge Connect,@AfricaNewbridge,2021-07-26T09:07:29.000Z,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary #yaay,,,,2,"['MyTwitterAnniversary', 'yaay']"
Scorpio,@Scorpio58266667,2021-03-26T01:28:17.000Z,"I downloaded Bumble, heeee it's yellow  #yaay",,,,7,['yaay']
Nana. O,@taaannnaaa_,2021-05-23T16:28:47.000Z,so i finally went out today and..... #accomplishments ? #yaay ?,,,,,"['accomplishments', 'yaay']"
Vanilla Fringe Boutique,@vanilla_fringe,2021-02-20T15:28:01.000Z,"We’re back!  We’re open regular hours today Babes, 10 - 4! We’ve missed you and can’t wait to see your beautiful faces!! 

#WereOpen #Yaay #ComeShop #LetsGoShopping #BoutiqueShopping #TexasBusiness #OpenForBusiness #VanillaFringeBoutique",,,,,"['WereOpen', 'Yaay', 'ComeShop', 'LetsGoShopping', 'BoutiqueShopping', 'TexasBusiness', 'OpenForBusiness', 'VanillaFringeBoutique']"
A Dining Diva,@adiningdivallc,2021-03-19T23:46:42.000Z,"Foodie Friday! #yaay 
We had the pleasure to meet @cheftoddrichards and @chefjoshualee at their location @lakeandoakbbq 

Can we tell you EVERYTHING, and we mean EVERYTHING is awesome. 

#adiningdiva #hineshospitality #BBQ #atlantarestaurants #barbecue",,,,,"['yaay', 'adiningdiva', 'hineshospitality', 'BBQ', 'atlantarestaurants', 'barbecue']"
Go Get Data,@getdata_,2021-03-10T01:31:00.000Z,We finally on the 'gram: https://instagram.com/gogetdata/  #yaay #showlove,,,,1,"['yaay', 'showlove']"
turgutucbas,@turgutucbas2,2021-08-11T07:01:00.000Z,"Wu Just  this view in Balat ! İstanbul Turkey
komedi #komik #komikvideo #mizah #mizahtürkiye #komiktv #yaay #video #kiz #haha #istanbul #turizm #eglence #spor #oyun #hayvanlar #saglik #türkiye #guzel #günaydın #sevgi #yaaysaati #kiz #genç #fun #hayırlısabahlar",,,1,1,"['komik', 'komikvideo', 'mizah', 'mizahtürkiye', 'komiktv', 'yaay', 'video', 'kiz', 'haha', 'istanbul', 'turizm', 'eglence', 'spor', 'oyun', 'hayvanlar', 'saglik', 'türkiye', 'guzel', 'günaydın', 'sevgi', 'yaaysaati', 'kiz', 'genç', 'fun', 'hayırlısabahlar']"
