username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
turgutucbas,@turgutucbas2,2021-06-22T13:51:19.000Z,"As the day fades away, discover the magic of Istanbul by night 
#komedi #komik #komikvideo #mizah #mizahtürkiye #komiktv #yaay #video #kiz #haha #istanbul #turizm #eglence #spor #oyun #hayvanlar #saglik #türkiye #guzel  #sevgi #yaaysaati #kiz  #fun #",,,,,"['komedi', 'komik', 'komikvideo', 'mizah', 'mizahtürkiye', 'komiktv', 'yaay', 'video', 'kiz', 'haha', 'istanbul', 'turizm', 'eglence', 'spor', 'oyun', 'hayvanlar', 'saglik', 'türkiye', 'guzel', 'sevgi', 'yaaysaati', 'kiz', 'fun']"
@officialkay_gii,@officialkay_gii,2021-04-12T13:15:13.000Z,"Every body need to do your own thing, this song is very nice song, so guys watch out, #next t empire, #teamkaygii,#sarkodie #davido #WizkidXDavido #Wizkidfc #wizkhalifa #Yaaysaati #eMteeLOGAN #FromTheVault #IPLLeagueDeewanoKi #kwadwosheldon",,,,,"['next', 'teamkaygii', 'sarkodie', 'davido', 'WizkidXDavido', 'Wizkidfc', 'wizkhalifa', 'Yaaysaati', 'eMteeLOGAN', 'FromTheVault', 'IPLLeagueDeewanoKi', 'kwadwosheldon']"
Arda Keser,@ArdaKes70507048,2021-03-11T21:27:38.000Z,"Aga bee 
#cağrı #survivorpanorama #survivor2021 #yaaysaati",,,1,1,"['cağrı', 'survivorpanorama', 'survivor2021', 'yaaysaati']"
𝐈𝐍𝐒𝐓𝐀𝐕𝐈𝐕𝐎𝐑,@instavivor,2021-04-01T17:41:18.000Z,"Demir mıknatısa âşıktır, hep ona doğru koşar. Zafer de sabra âşıktır ve devamlı ona koşar. Sen sabret KARACAKAYA sabrın sonu selamet. 

#YaaySaati #survivor2021",GIF,1,10,49,"['YaaySaati', 'survivor2021']"
dilara,@idkujealous,2021-03-03T09:37:17.000Z,Su tablonun güzelligine bakin... geri getirmemiz lazim. #isfc #ypfc #ilaydaseker #YigitPoyraz #survivor2021 #Yaaysaati #survivorpanorama,,1,3,39,"['isfc', 'ypfc', 'ilaydaseker', 'YigitPoyraz', 'survivor2021', 'Yaaysaati', 'survivorpanorama']"
Nur Holmes,@nemesisfivi,2021-02-04T08:59:57.000Z,Poyraz’ın sevinci buradan geliyor. Bende akıl var demek değil yani. #survivorpanorama #Yaaysaati,GIF,5,10,107,"['survivorpanorama', 'Yaaysaati']"
Anortit,@anortitspeak,2021-05-04T08:59:35.000Z,2 gündür güncel tabloyu paylaşmayan #survivorpanorama ya selam olsun #yaaysaati #Survivor2021 son 1 aydır yarışmanın en iyisi kesin olarak Batuhan'dır.,,1,17,89,"['survivorpanorama', 'yaaysaati', 'Survivor2021']"
Emre,@emreozlen25,2021-05-27T15:42:41.000Z,Birisinin bu acı gerçeği yorumculara bildirmesi lazımdı  #YaaySaati #Survivor2021,,,,26,"['YaaySaati', 'Survivor2021']"
Hazal,@hazalbayani,2021-01-28T19:31:48.000Z,Evrim askim su gibisin  Semihle uyumunuz mukemmel #Yaaysaati,Evrim Keklik,1,4,20,['Yaaysaati']
b.a.t.u.h.a.n_1997,@batuhanfanklub,2021-03-02T06:13:32.000Z,Tam olarak böyle #survivor2021 #ünlüler #gönüllüler #Batuhankaracakaya #yiğitpoyraz #yaaysaati #BKFC #teambatuhan #şampiyonbatuhankaracakaya,,12,4,45,"['survivor2021', 'ünlüler', 'gönüllüler', 'Batuhankaracakaya', 'yiğitpoyraz', 'yaaysaati', 'BKFC', 'teambatuhan', 'şampiyonbatuhankaracakaya']"
