username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Kitap okumayı seven Matematikçi,@mltylmathematic,2021-08-12T13:36:37.000Z,"Hayat zorken daha zor hale getirmenin hiç anlamı yok!

#kahve #huzur #yalnizlik",,6,1,32,"['kahve', 'huzur', 'yalnizlik']"
Cihan Erol,@hcihanerol,2021-08-08T00:13:05.000Z,Gerçekten uyuyamayan bir tek ben mi varım ?  #UyuyamayanlarOnline #uykusuzluk #yalnızlık,,,3,12,"['UyuyamayanlarOnline', 'uykusuzluk', 'yalnızlık']"
Ceylan Alp,@CeylanAlp13,2021-08-09T23:51:49.000Z,#yalnızlık,,,,2,['yalnızlık']
ozcanaydinlik,@ozcanaydinlik,2021-08-08T14:24:35.000Z,#yalnizlik https://instagram.com/p/CSUREezMfcKQoJUTTxj1MOTTa3sLdPhQ30nJ1I0/?utm_medium=twitter…,,,,,['yalnizlik']
Okur Yazar Öğrenci,@okuryazarogr,2021-08-12T11:49:30.000Z,"""Yalnız bırakılmaktan çok korkuyordum.
Onlarca kalabalığın içinde ruhum çürürken yalnız olduğumu anlayana dek.""
Aziz Can Ünal

#dergi
#okuryazaröğrenci
#edebiyat
#edebialıntılar
#yalnızlık
#şiirsokakta",,,3,4,"['dergi', 'okuryazaröğrenci', 'edebiyat', 'edebialıntılar', 'yalnızlık', 'şiirsokakta']"
Yalnız Prens,@Mert00171,2021-08-09T19:42:04.000Z,"İnsanın duygularıyla oynayanları Allah affetmesin 
#yalnızlık 
#iyigeceler",,,,1,"['yalnızlık', 'iyigeceler']"
Duygu Bolat,@DygBolat,2021-08-12T18:11:17.000Z,#yalnızlık,,,,,['yalnızlık']
Yağmur,@rainsady,2021-08-07T18:37:38.000Z,"Onca kalabalığa rağmen , bu nasıl bir #yalnızlık ! 
                                 - #CharlesDickens",,,,1,"['yalnızlık', 'CharlesDickens']"
Cihan Erol,@hcihanerol,2021-08-08T21:26:04.000Z,"En çok hangi sevgi önemli sizin için  ?
#aşk #sevgi #yalnızlık #arkadaş #dost #sevgili #relationship #love #geceyebinotbırak #geceyebirsözbırak #uyuyamayanlaronline","Sevgili
14.3%
Arkadaş
85.7%
7 votes
·
Final results",,,2,"['aşk', 'sevgi', 'yalnızlık', 'arkadaş', 'dost', 'sevgili', 'relationship', 'love', 'geceyebinotbırak', 'geceyebirsözbırak', 'uyuyamayanlaronline']"
Kimsesiz,@KafessizKus,2021-08-06T10:05:36.000Z,Ve insanların hepsi yalnız öldü. #yalnızlık,,,,,['yalnızlık']
saphıens,@SaphEns,2021-08-08T06:11:31.000Z,#sıcak #yalnızlık #huzur #bira,,,,,"['sıcak', 'yalnızlık', 'huzur', 'bira']"
Cenk,@Cenk41387301,2021-08-05T07:27:35.000Z,Yalnızlık güzel şey bea #ankara #yalnızlık #huzur #alistim,,,,,"['ankara', 'yalnızlık', 'huzur', 'alistim']"
Cihan Erol,@hcihanerol,2021-08-06T21:28:33.000Z,Her karanlığı aydınlatan bir yıldız gibi çök üstüme güneş gibi yak ruhumun derinliklerini ve sonsuz bir nefes alalım sonsuza dek... ! #nasipolurmu #kader #kısmet #yalnızlık #GeceyeBirNot #GeceyeNotum,,,,5,"['nasipolurmu', 'kader', 'kısmet', 'yalnızlık', 'GeceyeBirNot', 'GeceyeNotum']"
Oğuz,@ogzoguz07,2021-08-08T15:06:10.000Z,"Yaşama mana çıkarmak için bütün çabalarım.
#kaş
#kaş üzümlü köyü
#yeni rakı
#yalnızlık",,4,1,7,"['kaş', 'kaş', 'yeni', 'yalnızlık']"
Yalçın Güzelsoy,@Ylc21,2021-08-09T07:55:20.000Z,Günaydın ama kime #yalnızlık,,,,1,['yalnızlık']
Murat SEYİRCİ,@MuratSeyirci,2021-08-12T22:33:11.000Z,"Haberciliğinde, özellikle imar ile ilgili mevzuatlar konusunda eline su dökülmeyecek isimlerdendi Abdullah Yalçın abimiz.

İmar deyip geçmeyin!
Düşünün ne kadar hakkın korunup, ne kadar hak gaspının kaleme alındığını.

Gazeteci hayatını kaybetse de, kalemi daima zihinlerde yaşar.",,1,,,[]
Murat SEYİRCİ,@MuratSeyirci,2021-08-12T22:33:14.000Z,"Aslında bugün cenazesinde olmayı çok isterdim ancak önceden tarihli #Konya programım buna engeldi.

Uzaktan bir #fatiha ile #Allah rahmet eylesin.
Gönül ister ki meslektaşlar daha fazla bir araya gelsin, #yalnızlık hissetmesin. 

#HayataSeyirciKalma",,,,,"['Konya', 'fatiha', 'Allah', 'yalnızlık', 'HayataSeyirciKalma']"
Hasan,@HasanAk85310278,2021-08-09T23:49:36.000Z,#Yalnızlık İnsan yanlız olduğunu düşünür ya bazen ve o iş öyle değil aslında bize şah damarımızdan daha yakın Rabbimiz var yol gösterici biz sadece yolcuyuz bu hayatta.!,,,,,['Yalnızlık']
Yalnız Prens,@Mert00171,2021-08-08T21:18:36.000Z,"Bir umut uğruna boşa çektiğim küreklerle Atlas Okyanusunu geçerdim şimdiye 
Ama elde okyanusları dolduracak kadar göz yaşım var 
#iyigeceler
#tekirdag 
#trakya
#umut 
#yalnızlık",,,,1,"['iyigeceler', 'tekirdag', 'trakya', 'umut', 'yalnızlık']"
PORSCHE,@PORSCHE65277127,2021-08-10T07:09:06.000Z,"#Yalnızlık paylaşılmaz
Paylaşılsa yalnızlık olmaz...

#günaydın",,,,,"['Yalnızlık', 'günaydın']"
radyodaki_şarkı,@acemiyimdunyada,2021-08-07T21:54:37.000Z,"Büyümek istiyorsan insanlara güven,
Güçlenmek istiyorsan kendine güven.

#güven
#aşk
#yalnızlık",,,,,"['güven', 'aşk', 'yalnızlık']"
Lafeterya,@Lafeterya,2021-08-13T10:59:01.000Z,Sevilmeye layık olmadığını düşünmek #psikoloji #sağlık #insan #kendineacımak #beyin #depresyon #yalnızlık #sevgi,"Kendine Acıma Hastalığı Neden Olur? Nasıl Geçer?
Psikolojik olarak herkes kötü zamanlar geçirir ancak bazı insanlarda kendine acıma hastalığı oluşur. Neden? Belirtileri nedir? Kendine acımak nasıl geçer?
psikolojibilgisi.com",,,,"['psikoloji', 'sağlık', 'insan', 'kendineacımak', 'beyin', 'depresyon', 'yalnızlık', 'sevgi']"
Rıfat Özkan,@rifatorg,2021-08-12T15:45:10.000Z,"Utah, The Narrows'un derinliklerinde bir yalnızlık anının tadını çıkarmak. [OC] [3024x4032] - #3024x4032 #anının #bir #çıkarmak #derinliklerinde #Narrowsun #tadını #Utah #yalnızlık",,,,1,"['3024x4032', 'anının', 'bir', 'çıkarmak', 'derinliklerinde', 'Narrowsun', 'tadını', 'Utah', 'yalnızlık']"
KizlarSoruyor.com,@KizlarSoruyor,2021-08-13T08:53:24.000Z,"""Yapayalnız bir hayat yaşamak istemem absürt mü?""
Bi'Bilen 
@Demetkolkilic
 cevapladı, dinlemek için tıklayın!
#podcast #bibilen #yalnızlık #kişiselgelişim","Yapayalnız bir hayat yaşamak istemem absürt mü? (Demet Kolkılıç) - KizlarSoruyor by KizlarSoruyor...
Aslında absürt olan bir durum yok ancak insanların genelinde yalnız kalma korkusu vardır. Bazı insanlar yalnızlığa alışmışlardır, kendilerine yetebiliyorlardır, kendileri ile mutludurlar, huzursuzl...
anchor.fm",,1,1,"['podcast', 'bibilen', 'yalnızlık', 'kişiselgelişim']"
canavar kamyon,@canavarkamyon2,2021-08-12T12:27:01.000Z,sigara gibi çekmek isterdim yeniden içime seni... #yalnızlık  #aşksözleri #sevdasözleri #ayrılıksözleri  #sokaksözleri #yalnızlıksözleri  #aşkacısı  #sevda #sevgi #mutsuzluk #melankolik #vazgeçilmezdeğilsin #vazgeçilmezim #çamkokusu #türkiye  #istanbul #şiir #şiirsokakta,,,,,"['yalnızlık', 'aşksözleri', 'sevdasözleri', 'ayrılıksözleri', 'sokaksözleri', 'yalnızlıksözleri', 'aşkacısı', 'sevda', 'sevgi', 'mutsuzluk', 'melankolik', 'vazgeçilmezdeğilsin', 'vazgeçilmezim', 'çamkokusu', 'türkiye', 'istanbul', 'şiir', 'şiirsokakta']"
captaindigitalart,@drawingcaptain,2021-08-10T16:41:14.000Z,#yalnizlik #basari #icin #kurulmus #enkutsal #düşünce #ve #aura #genisleme #gucudur,,,,,"['yalnizlik', 'basari', 'icin', 'kurulmus', 'enkutsal', 'düşünce', 've', 'aura', 'genisleme', 'gucudur']"
erhan yorulmaz,@erhanyorulmaz19,2021-08-11T20:32:19.000Z,"Devrimsel sevişelim

#erhanyorulmaz #şiir #edebiyat #aşk #kadın #yalnızlık #gözyaşı #tutku #gece #GeceyeBirNot #GeceyeNotum #GeceyeBirSözBırak  #şiirsokakta #kitap #sanat #magazin #türkiye",,,,1,"['erhanyorulmaz', 'şiir', 'edebiyat', 'aşk', 'kadın', 'yalnızlık', 'gözyaşı', 'tutku', 'gece', 'GeceyeBirNot', 'GeceyeNotum', 'GeceyeBirSözBırak', 'şiirsokakta', 'kitap', 'sanat', 'magazin', 'türkiye']"
aydın yıldız,@aydnyldz0601,2021-08-08T03:58:35.000Z,#günaydın bazen sessizce gitmek gerekir usulca #ankara  #tatil  #yalnızlık,,,,,"['günaydın', 'ankara', 'tatil', 'yalnızlık']"
