username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Serkan Capkan,@serkancapkan,2021-08-05T10:33:16.000Z,"I'm curious how much different it would be if there were no government or fire brigade in Turkey. Looking at pictures, it's just free fall #yangin #helpturkey",,,,,"['yangin', 'helpturkey']"
Gen Group™,@gengroup_co,2021-08-05T06:28:48.000Z,"We are at the point where words fail to express how devastating it is to get fire news from all over the country. We hope this disaster ends as soon as possible.

#yangın",,,,,['yangın']
Mansur EL SABAH®,@mansurelsabah,2021-08-05T09:53:34.000Z,"#ALLAHyardımcımızOlsun 
#ALLAH #Yardımcımızolsun 
Help Turkey #yangın #OrmanYangınları",,1,3,6,"['ALLAHyardımcımızOlsun', 'ALLAH', 'Yardımcımızolsun', 'yangın', 'OrmanYangınları']"
Gen Group™,@gengroup_co,2021-08-05T06:25:19.000Z,"Wildfires don't just burn trees!

A burning forest means an ecosystem where biodiversity has been damaged. It is a disaster area

where many animals have died,
the vegetation is damaged,
climate change and drought are one step closer,",,1,,,[]
Gen Group™,@gengroup_co,2021-08-05T06:25:54.000Z,"and risks such as floods and landslides increased.

We wish this disaster to end as soon as possible and hope to see the days when we regain our lush forests.

#yangın",,,,,['yangın']
DUNDAR KESAPLI,@DUNDARKESAPLI,2021-08-05T03:42:48.000Z,Wildfires have erupted around the world the most  devastating in Turkey   #fires #yangin #turchia,,1,4,3,"['fires', 'yangin', 'turchia']"
T.C. Vatandasi,@VatandasiT,2021-08-04T21:17:30.000Z,"Yuuuh !!!  T A M A M !

#termiksantral #AKPIstifa #yangin","ÇEBİ
@fadimemtr
 · Aug 5
#termiksantral deki elektrik tellerinin kopması veya bir yere teması sonucu oluşan görüntüler ..
Vatandaşın eyvah eyvahh sesleri  

Yakılıyoruzzz kardeşlerimize yardım edin 

#termiksantral #bodrum #milas #ören #kemerköy #türkevleri #milasyanıyor 
 #TermikSantrali",,,2,"['termiksantral', 'AKPIstifa', 'yangin']"
Nüve Sanayi Malzemeleri İmalat ve Ticaret A.Ş.,@nuve_as,2021-08-12T16:54:44.000Z,"We must protect our forests and all creatures living in the forests.
We must preserve our forests for our future.
#ormanyangını #ormanlarımızyanıyor #forestfire #world #korumalıyız #nature #savethenature #doğa #yangın #türkiye #itfaye #firefighter #fire #doğalyaşam #Nüve",,,1,5,"['ormanyangını', 'ormanlarımızyanıyor', 'forestfire', 'world', 'korumalıyız', 'nature', 'savethenature', 'doğa', 'yangın', 'türkiye', 'itfaye', 'firefighter', 'fire', 'doğalyaşam', 'Nüve']"
Chaudhary Parvez,@ChaudharyParvez,2021-08-03T06:01:13.000Z,"Replying to 
@ChaudharyParvez","#Turkey's people keep trying to control wildfire.

Turkish wildfires burn out of control as local officials plead for help..

#Turkeyisburning 
#Türkiye #Azerbaycan #CanımızYanıyor 
#Antalya #yangin #ormanyangini  #TurkeyIsOnFire #TurkeyNeedsHelp #Turkeyfire #تركيا",2,6,13,[]
Chaudhary Parvez,@ChaudharyParvez,2021-08-08T03:02:26.000Z,"Heavy rain fell on the fire areas, today, Saturday, in the southwestern state of Antalya
#rains 
#Turkeyisburning
#Türkiye #OrmanYanginlari #Azerbaycan 
#Antalya #yangin #TurkeyIsOnFire #TurkeyNeedsHelp #Turkeyfire #تركيا   #تركيا_تحترق",,1,4,8,"['rains', 'Turkeyisburning', 'Türkiye', 'OrmanYanginlari', 'Azerbaycan', 'Antalya', 'yangin', 'TurkeyIsOnFire', 'TurkeyNeedsHelp', 'Turkeyfire', 'تركيا', 'تركيا_تحترق']"
Τραυμα(μ)πλάστ,@traumaplast,2021-08-07T13:17:36.000Z,"#Greece and #Turkey are together in this. Block NOW all expenses for weaponry. Protect the forests. Defend life, fight for life  #wildfire #yangin #πυρκαγιες #φωτια","Antilian Kotzai
@AntilianKotzai
 · Aug 6
Μια από τις φωτογραφίες της χρονιάς.",,,3,"['Greece', 'Turkey', 'wildfire', 'yangin', 'πυρκαγιες', 'φωτια']"
.,@1bakip2cikicam,2021-08-07T08:57:37.000Z,"Replying to 
@SESU_UA","Thank you so much Ukraine
#yangin #OrmanYanginlari #yagmur",,,,[]
aytunc,@grayysmoke,2021-08-13T03:39:26.000Z,"#ibanoğulları #tayyiban rejim
welcome to iban and banana republic! #KastamonuSularAltında #Kastamonu #yangin #TayyipErdoğanİstifaET #tayyiperdoganistifa #hukumetistifa",,,,,"['ibanoğulları', 'tayyiban', 'KastamonuSularAltında', 'Kastamonu', 'yangin', 'TayyipErdoğanİstifaET', 'tayyiperdoganistifa', 'hukumetistifa']"
Vic,@stockguy121,2021-08-08T02:35:26.000Z,"Replying to 
@stockguy121","Adding 
@richardbranson
 to the conversation as well. Sir, shouldn’t we stop being selfish about the monetary gains and for one moment think about the damage your (unnecessary) missions are doing to this world?",1,,,[]
Vic,@stockguy121,2021-08-08T02:47:34.000Z,"Top Culprits of forest fires and (unfortunately) many disasters to come:
1. 
@JeffBezos
 
2. 
@richardbranson
 
3. 
@elonmusk
 
4. And many others who are acting selfish 

#climatechange #ClimateCrisis #ClimateEmergency #BuildBackBetter #wildfires #wildfire #yangin #yangınlar",,,,,"['climatechange', 'ClimateCrisis', 'ClimateEmergency', 'BuildBackBetter', 'wildfires', 'wildfire', 'yangin', 'yangınlar']"
Phaselis İnisiyatifi,@phaselisins,2021-08-06T07:13:33.000Z,Havadaki sıcaklık artışlarıyla beraber cam şişelerinin mercek etkisiyle saniyeler içinde #yangın a sebebiyet verebilir.Nasıl evinizin her yerinde çöp bırakmıyorsanız lütfen doğada da aynı özeni gösterin ve hiç düşündüğünüz kadar zor değil toplamak…,Doğa Derneği and 9 others,2,93,187,['yangın']
Cansu Kızıltaş,@cansuuedebiyat,2021-08-10T21:04:30.000Z,#yangın #ormanyangini,,,2,3,"['yangın', 'ormanyangini']"
Eda Dayıoğlu,@edanurdyy,2021-08-05T00:13:27.000Z,"Bunu çizen ellere gelin ülkeme hortum tutun diyecek kadar zihniyetimi kaybetmediğim için hamd olsun Allah'ım!

#yangin 
#StrongTurkiye",,,4,68,"['yangin', 'StrongTurkiye']"
@thesevcan,@thesevcan,2021-08-04T23:00:50.000Z,"Kalbi acıyla kanıyor, yaralı ruhunu gözyaşlarıyla iyileştiremiyordu..
#yangin",,1,1,15,['yangin']
Esra,@Esrakrp,2021-08-04T21:21:05.000Z,"Acı duyabiliyorsan, canlısın. Başkalarının acısını duyabiliyorsan, insansın. 

Tolstoy

#TermikSantrali 
#yangın",,,3,23,"['TermikSantrali', 'yangın']"
Koray Aydın,@korayaydintr,2021-08-05T11:35:34.000Z,"Son 10 yılda;
Hizmet alımı kapsamında açılan #yangın söndürme ihalelerinde kaç firmaya kaç lira ödenmiştir?
Yanan orman alanlarının ne kadarı yeniden ağaçlandırılmıştır?
Orman yangınlarına sebep olanların cezalarının artırılması ve caydırıcı olması için bir çalışmanız var mıdır?","Yeniçağ Gazetesi
@Gazete_Yenicag
 · Aug 5
İYİ Partili Koray Aydın'dan Tarım ve Orman Bakanı Bekir Pakdemirli'ye 10 zor soru
https://bit.ly/3Ad5htI",14,196,653,['yangın']
hatceana,@hatceana_,2021-08-05T04:53:34.000Z,"0.55 mg bile beyni olmayan adamlara 55 lt su taşıyan adam nasıl anlatsın ne için taşıdığını?
 #TermikSantrali #milas #akyaka #dolar #yangin #kıyıkıslacıkyanıyor #helpturkey",,3,24,178,"['TermikSantrali', 'milas', 'akyaka', 'dolar', 'yangin', 'kıyıkıslacıkyanıyor', 'helpturkey']"
İbrahim Özer,@ibrahimozer99,2021-08-05T17:01:11.000Z,"Afetler ortasında açan nadide çiçekler  
#yangın #manavgat",,1,8,83,"['yangın', 'manavgat']"
Ramazan Şimşek,@06Ramazansimsek,2021-08-11T13:57:29.000Z,"Bir araya gelmek başlangıç, bir arada durabilmek ilerleme, birlikte çalışmak ise başarıdır... Birlikte başaralım !

Umutları da ormanları da birlikte yeşertelim...

#gölbaşı #gölbaşıbelediyesi #ramazanşimşek #yardımkampanyası #manavgat #marmaris #yangın #yardım #birliktegüçlüyüz",,9,10,383,"['gölbaşı', 'gölbaşıbelediyesi', 'ramazanşimşek', 'yardımkampanyası', 'manavgat', 'marmaris', 'yangın', 'yardım', 'birliktegüçlüyüz']"
ⓐℓмìяⓐ,@misshecatee,2021-08-05T15:04:27.000Z,"HAYDİ ARKADAŞLAR ELİMİZDEN GELDİĞİNCE YAYALIM! 
#muğla #yangın #turunç #termiksantral #hepberaber",,,23,643,"['muğla', 'yangın', 'turunç', 'termiksantral', 'hepberaber']"
