username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Alpjuan,@Alpjuan1,2021-08-09T19:15:42.000Z,"#ManavgatınSesiOlun #Utandırmayın #İyilik #SağElinVerdiğiniSolElGörmesin #Yardım 
#YardımReklamlaOlmaz #YardımınŞovuOlmaz #SelfieÇekeceksenYardımYapma #VideoÇekme
#İnsanOlun #ZorBiliyorum #AmaDeneyinBari

Instagram: 
@alpjuan
YouTube: Alpjuan
Twitter: 
@Alpjuan",,,2,5,"['ManavgatınSesiOlun', 'Utandırmayın', 'İyilik', 'SağElinVerdiğiniSolElGörmesin', 'Yardım', 'YardımReklamlaOlmaz', 'YardımınŞovuOlmaz', 'SelfieÇekeceksenYardımYapma', 'VideoÇekme', 'İnsanOlun', 'ZorBiliyorum', 'AmaDeneyinBari']"
Ramazan Şimşek,@06Ramazansimsek,2021-08-11T13:57:29.000Z,"Bir araya gelmek başlangıç, bir arada durabilmek ilerleme, birlikte çalışmak ise başarıdır... Birlikte başaralım !

Umutları da ormanları da birlikte yeşertelim...

#gölbaşı #gölbaşıbelediyesi #ramazanşimşek #yardımkampanyası #manavgat #marmaris #yangın #yardım #birliktegüçlüyüz",,9,10,382,"['gölbaşı', 'gölbaşıbelediyesi', 'ramazanşimşek', 'yardımkampanyası', 'manavgat', 'marmaris', 'yangın', 'yardım', 'birliktegüçlüyüz']"
Zeynep,@zergin01,2021-08-12T18:46:58.000Z,"Yardım İstiyoruz
#Kastamonu #BozkurtSelAltında #bozkurtyokoldu #BozkurtAfetBoelgesi #yardım #kastamonuyardım",,,8,13,"['Kastamonu', 'BozkurtSelAltında', 'bozkurtyokoldu', 'BozkurtAfetBoelgesi', 'yardım', 'kastamonuyardım']"
Oğuz Ünal Kalafat,@oguzunalk,2021-08-11T20:36:47.000Z,Ecrin ve İclal Yücel ve Kerem Ali Özdoğan - Ayşe Miray Özdoğan kayıptır. #bozkurt da görenlerin acil benimle irtbata geçmesi önemle rica olunur. #yayalımlütfen #sel #afet #yardım #acil #afad #felaket #kastamonu,,2,57,32,"['bozkurt', 'yayalımlütfen', 'sel', 'afet', 'yardım', 'acil', 'afad', 'felaket', 'kastamonu']"
Dilara KAYA OZTURK,@dilara550757,2021-08-12T09:24:00.000Z,"Sinop ayancıkta selden zarar görenler e yardım etmek için  
#sinop #selfelaketi #yardım",,,2,2,"['sinop', 'selfelaketi', 'yardım']"
Oğuz Ünal Kalafat,@oguzunalk,2021-08-11T10:20:03.000Z,"Kastamonu Bozkurt’tan manzaralar eczane yazısından anlayın. Acil destek gerekiyor elektrik direkler yıkılmış, telefonlar çekmiyor. Mahsur kalanlar çatılara çıkanlar var acil yardım! #acil #kastamonu #bozkurt #afet #sel #yardım #destek",,,12,12,"['acil', 'kastamonu', 'bozkurt', 'afet', 'sel', 'yardım', 'destek']"
M.Güney ŞENOL,@drnorolog,2021-08-13T10:32:33.000Z,#Bozkurt ‘tan önemli #yardım çağrısı. Felaketin boyutları çok büyük. #bozkurtyokoldu,,,5,8,"['Bozkurt', 'yardım', 'bozkurtyokoldu']"
Emre Samed Çalışkan,@esc_57,2021-08-12T21:21:00.000Z,"Sinop Ayancık 'ta sel felaketinden ötürü. Merkez ve köylerde içme suyu, ekmek, temel gıda ihtiyaçları var.Kara ulaşımı çökmüş durumda #AyancikAfetBolgesiİlanEdilsin #ayancik #sel #yardım",,,2,2,"['AyancikAfetBolgesiİlanEdilsin', 'ayancik', 'sel', 'yardım']"
ayça,@aycaa5577,2021-08-12T18:11:47.000Z,"Replying to 
@nisanurrdurann",#yardım,,,1,[]
Özlem Zdmr,@ZdmrOzlm,2021-08-12T08:22:24.000Z,Kastamonu  #yardım,,,,2,['yardım']
Oğuz Ünal Kalafat,@oguzunalk,2021-08-11T10:18:02.000Z,Bozkurt iyiden iyiye içinden çıkılmaz bir afetle boğuşuyor. Artık katlara kadar çıkmış durumda sel felaketi. Acil yardım lazım mahsur kalanlar var #kastamonu #bozkurt #sel #afet #acil #yardım,,40,528,925,"['kastamonu', 'bozkurt', 'sel', 'afet', 'acil', 'yardım']"
almula ergün,@almulaErgun,2021-08-05T08:54:33.000Z,#bodrum #yangın #BODRUMYANGIN #bodrumukurtar #Bodrumyanıyor #yangınlar #YARDIM,,,2,,"['bodrum', 'yangın', 'BODRUMYANGIN', 'bodrumukurtar', 'Bodrumyanıyor', 'yangınlar', 'YARDIM']"
Melis,@melisanem10,2021-08-11T19:40:27.000Z,"GÜZEL AYANCIGIMIZ MAHVOLDU #ayancikafetbolgesiilanedilsin #ayancık #yardım 
@TC_icisleri
 @suleymansoylu
 @haluklevent
 @AFAD_Sinop",,,12,33,"['ayancikafetbolgesiilanedilsin', 'ayancık', 'yardım']"
Semiha Kulluk,@Semiha72032996,2021-08-12T18:28:45.000Z,"Arkadaşlar sınava girecek olup orda olan tanıdığınız varsa iletin ilçeler kötü durumda yollar kapalı yayalım lütfen  #Kastamonu #Bozkurt #Cide #selfelaketi #yardım #acil 
@OSYMbaskanligi
 @ahbapplatformu
 @cuneytiltus
 #kpss2021 #öabtsınavı #ÖABT #KPSS 
@Benimhocamyayin",,,37,41,"['Kastamonu', 'Bozkurt', 'Cide', 'selfelaketi', 'yardım', 'acil', 'kpss2021', 'öabtsınavı', 'ÖABT', 'KPSS']"
sudesu,@SudeKoyunn,2021-08-05T19:46:07.000Z,"#MuglaYanıyor 
#YARDIM",,,,5,"['MuglaYanıyor', 'YARDIM']"
GeceSakini,@GeceSakini1,2021-08-12T20:05:14.000Z,"Replying to 
@_SusluKedi_",#Kastamonu #yardım,,,2,[]
Zeynepçiğimm,@ZeynepKullu,2021-08-11T17:05:06.000Z,#Kastamonu #AFAD #yardım,,,,4,"['Kastamonu', 'AFAD', 'yardım']"
Esra Yılmaz,@esrylmza,2021-08-12T06:43:56.000Z,#kastamonubugün #yardım,,,,,"['kastamonubugün', 'yardım']"
Rukiye Tekin Engin,@RTekinengin1,2021-08-12T11:00:36.000Z,"65 yasındaki kayınpederimden 2 gündür haber alamıyoruz Ayancık-Fındıklı köyünde mahsur kaldı lütfen yardım edin lütfenn #selfelaketi #sinop #ayancikafetbolgesiilanedilsin #yardım  
@FOXhaber
 @KanalD
 @TC_icisleri
 @showanahaber
 @haluklevent
 @sgokbakar",,,7,12,"['selfelaketi', 'sinop', 'ayancikafetbolgesiilanedilsin', 'yardım']"
Oğuz Ünal Kalafat,@oguzunalk,2021-08-11T13:01:47.000Z,#Bozkurt dan anlık videolar gelmeye devam ediyor yardım için paylaşımlara devam ediyorum. Destek için RT edelim lütfen bir an evvel ekiplerin bölgeye intikali şart! #azdavay #abana #kastamonu #sel #afet #pınarbaşı #acil #destek #yardım,,,13,16,"['Bozkurt', 'azdavay', 'abana', 'kastamonu', 'sel', 'afet', 'pınarbaşı', 'acil', 'destek', 'yardım']"
Oğuz Ünal Kalafat,@oguzunalk,2021-08-12T15:40:03.000Z,Şu an bilgi alamadıklarınız ile ilgili bu paylaşım. #bozkurt #azdavay #şenpazar #inebolu #pınarbaşı #kastamonu #afet #sel #acil #yardım #kayıp özellikle BOZKURT ilçesinden sevk fazladır. Yayarsak numaralardan ailelerine ulaşamayanlar ulaşabilir,,,13,10,"['bozkurt', 'azdavay', 'şenpazar', 'inebolu', 'pınarbaşı', 'kastamonu', 'afet', 'sel', 'acil', 'yardım', 'kayıp']"
BarisTartar,@BarisTartar,2021-08-05T15:01:05.000Z,Marmarise yardım malzemesi yollamak isteyen dostların bilgisine...#yardım #dayanışma #MarmarisYangını #MuglaYanıyor,,,1,1,"['yardım', 'dayanışma', 'MarmarisYangını', 'MuglaYanıyor']"
