username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
ÇEKÜL Vakfı,@cekulvakfi,2019-02-14T14:20:32.000Z,"Yerel Kimlik 56. sayısına online olarak linkten ulaşabilirsiniz:

http://tarihikentlerbirligi.org/kavramlar-uygulama-ornekleriyle-bulusuyor/…

Kapak fotoğrafı: Kahramanmaraş Germenicia Mozaiği

#YerelKimlik #Dergi #EDergi #DijitalDergi #Oku #YerelHaberler #Kültür #Koruma #KorumaBilinci #YerelKimlikDergisi #TarihiKentlerBirligi",,,,3,"['YerelKimlik', 'Dergi', 'EDergi', 'DijitalDergi', 'Oku', 'YerelHaberler', 'Kültür', 'Koruma', 'KorumaBilinci', 'YerelKimlikDergisi', 'TarihiKentlerBirligi']"
Bursa Hayat Gazetesi,@bursahayatcomtr,2019-08-07T06:33:44.000Z,#Bursa #Bursaspor #CumhurbaşkanıErdoğan #Siyaset #Ekonomi #Gündem #Güncelhaberler #Yerelhaberler #haberinadresi,,,,1,"['Bursa', 'Bursaspor', 'CumhurbaşkanıErdoğan', 'Siyaset', 'Ekonomi', 'Gündem', 'Güncelhaberler', 'Yerelhaberler', 'haberinadresi']"
Hasan Karabulut,@ebuabdulhamit,2021-01-31T22:39:46.000Z,"01.02.2021 Pazartesi Kent Gazetesi 1. Sayfa
daha fazlası için takibe başlayın.
http://kentgazetesi.com
#bursa 
#sondakika
#yerelhaberler",,,,1,"['bursa', 'sondakika', 'yerelhaberler']"
Necdet Gursoy,@NecdetGursoy_,2021-05-02T21:32:20.000Z,"Altındağ’a rengarenk laleler #tulip #lale #altındağbelediyesi #laleler #haberola #yerelhaberler
http://haberola.com.tr/?p=60549",,,,3,"['tulip', 'lale', 'altındağbelediyesi', 'laleler', 'haberola', 'yerelhaberler']"
Haberola,@haberolacomtr,2021-05-19T15:00:42.000Z,"Çankaya'da 19 Mayıs coşkusu #19mayıs #atatürküanma #gençlikvesporbayramı #alpertaşdelen #haberola #çankayabelediyesi #yerelhaberler
http://haberola.com.tr/?p=60985",,,,2,"['19mayıs', 'atatürküanma', 'gençlikvesporbayramı', 'alpertaşdelen', 'haberola', 'çankayabelediyesi', 'yerelhaberler']"
Neslihan Can,@nes_leee,2019-11-06T21:10:21.000Z,"Dünya judo Saygı günü
Ziya Elmalı anısına Manisa’nın Ev sahipliğinde judo dolu iki gün yaşadık.. Ruhu şad olsun  #judo #judoka #otc #manisa #saygı #anma #yerelhaberler 
@judo
 @krprckkaymakam",,,4,11,"['judo', 'judoka', 'otc', 'manisa', 'saygı', 'anma', 'yerelhaberler']"
Yusuf Ünel,@unelmedyayusuf,2018-07-23T08:21:34.000Z,"#ünelmedyagurubu 
#kocaeliokuyor
#tramvaykocaeli 
http://kocaeliokuyor.com
http://tramvaykocaeli.com #yerelhaberler
#yerelbasın #tramvay #kocaeli #okuyorum #teşekkürler #kadim #dostlar #bizi #üst… https://instagram.com/p/BlkTkXAFeIS/?utm_source=ig_twitter_share&igshid=dvcekm7xie7d…","Tramvay Kocaeli - Çok Yakında Hizmetinizde
Çok Yakında Hizmetinizde
tramvaykocaeli.com",,1,1,"['ünelmedyagurubu', 'kocaeliokuyor', 'tramvaykocaeli', 'yerelhaberler', 'yerelbasın', 'tramvay', 'kocaeli', 'okuyorum', 'teşekkürler', 'kadim', 'dostlar', 'bizi', 'üst']"
Cagrihaber.com,@ComCagrihaber,2021-08-09T12:37:07.000Z,Aziz hoca vefatının yıl dönümünde anıldı Koronavirüs nedeniyle tedavi gördüğü hastanede hayatını https://cagrihaber.com/?p=32508&utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… #gÜndem #yerelhaberler,,,,,"['gÜndem', 'yerelhaberler']"
Lider Gazete,@lidergazete07,2021-05-12T06:40:26.000Z,"AFGAN GENÇ TRAKTÖRÜN ALTINDA FECİ ŞEKİLDE CAN VERDİ https://lidergazete.com/afgan-genc-traktorun-altinda-feci-sekilde-can-verdi-h134266.htm… 

#haberler #sondakikahaberleri #yerelhaberler #ulusalhaberler #bölgeselhaberler #antalya #uşak","AFGAN GENÇ TRAKTÖRÜN ALTINDA FECİ ŞEKİLDE CAN VERDİ
Uşak'ta devrilen traktörün altında kalan Afganistan uyruklu genç hayatını kaybetti.
lidergazete.com",,,3,"['haberler', 'sondakikahaberleri', 'yerelhaberler', 'ulusalhaberler', 'bölgeselhaberler', 'antalya', 'uşak']"
Kocaeli Yerel,@KocaeliYerel,2021-07-12T12:09:39.000Z,"Taşköprü ilgi odağı olmaya devam ediyor
@aygunzeki
 @tahirbuyukakin
 
#Kocaeli #yerelhaberler",,,,1,"['Kocaeli', 'yerelhaberler']"
Sonsöz Gazetesi,@sonsozgazete,2020-07-06T07:46:19.000Z,"Umutlu Yaşam Uygulama Merkezi kapılarını açıyor - Gölbaşı’nda hayata geçecek olan Umutlu Yaşam Uygulama Merkezi engelli vatandaşların umudu olacak.
 - #GölbaşıBelediyesi #UmutluYaşamMerkezi #YerelHaberler - Sonsöz Gazetesi • Son Dakika • Güncel Haberler • Ankara Yerel Gazete",,,,,"['GölbaşıBelediyesi', 'UmutluYaşamMerkezi', 'YerelHaberler']"
Sonsöz Gazetesi,@sonsozgazete,2020-07-22T07:25:18.000Z,Altındağlı gençler hedefi 12'den vuruyor - Altındağlı gençler hedefi 12'den vuruyor. Yaz Okulları kapsamında açılan okçuluk kursuna katılan Altındağlı  ... - #AltındağBelediyesi #AsımBalcı #YerelHaberler - Sonsöz Gazetesi • Son Dakika • Güncel Haberler • Ankara Yerel Gazete,,,,,"['AltındağBelediyesi', 'AsımBalcı', 'YerelHaberler']"
