username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Green Crescent Malaysia,@mygreencrescent,2021-03-06T02:03:33.000Z,"Green Crescent Week

#yesilay",,,,2,['yesilay']
Vizyongöz Hastanesi,@vizyongoz,2021-03-04T17:08:04.000Z,"You are never too late!
You can start a much healthier and more enjoyable life by avoiding smoking and alcohol.  You can do this right now.

#yeşilay",,,,1,['yeşilay']
Green Crescent Malaysia,@mygreencrescent,2021-06-06T13:35:32.000Z,"INTERNATIONAL CONGRESS OF TECHNOLOGY ADDICTION]

Thank you to 
@1920yesilay
  for having our president 
@fairuzila2003
 as chairman of the session.

#gcm #yeşilay #greencrescentmalaysia
#fightingaddiction
#preventionworks #technologyaddiction #gamingdisorder #gamblingdisorder",,1,1,1,"['gcm', 'yeşilay', 'greencrescentmalaysia', 'fightingaddiction', 'preventionworks', 'technologyaddiction', 'gamingdisorder', 'gamblingdisorder']"
Zeleni krst Zeleni polumjesec,@ZeleniKrst,2021-07-19T19:39:51.000Z,"Bajram Serif mubarek oslun 

We wish you all a very happy Eid Mubarek 

#zelenikrstzelenipolumjesec
#Yesilay
#EidMubarak",,,,,"['zelenikrstzelenipolumjesec', 'Yesilay', 'EidMubarak']"
Vizyongöz Hastanesi,@vizyongoz,2021-05-31T06:31:42.000Z,"Today, MAY 31, WORLD NO TOBACCO DAY
Everyone knows the harm of smoking to health. Stop smoking and take the first step towards a healthy and smoke-free life.  Don't delay, let go right now.  LETS! #sigarayıbırak #dontsmoke #nosmoke #yeşilay",,,,,"['sigarayıbırak', 'dontsmoke', 'nosmoke', 'yeşilay']"
Mehmet Ali ŞAFAK,@malisafak,2021-04-16T16:40:53.000Z,"Çocuklarımıza daha yeşil bir Niğde bırakmak  için durma, sen de  fidan dik... 

İyi ki varsın Yeşilay 

#Yeşilay",Selim GÜLTEKİN and Av. İbrahim BALOĞLU,1,5,45,['Yeşilay']
Ayfer Özsoy,@AyferOzsoy10,2021-03-06T14:30:07.000Z,"#Yeşilay
#YesilayHaftası","Meral Cengiz
@MeralCngz
 · Mar 6
Balıkesir Yeşilay Danışmanlık Merkezini(YEDAM) Mv @mutlaydemir,Altıeylül Kadın Kol Bşk @DEMIRSEPTEL,Karesi Kadın Kol Bşk @AyferOzsoy10,Balya Kadın Kol Bşk @hamideoban10 ile ziyaret ederek Şube Bşk Ömür Akyıldız’dan uyuşturucu ve alkol bağımlılığıyla mücadele hakkında bilgi aldık",,4,38,"['Yeşilay', 'YesilayHaftası']"
T.C. Hatay Valiliği MaskeMesafeTemizlik,@HatayValiligi,2021-03-02T12:26:13.000Z,"Bağımlılıktan uzak, sağlıklı nesillere... 
#YeşilayHaftası #Yeşilay",Rahmi Doğan,,8,123,"['YeşilayHaftası', 'Yeşilay']"
Yeşilay Gaziantep Şb,@yesilaygantep,2021-08-09T17:47:04.000Z,"Gaziantep Milletvekili Ali Şahin, Yeşilay Gaziantep Şubesi’ni ziyaret etti. Ziyarette Yeşilay faaliyetleri görüşüldü. Nazik ziyaretleri için kendilerine teşekkür ediyoruz. #Yeşilay 
@1920yesilay
 @AliSahin501
 @faatihtamer",,1,20,58,['Yeşilay']
Turkish Embassy SG,@SingapurBE,2021-08-03T03:16:05.000Z,"""Youth Advocacy Forum"" established by #Yeşilay offers important opportunities to youth across the globe to take joint action for preventing addictions, promoting healthy living, and developing their advocacy skills. 

For more info: https://yesilay.org.tr/en/youth-forum",,1,,,['Yeşilay']
Yeşilay,@1920yesilay,2021-07-25T11:17:16.000Z,"Madde bağımlılıklarıyla ilgili bilinen en önemli yanlış düşünce, kişilerin iradelerini güçlü olarak görmeleri ve bağımlı olmayacaklarını düşünmeleridir.

#Yeşilay",,2,69,135,['Yeşilay']
Yeşilay07Antalya,@yesilay07,2021-07-27T14:21:18.000Z,"Madde kullanımının bedeninizde ne kadar büyük tahribatlar yarattığını biliyor musunuz?

#Yeşilay",,,17,18,['Yeşilay']
İstanbul Ülkü Ocakları,@istanbulocak,2021-03-03T13:06:55.000Z,"Bağımlılıkla mücadele etmek; mutlu, sağlıklı ve bilinçli nesil yetiştirmenin temel taşı olduğunu hatırlatıyor, #Yeşilay Haftasını kutluyoruz.",,,36,95,['Yeşilay']
Havva Duran,@havvaduran65,2021-03-03T20:24:28.000Z,"Van #Yeşilay Kadın komisyon  üyeleri, Sueda Özklıç ve Doğa Durgun,nun bizleri ziyaretlerinden dolayı, Ak kadınlar olarak  teşekkür eder, çalışmalarında başarılar dileriz.",,,17,107,['Yeşilay']
Türk Tarih Kurumu,@ttkgovtr,2021-03-05T08:36:51.000Z,#Yeşilay'ın 101. Kuruluş Yıl Dönümü,,,26,242,['Yeşilay']
Eren Ali güçtekin,@erenali2001,2021-07-30T22:50:13.000Z,"Arkadaşlar #saveturkey adı altında instagramda paylaşılan bağış platformu muhtemelen sahtedir,  yabancı kaynaklardan okuduğuma göre öyle. Yaymayın #tema ve #yesilay gibi kurumlara bağış yapın",,,3,16,"['saveturkey', 'tema', 'yesilay']"
AK Kadın Derince,@derinceAkkadin,2021-03-04T11:43:04.000Z,"""Bağımlı Olma, Sağlıklı Ol...""
Bağımlılıklarımızdan kurtulalım ülkemizi yeşillendirelim.
#YeşilayHaftası'nda
farkındalığı daha da arttırmak için hep birlikte el ele verip
AK Parti Derince İlçe Teşkilatı olarak, 1-7 Mart Yeşilay Haftasını fidan dikerek kutluyoruz.
#Yeşilay",Zeki Aygün and 3 others,,10,38,"['YeşilayHaftası', 'Yeşilay']"
Şehitkamil İlçe Milli Eğitim Müdürlüğü,@SehitkamilMEM,2021-08-12T16:30:03.000Z,"Yeşilay Gaziantep Şube Başkanı Sn. Fatih Tamer, Yeşilay Gaziantep Şube Yönetim Kurulu Üyesi Aydın Ökçüntekle ve Yeşilay Gaziantep Şube Personeli Eyüp Berk Müdürümüz 
@yagcimehmet27
'yı ziyaret ederek #Yeşilay faaliyetleri hakkında bilgi alışverişinde bulundular. 
@yesilaygantep",,,3,23,['Yeşilay']
Ali Cumhur Taşkın,@alicumhurtaskin,2021-03-03T08:56:03.000Z,Sağlıklı nesiller ve bilinçli bireyler oluşturmak için zararlı alışkanlıklarla mücadele eden #Yeşilay'ın kuruluşunun 101. yıl dönümü ve 1-7 Mart #YeşilayHaftası kutlu olsun.,Yeşilay,,15,73,"['Yeşilay', 'YeşilayHaftası']"
Yeşilay Gaziantep Şb,@yesilaygantep,2021-08-05T08:19:28.000Z,"Şahinbey İlçe Milli Eğitim Müdürü Erdal Kılınç’ı Yeşilay Gaziantep Şube Yönetim Kurulu Üyesi Aydın Ökçüntekle ile Yeşilay Gaziantep Şube Personeli Eyüp Berk ziyaret etti. Ziyarette Yeşilay faaliyetleri görüşüldü. #Yeşilay 
@1920yesilay
 @sahinbeymem
 @erdalkilinc27
 @aydinokcun",,,4,18,['Yeşilay']
Yeşilay Kırıkkale,@yesilay_kkale,2021-08-10T17:40:47.000Z,#Yeşilay #YEDAM #YedamKırıkkale,,,,2,"['Yeşilay', 'YEDAM', 'YedamKırıkkale']"
Pazarcık Gençlik Merkezi,@GSB_PazarcikGM,2021-03-06T18:50:00.000Z,"Pazarcık Gençlik Merkezi:
1/7 Mart #Yeşilay haftası kapsamında Kahramanmaraş Yeşilay Şube Başkanı Adnan ALAGÖZ ve ekibini Merkezimiz Has Oda'mızda misafir ederek gençlerimize uyuşturucunun zararları hakkında bilgi verdi.

#PazarcıkGençlikMerkezi
#YesilayHaftası 
#GSBGM",Dr. Mehmet Kasapoğlu and 5 others,,6,24,"['Yeşilay', 'PazarcıkGençlikMerkezi', 'YesilayHaftası', 'GSBGM']"
Ak Parti DERİNCE,@DerinceAk,2021-03-04T11:35:41.000Z,"""Bağımlı Olma, Sağlıklı Ol...""
#Yeşilay Haftası'nda
 farkındalığı daha da arttırmak için hep birlikte el ele verip
AK Parti #Derince İlçe Teşkilatı olarak, 1 - 7 Mart Yeşilay Haftasını fidan dikerek kutluyoruz.
#AKPartiDerince
#Derinceliyiz
#Derinceyedeğer",Koray Merdan  and 4 others,,4,22,"['Yeşilay', 'Derince', 'AKPartiDerince', 'Derinceliyiz', 'Derinceyedeğer']"
Ankara Ticaret Odası İlkokulu,@AtoIlkokulu,2021-03-04T06:09:53.000Z,#Yeşilay'ın kuruluşunun 101. yıl dönümü ve 1-7 Mart #YeşilayHaftası kutlu olsun.,,,,22,"['Yeşilay', 'YeşilayHaftası']"
AK Gençlik Gaziosmanpaşa,@AkGopGenc,2021-03-04T20:28:37.000Z,"Bağımlılıklara karşı mücadale veren Yeşilay’ın ve Yeşilay Gönüllülerinin #Yeşilay haftası kutlu olsun.

""Bağımlı olma,özgür ol""",,,3,20,['Yeşilay']
