username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Yeni İzler Okulları,@Yeni_izler,2021-08-06T07:11:38.000Z,"LESS IS MORE! 
#yeniizler 
#yeniizlerokulları 
#yks2021 
#yks",,,1,1,"['yeniizler', 'yeniizlerokulları', 'yks2021', 'yks']"
S. B. E Antropoloji Ana Bilim Dalı,@sbe_antropoloji,2021-08-08T10:36:06.000Z,Green campus @yeditepeuniversitesi @yeditepe_fef #anthropology #antropoloji  #sociology #sosyoloji #ethnography #yeditepeuniversity #yeditepeüniversitesi #üniversitercih #yeditepetercih #üniversitetanıtım #tanıtımgünleri #yeditepetanıtımgünleri #yks2021  #yks2021tercih,,,1,8,"['anthropology', 'antropoloji', 'sociology', 'sosyoloji', 'ethnography', 'yeditepeuniversity', 'yeditepeüniversitesi', 'üniversitercih', 'yeditepetercih', 'üniversitetanıtım', 'tanıtımgünleri', 'yeditepetanıtımgünleri', 'yks2021', 'yks2021tercih']"
YDS - YÖKDİL - YKSDİL,@ingilizcehane,2021-08-11T20:44:34.000Z,"#yökdil #yds  #ales #kpss2021 #yks2021 #ingilizce  #müjde #ösym  #Tercih #okullar  

the intention or desire to do evil; ill will?","benevolent
40%
conceal
12.5%
malice
45%
convey
2.5%
40 votes
·
Final results",,,3,"['yökdil', 'yds', 'ales', 'kpss2021', 'yks2021', 'ingilizce', 'müjde', 'ösym', 'Tercih', 'okullar']"
SoruBank,@sorubankorg,2021-08-06T11:04:54.000Z,"Advanced level questions. 
#sorubankorg stay in tune!

#ingilizcehane #yökdil #yds  #ales #ösym2021  #kpss2021
#yks2021 #ingilizce #universite 
#gramer #ydt2021",,,,,"['sorubankorg', 'ingilizcehane', 'yökdil', 'yds', 'ales', 'ösym2021', 'kpss2021', 'yks2021', 'ingilizce', 'universite', 'gramer', 'ydt2021']"
SoruBank,@sorubankorg,2021-08-06T11:17:58.000Z,"It has nothing to do with ...................... . Arbitrarily chosen four options, sheer luck it is.

#ingilizcehane #yökdil #yds  #ales #yks2021 #ingilizce #universite #ydt2021 #vocabulary #speakenglish #englishlearning #language #englishschool #languages  #english #ingilizce","self-appreciation
75%
self-mortification
0%
self-abnegation
25%
self-narrative
0%
4 votes
·
Final results",,,1,"['ingilizcehane', 'yökdil', 'yds', 'ales', 'yks2021', 'ingilizce', 'universite', 'ydt2021', 'vocabulary', 'speakenglish', 'englishlearning', 'language', 'englishschool', 'languages', 'english', 'ingilizce']"
YDS - YÖKDİL - YKSDİL,@ingilizcehane,2021-08-13T09:30:00.000Z,"Oluşturmak/ meydana getirmek

account for
constitute
comprise
make up 
form
effectuate
create
compose

#yökdil #yds  #ales #yks2021 #ingilizce  #yksbaraj #dgs2021 #tyt2021   #ykstercih2021 #kpss",,,,4,"['yökdil', 'yds', 'ales', 'yks2021', 'ingilizce', 'yksbaraj', 'dgs2021', 'tyt2021', 'ykstercih2021', 'kpss']"
YDS - YÖKDİL - YKSDİL,@ingilizcehane,2021-08-07T07:35:01.000Z,"#yökdil #yds  #ales #ösym2021  #kpss2021
#yks2021 #ingilizce #üniversite #tercih #eyds #MEB #ösym #yagmur #boks

prevent?","commit
10.3%
disperse
29.3%
preclude
48.3%
indicate
12.1%
58 votes
·
Final results",,,2,"['yökdil', 'yds', 'ales', 'ösym2021', 'kpss2021', 'yks2021', 'ingilizce', 'üniversite', 'tercih', 'eyds', 'MEB', 'ösym', 'yagmur', 'boks']"
YDS - YÖKDİL - YKSDİL,@ingilizcehane,2021-08-12T20:35:39.000Z,"#yökdil #yds  #ales #müjde #yks2021 #ingilizce  #yksbaraj #dgs2021 #tyt2021 #dolartl #ykstercih #ykstercih2021

a large, destructive fire that spreads quickly over woodland or brush.","deforestation
19.7%
wildfire
61.8%
combustion
7.9%
fireworks
10.5%
76 votes
·
Final results",,,,"['yökdil', 'yds', 'ales', 'müjde', 'yks2021', 'ingilizce', 'yksbaraj', 'dgs2021', 'tyt2021', 'dolartl', 'ykstercih', 'ykstercih2021']"
YDS - YÖKDİL - YKSDİL,@ingilizcehane,2021-08-10T06:27:50.000Z,"#yökdil #yds  #ales #kpss2021
#yks2021 #ingilizce  #MEB #ösym  #dgs2021 #üniversite #tercih2021 #üniversiteli #okullar

immediate?","invalid
4.1%
idle
4.1%
fortify
10.2%
urgent
81.6%
49 votes
·
Final results",,,1,"['yökdil', 'yds', 'ales', 'kpss2021', 'yks2021', 'ingilizce', 'MEB', 'ösym', 'dgs2021', 'üniversite', 'tercih2021', 'üniversiteli', 'okullar']"
YDS - YÖKDİL - YKSDİL,@ingilizcehane,2021-08-13T06:17:19.000Z,"yökdil #yds  #ales #müjde #yks2021 #ingilizce  #yksbaraj #dgs2021 #tyt2021 #dolartl #ykstercih #ykstercih2021 #kpss

The number of deaths?","rodent
19.2%
fatigue
21.2%
toll
28.8%
demise
30.8%
52 votes
·
Final results",,,1,"['yds', 'ales', 'müjde', 'yks2021', 'ingilizce', 'yksbaraj', 'dgs2021', 'tyt2021', 'dolartl', 'ykstercih', 'ykstercih2021', 'kpss']"
