username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
India In Namibia,@IndiainNamibia,2021-08-13T11:25:20.000Z,"""Yoga for the mind, body and soul""
@NewEraNewspaper
 writes about the origins of #Yoga, it's health benefits, and it's rising popularity in #Namibia. 

Read below ",Ministry of International Relations & Cooperation and 9 others,,,,"['Yoga', 'Namibia']"
michael robert lawrence is busy AF!,@TheUHMethod,2021-08-13T11:19:14.000Z,"“The quality of our breath expresses our inner feelings.” -T.K.V. Desikachar

#Yoga",,,1,1,['Yoga']
noasanayogagirl,@noasanayogagirl,2021-08-11T18:23:30.000Z,RT if you want to #yoga with me..?,,5,30,293,['yoga']
Harvard Health,@HarvardHealth,2021-08-08T21:00:04.000Z,Several recent studies suggest that #yoga could slow the harmful physical effects of #stress and #inflammation: https://bit.ly/2TPe5Gt #HarvardHealth,,17,171,516,"['yoga', 'stress', 'inflammation', 'HarvardHealth']"
Anna Perrena,@anna_perrena,2021-08-11T13:27:28.000Z,Morning #yoga,,,4,42,['yoga']
Anishaa,@Anishhhhh3,2021-08-09T12:44:00.000Z,"Fitness — if it came in a bottle, everybody would have a great body.
#yoga",,,2,13,['yoga']
Laurie Adamson,@lauriefarmart,2021-08-09T16:17:55.000Z,"Sail the skies, where there is no limit…#Monday #motivation #inspire #create #interior #empowerment #abstract #abstractart #painting #blue #zen #yoga #artwork #paint #art #arte #artist #nature #sky #sea #ocean #sail #painter #fluidart #flow #limitless #earth #clouds #waves #be",,,23,53,"['Monday', 'motivation', 'inspire', 'create', 'interior', 'empowerment', 'abstract', 'abstractart', 'painting', 'blue', 'zen', 'yoga', 'artwork', 'paint', 'art', 'arte', 'artist', 'nature', 'sky', 'sea', 'ocean', 'sail', 'painter', 'fluidart', 'flow', 'limitless', 'earth', 'clouds', 'waves', 'be']"
Miriam Gutierrez,@10gutmir,2021-08-10T18:12:05.000Z,Quiet the mind and the soul will speak. #yoga #tulum #selflove,Miriam Gutierrez,,,5,"['yoga', 'tulum', 'selflove']"
Jeanette JOY Fisher,@JeanetteJoy,2021-08-05T21:56:20.000Z,"""The season of failure is the best time for sowing the seeds of success.""
-Paramahansa Yogananda

#Yoga ",,2,10,26,['Yoga']
Brahma Kumaris,@brahmakumarisHQ,2021-08-09T23:30:04.000Z,"Divinity is reflected in our humble and compassionate attitude towards others, simple, honest and clean intentions of our heart. #brahmakumaris #thoughtoftheday #quoteoftheday #divinity #positivevibes #tuesdayvibes #omshanti #yoga #rajayoga",,,10,49,"['brahmakumaris', 'thoughtoftheday', 'quoteoftheday', 'divinity', 'positivevibes', 'tuesdayvibes', 'omshanti', 'yoga', 'rajayoga']"
latter day sizt,@hugasbigass,2021-08-12T10:23:39.000Z,"today, I just wanted to BE. so today, I just AM. 20 min #yoga done, bcos sometimes 20 mins is all u can and it's enough. be soft on urself for a change ",,,,2,['yoga']
Anne Bjorndal,@AnneBjorndal,2021-08-12T12:55:19.000Z,Best timefor #yoga and #meditation is early morning before breakfast #yoga,,,,1,"['yoga', 'meditation', 'yoga']"
Marlene P Pruett,@MarlenePPruett,2021-08-12T08:57:55.000Z,"#Yoga is essentially a practice for your soul, working through the medium of your body.",,,1,5,['Yoga']
Jimmy Schnauzer,@JimmySchnauzer,2021-08-11T05:48:03.000Z,Just contemplating my first #yoga move this morning.,,1,,16,['yoga']
baxterimahoundyouknow,@Canteenrun,2021-08-10T20:46:07.000Z,My #yin #yoga supervisor #dogs,,,,8,"['yin', 'yoga', 'dogs']"
Lakey Cakes,@LakeyCakesUK,2021-08-11T22:28:20.000Z,"A year of #yoga, one hour every day. ",,,,,['yoga']
sara,@SoulDxth,2021-08-07T02:29:44.000Z,anything worth doing is worth doing slowly #yoga,,,2,8,['yoga']
Nidhi,@jain_uine,2021-08-07T15:31:12.000Z,"My yoga mat is a magic carpet, when I am on it, I discover places within me I never knew existed

#kingpigeonpose #yoga #yogagirl",,,,7,"['kingpigeonpose', 'yoga', 'yogagirl']"
Jessica Serrano,@serranoatschool,2021-08-10T23:21:08.000Z,We had a great day at LPUniversity! #teachersarelearners #STEM #doorprizes #yoga #LPGreatThings,,,,12,"['teachersarelearners', 'STEM', 'doorprizes', 'yoga', 'LPGreatThings']"
LYFEYoga,@LYFEYoga_,2021-08-09T03:58:13.000Z,Even cats need a liitle #yoga in there day.  #InternationalCatDay,,,,2,"['yoga', 'InternationalCatDay']"
Brooklyn Morgan Johnson,@BrooklynMorganJ,2021-08-12T23:29:45.000Z,you deserve every single thing you dream about ~ brooklynmorgan #yogagirl #yoga #selflove #inspiration  go get it,,,4,19,"['yogagirl', 'yoga', 'selflove', 'inspiration']"
AN Other,@BadOther,2021-08-09T06:58:07.000Z,"Day twenty.

Good, modified session. 

#yogaforwellness
#viewfromthemat
#yoga",,,,1,"['yogaforwellness', 'viewfromthemat', 'yoga']"
Densworld,@densworldnet,2021-08-08T14:47:01.000Z,"A place designed to make you feel whole 

#yoga #inspiration #meditation",,,,2,"['yoga', 'inspiration', 'meditation']"
"The Legian Seminyak, Bali",@LegianSeminyak,2021-08-10T01:31:08.000Z,Good morning from the Island of the Gods. #bali #thelegianseminyak #yoga,,,,3,"['bali', 'thelegianseminyak', 'yoga']"
Sri Aurobindo Ashram - Delhi Branch,@SAADelhiBranch,2021-08-04T03:01:49.000Z,"Quote of the day
#SriAurobindoAshramDelhiBranch
#TheMother #SriAurobindo #SriMaa
#DailyMessage #MotivationalQuotes
#Spiritual #Spirituality #evolution #integralyoga
#Yoga #Peace #Love #Light #Truth #divinity",,,6,10,"['SriAurobindoAshramDelhiBranch', 'TheMother', 'SriAurobindo', 'SriMaa', 'DailyMessage', 'MotivationalQuotes', 'Spiritual', 'Spirituality', 'evolution', 'integralyoga', 'Yoga', 'Peace', 'Love', 'Light', 'Truth', 'divinity']"
Yoga Down Da Bayou,@yogadowndabayou,2021-08-13T09:59:14.000Z,"Good morning everyone!  Happy Friday morning!  

#yoga #yogadowndabayou #goodmorning #morning #sunshine #friday #tgif #fridaymorning #smile #fridayvibes #Fridaythe13th",,1,,1,"['yoga', 'yogadowndabayou', 'goodmorning', 'morning', 'sunshine', 'friday', 'tgif', 'fridaymorning', 'smile', 'fridayvibes', 'Fridaythe13th']"
Emily Dodd,@EmilyDodd5,2021-08-11T17:42:51.000Z,#AHPsActive day11. Bit of a session on the mat #yoga #WeActiveChallenge ,,,,5,"['AHPsActive', 'yoga', 'WeActiveChallenge']"
Lewerta,@Lewerta5,2021-08-12T20:08:13.000Z,"There is power in pausing & wisdom in waiting.

Photo by: mliaroutsos | IG #zen #yoga",,,2,8,"['zen', 'yoga']"
Elaine Harrison,@T0dayistheday,2021-08-10T12:36:16.000Z,Suddenly my legs look less hairy  #yoga #DogsofTwittter,,,,3,"['yoga', 'DogsofTwittter']"
Workout Zone,@Workoutzone1997,2021-08-09T10:50:02.000Z,"Best yoga poses to boost your Immunity.

#yoga #immunity #booster

Image via Sansit",,,,5,"['yoga', 'immunity', 'booster']"
Above The Clouds,@remi213,2021-08-12T04:04:37.000Z,"Running hurts now, not the same when I was 26. Definitely adding more #yoga in my life! #MarathonTraining",,2,,10,"['yoga', 'MarathonTraining']"
Jo Saul,@josco15,2021-08-12T08:30:11.000Z,This mornings kick start was wakey wakey yoga with Teddy dog #thursdaymorning #ThursdayMotivation #yoga,,,,1,"['thursdaymorning', 'ThursdayMotivation', 'yoga']"
Chi Living Yoga & Mindfulness,@ChiLiving1,2021-08-09T18:36:54.000Z,FREE online live yoga session this week . Link in bio to join. #LINK #yoga #freeyoga #onlineclasses #MentalHealthAwareness #MentalHealthMonday #yogaforwellness #yogapeople,,,,2,"['LINK', 'yoga', 'freeyoga', 'onlineclasses', 'MentalHealthAwareness', 'MentalHealthMonday', 'yogaforwellness', 'yogapeople']"
Ram Dass,@BabaRamDass,2021-08-12T11:15:02.000Z,"Ram Dass on Psychedelics and Enlightenment
Ram Dass responds to a question about the potential role of psychedelics as a vehicle for enlightenment in 1976.   …https://ramdass.org/ram-dass-on-psychedelics-and-enlightenment/… 
#ramdass #love #beherenow  #meditation #yoga #consciousness #mindfulness #spiritual #awareness",,,2,12,"['ramdass', 'love', 'beherenow', 'meditation', 'yoga', 'consciousness', 'mindfulness', 'spiritual', 'awareness']"
pj,@Pee_Jay21,2021-08-06T06:23:41.000Z,"Yoga Teacher Training for Diabetes
@PaulJerard
 
#yogafordiabetes #yogatrainingfordiabetes #diabetes #yoga #aurawellnesscenter
https://bit.ly/3A7vHgm",,,5,12,"['yogafordiabetes', 'yogatrainingfordiabetes', 'diabetes', 'yoga', 'aurawellnesscenter']"
Isha Europe,@IshaEurope,2021-08-05T07:29:59.000Z,"Are there actually problems in life? Can there be possibilities in problems? 

#Sadhguru #Life #Wisdom  #InnerEngineering #Yoga #Meditation #Health #Spirituality #Wellness #Wellbeing #IshaFoundation #Quotes #Growth #Consciousness #Possibilities
#thursdaymorning #thursdayvibes",,2,46,78,"['Sadhguru', 'Life', 'Wisdom', 'InnerEngineering', 'Yoga', 'Meditation', 'Health', 'Spirituality', 'Wellness', 'Wellbeing', 'IshaFoundation', 'Quotes', 'Growth', 'Consciousness', 'Possibilities', 'thursdaymorning', 'thursdayvibes']"
Stroud Chiropractic,@StroudChiroNC,2021-08-05T00:10:03.000Z,Cat-cow is one of our favorite #yoga poses for back pain and stiffness. #yogaeveryday #yogi #chiropractor,,1,3,5,"['yoga', 'yogaeveryday', 'yogi', 'chiropractor']"
Yoga Studio USA,@YogaStudioUSA1,2021-08-07T01:46:46.000Z,Im so grateful to these beloved Yoga Studios for having me back & having my back. #Yoga #YogaForAll,,,,4,"['Yoga', 'YogaForAll']"
Van Helsing ( පුෂ්පික ),@Dr_Pushpika,2021-08-07T10:46:54.000Z,When cats talk about #Yoga,,,1,11,['Yoga']
Hello my name is Laura,@lireland197,2021-08-12T16:54:56.000Z,"I’ve done my yoga contortions before class  #yoga #sportsbra  #NursesActive 
@WeNurses",,,1,8,"['yoga', 'sportsbra', 'NursesActive']"
DFA Andrew Heaney,@CWOGULA,2021-08-11T19:29:46.000Z,Discovered these today….#yoga,,,,,['yoga']
Lovys World,@HeartsLovy,2021-08-04T14:22:50.000Z,Rose Infused Face Oil With 24K Gold  #roseoil #lovysworld  #goals #meditation #healthylifestyle #photography #mentalhealthawareness #motivationalquotes #success #self #follow #instadaily #peace #yoga #goodvibes #art #photooftheday #skincareroutine #nature #inspire #fashion #co...,,,1,2,"['roseoil', 'lovysworld', 'goals', 'meditation', 'healthylifestyle', 'photography', 'mentalhealthawareness', 'motivationalquotes', 'success', 'self', 'follow', 'instadaily', 'peace', 'yoga', 'goodvibes', 'art', 'photooftheday', 'skincareroutine', 'nature', 'inspire', 'fashion', 'co']"
michael robert lawrence is busy AF!,@TheUHMethod,2021-08-05T03:23:16.000Z,"“Doing anything with attention to how you feel is doing yoga.” –Jean Couch

#Yoga",,,2,2,['Yoga']
Natalie,@Natalie37886019,2021-08-11T03:07:39.000Z,"“The longest journey of any person is the journey inward."" #Yoga #Namaste #Meditation",,,,2,"['Yoga', 'Namaste', 'Meditation']"
Emma Stone Sports Therapist,@EmmaStonePT,2021-08-08T10:44:45.000Z,Match day … Let’s go  #TheSportsTherapist #yoga #football #millwall,,1,,108,"['TheSportsTherapist', 'yoga', 'football', 'millwall']"
Konscious Youth Development & Service,@KYDS_NJ,2021-08-12T10:45:08.000Z,"Let's get it!

#KYDS #yoga #SOULutions",,,,,"['KYDS', 'yoga', 'SOULutions']"
MinTech Agency,@MintechAgency,2021-08-03T17:02:03.000Z,"#Mentalhealth has been at the forefront for black communities as of late. Nothing is more important than taking care of oneself. We just want to remind you to take time for yourself and recharge as needed 

#selfcare #yoga #peace #power #100daysofcode #coding #womenwhocode",,,6,4,"['Mentalhealth', 'selfcare', 'yoga', 'peace', 'power', '100daysofcode', 'coding', 'womenwhocode']"
Malvin Hobbs Photography,@malvinhobbs,2021-08-03T18:25:52.000Z,Fitness Photography for me started 3 years back. This is just one of the photos from 3 years back to when it all started.  #fitness #photoshoot #photography #yoga #fitnessphotographer #lifestylephotography #yogaphotography #fitfam #iwinkstudios #photographer #studiophotography,,,1,3,"['fitness', 'photoshoot', 'photography', 'yoga', 'fitnessphotographer', 'lifestylephotography', 'yogaphotography', 'fitfam', 'iwinkstudios', 'photographer', 'studiophotography']"
