username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Dreon,@DreDreOlive,2021-08-11T13:41:49.000Z,"Join us for this power vinyasa flow. Wednesday at 5:15.
.⁣
#yoga4bjj #activate #appreciate #create #dolive #doniu #educate #elevate #hydrate #mamadre #meditate #yoga #yogadaily #yogaeveryday #yogaeverywhere #yogalife #yogalifestyle #yogapractice #yoga4mermaids",,,,,"['yoga4bjj', 'activate', 'appreciate', 'create', 'dolive', 'doniu', 'educate', 'elevate', 'hydrate', 'mamadre', 'meditate', 'yoga', 'yogadaily', 'yogaeveryday', 'yogaeverywhere', 'yogalife', 'yogalifestyle', 'yogapractice', 'yoga4mermaids']"
Yıldız Özkan Terziog,@YTerziog,2021-08-10T06:33:31.000Z,"To achieve the power of love, you must learn to give without receiving.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogaeverywhere #yogaislife #yogi",,,2,2,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogaeverywhere', 'yogaislife', 'yogi']"
Yıldız Özkan Terziog,@YTerziog,2021-08-12T07:51:15.000Z,"Awareness is the beginning of the solution.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogaeverywhere #yogaislife #yogaismagic  #yogaposes #healthymind",,,1,3,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogaeverywhere', 'yogaislife', 'yogaismagic', 'yogaposes', 'healthymind']"
Metalhead Yoga,@justanontwit,2021-08-08T20:38:45.000Z,"A beautiful Sunday shout-out to @pammieyogi!!

#yogaeverywhere #yogaoutside #stretch #balance",,,,,"['yogaeverywhere', 'yogaoutside', 'stretch', 'balance']"
lifetimeyogi,@lifetimeyogi,2021-08-06T05:38:29.000Z,"'Change you can believe in.'
 #yogainspiration #yoga #yogapractice #yogalife #yogaeverydamnday #yogalove #yogaeveryday #yogateacher #yogaeverywhere #yogachallenge #yogagirl #yogapose #yogaposes #yogi #yogajourney #meditation #namaste #yogini #fitness #yogadaily #instayoga",,,2,1,"['yogainspiration', 'yoga', 'yogapractice', 'yogalife', 'yogaeverydamnday', 'yogalove', 'yogaeveryday', 'yogateacher', 'yogaeverywhere', 'yogachallenge', 'yogagirl', 'yogapose', 'yogaposes', 'yogi', 'yogajourney', 'meditation', 'namaste', 'yogini', 'fitness', 'yogadaily', 'instayoga']"
Taja Oso FIERCE!!!,@iAmTasha_Fierce,2021-08-08T23:56:58.000Z,"Check out my Yoga at the Work video on YouTube! https://youtu.be/jA6lNBh50YM via 
@YouTube
 
#yogaatwork #yogaathome #officeyoga #deskyoga #yogaatyourdesk #yogaeverywhere #yogaforadministrators #yogaforofficeworkers #corporateyogaclass","Yoga at the Work
If you work at a desk and can't find time to go to the gym, try these simple yoga poses to give your neck and back some extra TLC workout without having to m...
youtube.com",1,,1,"['yogaatwork', 'yogaathome', 'officeyoga', 'deskyoga', 'yogaatyourdesk', 'yogaeverywhere', 'yogaforadministrators', 'yogaforofficeworkers', 'corporateyogaclass']"
@yogaspaceleeds,@yogaspaceleeds,2021-08-12T07:01:36.000Z,"Divine Class up on Yoga Space Online today with Nichi and Luca. Our on demand channel is only £9.99 a month for unlimited access to over 275 http://classes.Link in bio
#yoga #yogamusic #yogaflow #yogaspaceonline #yogaspaceleeds #yogaclasses #yogaeverywhere",,,,,"['yoga', 'yogamusic', 'yogaflow', 'yogaspaceonline', 'yogaspaceleeds', 'yogaclasses', 'yogaeverywhere']"
Vinaykumar Prajapati,@Vinaykumar018,2021-08-13T04:51:20.000Z,"Nature is the best medicine of our body.
@imvinaykumar_4530
@18_yoga_studio

#yogawithvinaykumar #nature
#yoga #yogaeverywhere #fitness  #natureyoga #dholka #love #peace",,,,2,"['yogawithvinaykumar', 'nature', 'yoga', 'yogaeverywhere', 'fitness', 'natureyoga', 'dholka', 'love', 'peace']"
Monika,@Monika48779734,2021-08-08T02:48:48.000Z,"Injuries will come and go yoga will always remain 
Love this simple yet elegant on my toe goddess pose.
#vibewithyourtribe  #yoga 
#morningyoga #onehandyoga #yogapractice #yogainspiration #yogalife #yogastrong #sunday #yogaeveryday #yogaposes #yogaeverywhere #yogagirl #namaste",,3,3,21,"['vibewithyourtribe', 'yoga', 'morningyoga', 'onehandyoga', 'yogapractice', 'yogainspiration', 'yogalife', 'yogastrong', 'sunday', 'yogaeveryday', 'yogaposes', 'yogaeverywhere', 'yogagirl', 'namaste']"
Iyengar Yoga Rishikesh,@iyengaryogattc,2021-08-13T08:45:05.000Z,"Yoga Retreat in Rishikesh 
Check out our Blog: https://iyengaryogarishikesh.tumblr.com

#yogaretreat #yoga #yogainspiration #meditation #yogateacher #yogalife #retreat #yogapractice #yogalove #yogaeverydamnday #wellnessretreat #yogaeveryday #yogaeverywhere #mindfulness #wellness #yogajourney",,,,,"['yogaretreat', 'yoga', 'yogainspiration', 'meditation', 'yogateacher', 'yogalife', 'retreat', 'yogapractice', 'yogalove', 'yogaeverydamnday', 'wellnessretreat', 'yogaeveryday', 'yogaeverywhere', 'mindfulness', 'wellness', 'yogajourney']"
