username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Brooklyn Morgan Johnson,@BrooklynMorganJ,2021-08-13T00:06:45.000Z,be proud of yourself and everything you stand for ~ brooklynmorgan #selflove #inspiration #yogagirl,,,7,28,"['selflove', 'inspiration', 'yogagirl']"
Brooklyn Morgan Johnson,@BrooklynMorganJ,2021-08-13T10:08:07.000Z,"as difficulty unfolds beauty reveals herself to the keen eye, but remains unseen for the skeptical ~ brooklynmorgan #inspiration #affirmations #selflove #yogagirl #yoga",,,2,3,"['inspiration', 'affirmations', 'selflove', 'yogagirl', 'yoga']"
Brooklyn Morgan Johnson,@BrooklynMorganJ,2021-08-11T02:09:32.000Z,"that amazing rush when in a split second they look in your eyes and see right into your soul; you know in that moment that you are connected forever, because they, for the first time,
see you for who you really are ~ brooklynmorgan #selflove  #inspiration #yogagirl",,,13,44,"['selflove', 'inspiration', 'yogagirl']"
Brooklyn Morgan Johnson,@BrooklynMorganJ,2021-08-11T23:31:10.000Z,"with a whisper, a daydream, and the wink of a poets eye,  #peace is a choice we can hear and must make ~ brooklynmorgan #selflove #inspiration #yogagirl",,,11,29,"['peace', 'selflove', 'inspiration', 'yogagirl']"
Brooklyn Morgan Johnson,@BrooklynMorganJ,2021-08-10T12:20:55.000Z,how you do anything is how you do everything ~ brooklynmorgan #selflove #yogagirl #yoga #inspiration,,,16,48,"['selflove', 'yogagirl', 'yoga', 'inspiration']"
ruchi kokcha,@ruchikokcha,2021-08-13T07:50:58.000Z,Time when I was at my best fitness level. Wish to gain this form back. #FitnessGoals #yoga #yogagirl,,19,14,220,"['FitnessGoals', 'yoga', 'yogagirl']"
yogawithindia,@yogawithindia1,2021-08-07T16:33:58.000Z,Yoga was amazing today! We worked on sun salutations and full body work our flow for beginners! #yogagirl #yogawithindie #yogabythelake #blackyogi,,,1,3,"['yogagirl', 'yogawithindie', 'yogabythelake', 'blackyogi']"
rblyoga,@rblyoga,2021-08-05T18:06:18.000Z,"Summer strolling with @hannitreweek wearing our Air Genesis Bra and Leggings in cyan. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#rblyoga #yogawear #yogastyle #yoga #yogagirl #athleticwear #sportswear #ootd",,,1,2,"['rblyoga', 'yogawear', 'yogastyle', 'yoga', 'yogagirl', 'athleticwear', 'sportswear', 'ootd']"
IE Lifestyle,@lifestyle_ie,2021-08-13T04:54:02.000Z," ""Focus on every breath and mentally scan yourself to consciously let go of stress,"" #KareenaKapoorKhan said | #yogagirl #workoutmotivation ","‘Never felt more peaceful’: Kareena Kapoor Khan on why Shavasana is a must after yoga practice
""Focus on every breath and mentally scan yourself to consciously let go of stress,"" the actor added
indianexpress.com",,1,7,"['KareenaKapoorKhan', 'yogagirl', 'workoutmotivation']"
Brooklyn Morgan Johnson,@BrooklynMorganJ,2021-08-05T10:02:00.000Z,"today I choose to be kind, compassionate, understanding, and I choose to bring a peaceful joy along my way; please come with me
~ BrooklynMorgan #yogagirl #yoga #selflove #inspiration #Love",,,11,48,"['yogagirl', 'yoga', 'selflove', 'inspiration', 'Love']"
Brooklyn Morgan Johnson,@BrooklynMorganJ,2021-08-10T01:24:53.000Z,treat those who mean the least to you as if they meant the most to you  ~ brooklynmorgan #selflove #kindness #yogagirl #inspiration,,2,12,40,"['selflove', 'kindness', 'yogagirl', 'inspiration']"
Brooklyn Morgan Johnson,@BrooklynMorganJ,2021-08-12T00:56:31.000Z,"what is the price of truth, of peace, of happiness; it is the cost of opening your heart to inclusion, to understanding, and to Love ~ BrooklynMorgan#selflove #yogagirl #yoga #inspiration",,,8,13,"['selflove', 'yogagirl', 'yoga', 'inspiration']"
Brooklyn Morgan Johnson,@BrooklynMorganJ,2021-08-04T12:13:58.000Z,sometimes the greatest joy can come from the simplest things ~ brooklynmorgan #yogagirl #yoga #selflove #Inspire,,1,8,27,"['yogagirl', 'yoga', 'selflove', 'Inspire']"
Sonal Chauhan,@Cutiepie_Sonal,2021-08-12T05:11:22.000Z,"The pose begins when you want to leave it

#yogafun #yogagirl 
#SonalCuauhan #Love #SonalIsLove #NationalCrush #NationalCrushSonal 
@sonalchauhan7
 ",SONAL CHAUHAN,,2,49,"['yogafun', 'yogagirl', 'SonalCuauhan', 'Love', 'SonalIsLove', 'NationalCrush', 'NationalCrushSonal']"
Brooklyn Morgan Johnson,@BrooklynMorganJ,2021-08-07T18:12:25.000Z,"your confidence is as attractive as a beautiful smile, your courage as magnetic as your warm light touch, and your faith as beautiful as it is both graceful and elegant ~ brooklynmorgan #selflove #inspiration #yogagirl #sailing",,2,10,24,"['selflove', 'inspiration', 'yogagirl', 'sailing']"
Tapas Yogini,@Ankasingh27,2021-06-24T13:09:18.000Z,"JUST BREATHE 
.
.
#YogaDay #YogaForWellness #yogagirl #YogaForAll #yogaforhealth #yogalove #yoga",,,1,3,"['YogaDay', 'YogaForWellness', 'yogagirl', 'YogaForAll', 'yogaforhealth', 'yogalove', 'yoga']"
Di.H,@DiH62130323,2021-06-30T20:27:37.000Z,"Finally made collage of all (almost) chapters YogaGirl Adventure Season2
Bonus pages will add tomorrow

#pixelart #ドット絵 #yogagirl",,1,5,28,"['pixelart', 'ドット絵', 'yogagirl']"
