username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Isabelle Shee,@IsabelleShee,2020-08-10T04:31:51.000Z,Nothing better than yoga by the sea  #yogaislife,,9,2,202,['yogaislife']
Jamie,@jamielynn2755,2021-08-03T23:42:46.000Z,"Tonight was my first time attempting this pose and I have to be honest, I think I killed it for my try. #YogaIsLife ",,,,5,['YogaIsLife']
Suzin Varro,@TRainbowWarrior,2020-09-12T13:30:08.000Z,"Prove to the world that you are alive, let your words breathe life into the nostrils of the universe.
#yogaislife",,1,,4,['yogaislife']
Big Raven Yoga,@bigravenyoga,2020-05-19T12:14:49.000Z,"Try it for yourself!

#Yogaislife 
#lockdownyoga",,,1,2,"['Yogaislife', 'lockdownyoga']"
Suvega Digital Media,@DigitalSuvega,2021-06-21T03:35:02.000Z,"International Yoga Day!

#suvegadigital #digitalmarketing #IVR #smsmarketing #WhatsApp #socialmedia #Website #TollFree #OBD  #seo #paidpromotion #yoga   #internationalyogaday  #internationalyogaday2021 #stretchyourself #boostimmunity #yogaislife  #yogadaily",,,1,2,"['suvegadigital', 'digitalmarketing', 'IVR', 'smsmarketing', 'WhatsApp', 'socialmedia', 'Website', 'TollFree', 'OBD', 'seo', 'paidpromotion', 'yoga', 'internationalyogaday', 'internationalyogaday2021', 'stretchyourself', 'boostimmunity', 'yogaislife', 'yogadaily']"
Neha नायक,@yogagirlnaina,2021-03-05T14:39:44.000Z,"Whatever makes you truly happy, do that!
#yogaislife #FridayVibes",,3,21,129,"['yogaislife', 'FridayVibes']"
Deina,@iam_Deina,2020-12-18T21:01:31.000Z,The world is your classroom and people are your assignments!  #mindfulawareness #innerknowing #innerlight #healingjourney #selfawareness #buddahquotes #buddahmentality #shakti #goddesslight  #feminineenergy #goddesslight  #goddessVibes #yogaislife,,,,2,"['mindfulawareness', 'innerknowing', 'innerlight', 'healingjourney', 'selfawareness', 'buddahquotes', 'buddahmentality', 'shakti', 'goddesslight', 'feminineenergy', 'goddesslight', 'goddessVibes', 'yogaislife']"
Emma Jackson,@CBRE_Emma,2019-08-13T16:00:46.000Z,Learning to stand on one foot in today’s yoga class on city office roof #WorkWellMonth #CBRE #GreenMachine #YogaIsLife #RooftopYoga,,1,,3,"['WorkWellMonth', 'CBRE', 'GreenMachine', 'YogaIsLife', 'RooftopYoga']"
Flowerbank Early Childhood Centre,@Flowerbankecc,2020-01-17T15:30:30.000Z,"Todays Yoga session was led by Meddy Teddy and we were practising the following poses: Warrior 2, Downward Dog, Happy Baby, Butterfly, Frog, Cobra and Tree 
@EACHWBteam
 @earlyyearsscot
 #MindfulFridays #YogaIsLife",,,3,10,"['MindfulFridays', 'YogaIsLife']"
IRCTC,@IRCTCofficial,2020-06-21T15:26:20.000Z,"#InternationalDayOfYoga was celebrated with much gusto by team #IRCTC. Here are a few pictures that will fill you with energy and motivation to try some new yoga asanas today! #YogaIsLife #MyYogaMyLife #YogaDay2020 #YOGAatHOME 
@moayush",,3,4,64,"['InternationalDayOfYoga', 'IRCTC', 'YogaIsLife', 'MyYogaMyLife', 'YogaDay2020', 'YOGAatHOME']"
Yoga Journal,@Yoga_Journal,2019-05-09T16:15:20.000Z,"Absolutely no one: 

Me: So today I started off with a restorative hatha flow, deep pranayama breathwork, and some detoxifying seated twists. Going to finish off the day with a vinyasa and yin flow followed by an hour of meditation and journaling before bed.
#yogaislife",,5,20,101,['yogaislife']
خـــولة الســـالم,@KhawlahAlsalem,2018-12-29T08:51:46.000Z,"I AM BACK! 
And officially, announcing a new chapter of my life.  
If you know anyone who might be interested in this, please spread the word! 
#yogaislife… https://instagram.com/p/Br9wuqph2cmFcPFS2NP6cMQPjSpAlsBrrfA3ew0/?utm_source=ig_twitter_share&igshid=1xj621xxk1wrr…",,1,12,2,['yogaislife']
K. Holiday,@Maatkatara,2019-07-18T05:37:25.000Z,One time for the love of yoga #yoga #yogaislife #blackgirlyogi,,4,2,46,"['yoga', 'yogaislife', 'blackgirlyogi']"
Sonali FitnessMana,@SonaliFtnesMana,2021-05-31T15:17:37.000Z,Skyview during #yogapractice enjoyed a session on rooftop with kids #sky #skyphotography #skyphotos #stayathome #stayfit #staypositive #staystrong #lockdowndiaries #yogaathome #yoga #yogaforwomen #yogaislife #fitness #yogaforkids #NaturePhotography #celebratefitness #FitnessMana,,,,11,"['yogapractice', 'sky', 'skyphotography', 'skyphotos', 'stayathome', 'stayfit', 'staypositive', 'staystrong', 'lockdowndiaries', 'yogaathome', 'yoga', 'yogaforwomen', 'yogaislife', 'fitness', 'yogaforkids', 'NaturePhotography', 'celebratefitness', 'FitnessMana']"
Elite Yoga Retreats,@EliteYoga_Dubai,2019-12-31T09:12:06.000Z,"Reaching for a better us. Yoga not only promotes better #wellness but helps soothe worries, so you can practice #mindfulness. #eatwelllivewell
#travelgirls #yogi #healthyme
#wellnessretreat #yogaislife
#yogaeverydamnday #mentalhealth #happynewyear2020",,,1,1,"['wellness', 'mindfulness', 'eatwelllivewell', 'travelgirls', 'yogi', 'healthyme', 'wellnessretreat', 'yogaislife', 'yogaeverydamnday', 'mentalhealth', 'happynewyear2020']"
Fexle Services,@fexle_services,2021-06-21T05:23:40.000Z,"Today on this international yoga and music day, start a good habit of doing yoga and listening to music. Both play an important part in healing our mind, soul, and heart.
#InternationalYogaDay #WorldMusicDay  #YogaDay #InternationalDayofYoga2021 #YogaIsLife #MusicIsLife #MusicDay",,,3,11,"['InternationalYogaDay', 'WorldMusicDay', 'YogaDay', 'InternationalDayofYoga2021', 'YogaIsLife', 'MusicIsLife', 'MusicDay']"
@Way-tech Elevators,@Way-tech Elevators,2021-06-21T05:03:43.000Z,"International Yoga Day...
The yoga pose you avoid the most 
is the one you need the most.
#internationalyogaday2021 #InternationalYogaDay #yoga #yogainspiration #yogaislife #mondaymotivation #mondayvibes #mondaymood #way_tech #elevatorworld",,,1,1,"['internationalyogaday2021', 'InternationalYogaDay', 'yoga', 'yogainspiration', 'yogaislife', 'mondaymotivation', 'mondayvibes', 'mondaymood', 'way_tech', 'elevatorworld']"
