username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Dr. Mickey Mehta,@Mickeymehta,2020-12-15T04:35:13.000Z,"Yoga is poetry... about symmetry & geometry!

Get Evolutionized, Get #Mickeymized!!!

#yogainspiration #yogaguru #morningyoga #yogaismagic #yogaeverywhere #yogasehihoga #yogagram #yogamotivation #holistichealthguru #MickeyMehta",,,,,"['Mickeymized', 'yogainspiration', 'yogaguru', 'morningyoga', 'yogaismagic', 'yogaeverywhere', 'yogasehihoga', 'yogagram', 'yogamotivation', 'holistichealthguru', 'MickeyMehta']"
justiney weiney,@justine_meena,2019-12-09T17:14:33.000Z,So happy I get to do what I do  #YogaIsMagic,,,,2,['YogaIsMagic']
MyYoga,@MyYogaNC,2018-05-18T00:10:39.000Z,"Come feel the magic with us!
Hot yoga class offerings Fri 5/18:
EARLY RISE HOT YOGA 6am w/ Kate
SWEATY EXPRESS 12:30pm w/ Maddy 
SWEATY EXPRESS 6pm w/ Erin
YOGA NIDRA WORKSHOP 7:30pm w/ Mark
#yogaismagic",,,,,['yogaismagic']
Kingston Jael,@kingston_jael,2019-08-17T13:56:58.000Z,Great way to start the day! #serenity #saturdaymood #saturdayvibes #saturdaymotivation #saturdaymorning #yoga #yogaislife #yogaismagic #yogaislove #namaste,,,1,3,"['serenity', 'saturdaymood', 'saturdayvibes', 'saturdaymotivation', 'saturdaymorning', 'yoga', 'yogaislife', 'yogaismagic', 'yogaislove', 'namaste']"
Living Yoga,@mylivingyoga,2021-08-03T16:02:46.000Z,"Remember:  you are only one yoga class away from a good mood. 

#tuesdaythoughts #yogaismagic #yogabliss #mylivingyoga #foresthills #kewgardens #richmondhill #briarwood #jamaicaqueens",,,,2,"['tuesdaythoughts', 'yogaismagic', 'yogabliss', 'mylivingyoga', 'foresthills', 'kewgardens', 'richmondhill', 'briarwood', 'jamaicaqueens']"
Yıldız Özkan Terziog,@YTerziog,2021-08-12T07:51:15.000Z,"Awareness is the beginning of the solution.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogaeverywhere #yogaislife #yogaismagic  #yogaposes #healthymind",,,1,3,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogaeverywhere', 'yogaislife', 'yogaismagic', 'yogaposes', 'healthymind']"
Yıldız Özkan Terziog,@YTerziog,2021-07-22T07:52:50.000Z,"If you want to be a strong person, be grateful for everything you have.
Akif Manaf 
#yoga #yogaeskişehir  #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogaeverywhere #yogaislife #yogaismagic",,,3,2,"['yoga', 'yogaeskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogaeverywhere', 'yogaislife', 'yogaismagic']"
Sanghmitra verma,@sanghmitra0323,2021-01-14T05:10:07.000Z,"""Never say 'NO', never say 'i cannot', for you are infinite. All the power is within you. You can do anything"" ---- Swami Vivekananda
#mitrakesangh #yogawithmitra #yogaclassesonline #yogaisforeverybody #yogainstructor #learnyoga #yogaposes #yogasehihoga #yogaismagic #yoga",,,,,"['mitrakesangh', 'yogawithmitra', 'yogaclassesonline', 'yogaisforeverybody', 'yogainstructor', 'learnyoga', 'yogaposes', 'yogasehihoga', 'yogaismagic', 'yoga']"
Kate Wathall,@KateWathTV,2020-01-06T20:41:07.000Z,"After over a week of the flu, finally felt up to some movement today and did an hour of yoga. Feeling like a new human and on the mend. #yogaismagic #yoga",GIF,,,,"['yogaismagic', 'yoga']"
Inner Strength Fit & Yoga,@InnerStrengthFS,2020-01-24T18:38:05.000Z,"Saturday’s Vibe  Join us
8am YogaBarre w/Stephanie 
9am Mellow Flow w/Stefanie 
10:15am Self Defense w/Donna #saturday #weekendvibes #asanarebel #yogaismagic #yogatribe #barreworkout #barrebabes #selfdefense #selfcare #joinus #igbethlehem #lehighvalley… https://ift.tt/38DB6y4",,,,,"['saturday', 'weekendvibes', 'asanarebel', 'yogaismagic', 'yogatribe', 'barreworkout', 'barrebabes', 'selfdefense', 'selfcare', 'joinus', 'igbethlehem', 'lehighvalley']"
BANNSTUDIO INC.,@bannstudio,2019-06-21T07:17:19.000Z,"""Begin your journey to a better life with a  peace, love, and Happiness ""
World yoga day 
.
.
.
.
#internationalyogaday #worldyogaday #internationalyogaday2019 #yogaday2019 #yogadayoga #yogaisstrength #yogaismagic #yogaislife #yoga #yogaremovesgohealsthesoul",narendramodi_in,,,2,"['internationalyogaday', 'worldyogaday', 'internationalyogaday2019', 'yogaday2019', 'yogadayoga', 'yogaisstrength', 'yogaismagic', 'yogaislife', 'yoga', 'yogaremovesgohealsthesoul']"
Eminy Creations,@eminycreations,2020-03-13T02:57:20.000Z,"Practice yoga to keep the balance in life  #namaste .
.
.
.
.
.

#yoga #yogainspiration #yogapractice #yogateacher #yogaeveryday #yogalife #yogalove #yogabalance #begrounded #yogahelps #yogaheals #yogaismagic #yogaforall #yogatime #practiceyoga #l… https://ift.tt/2U6qKRo",,,,,"['namaste', 'yoga', 'yogainspiration', 'yogapractice', 'yogateacher', 'yogaeveryday', 'yogalife', 'yogalove', 'yogabalance', 'begrounded', 'yogahelps', 'yogaheals', 'yogaismagic', 'yogaforall', 'yogatime', 'practiceyoga', 'l']"
Yoga Hens Ltd,@yogahensltd,2018-04-08T00:43:07.000Z,"What difference does yoga make? 
Yoga benefits the mind & body in many ways but one of the most powerful changes we see daily is in the way people carry themselves & how they think about themselves after yoga 
#change #powerful #yogahens #yogaismagic #yoga",,,1,2,"['change', 'powerful', 'yogahens', 'yogaismagic', 'yoga']"
Our Yoga World,@our_yoga,2019-01-24T02:30:06.000Z,"All Leggings are Buy One, Get One Free Link in Bio or use code buyonegetone at checkout!! #yogapants #fitnessleggings #buyonegetonefree #leggingsforsale #leggingssale #lifetimefitness #womenswear #homegymflow #tracksuite #ouryogaworld #yogais #yogaismagic",,,1,,"['yogapants', 'fitnessleggings', 'buyonegetonefree', 'leggingsforsale', 'leggingssale', 'lifetimefitness', 'womenswear', 'homegymflow', 'tracksuite', 'ouryogaworld', 'yogais', 'yogaismagic']"
Inner Balance Yoga.Life,@inneryogalife,2018-09-03T16:10:38.000Z,"Yoga classes start back this Thursday on the 6th! Can’t wait to teach you all some new yoga tricks!
Welcoming back my faithful students & new ones....see you on your mats Sx #yogastudents #yogapostures #yogaforeveryone #yogaismagic",,,,,"['yogastudents', 'yogapostures', 'yogaforeveryone', 'yogaismagic']"
TopPropMart,@toppropmart,2021-06-21T05:46:21.000Z,"“The nature of yoga is to shine the light of awareness into the darkest corners of the body.”
.
.
.
.
.
#MakaanSeGharTak #yogaday #yogaday2021 #internationalyogaday #internationalyogaday2021  #internationalyoga #yogaislove #yogaisfun #yogaisforeveryone #yogaismagic #",,,,,"['MakaanSeGharTak', 'yogaday', 'yogaday2021', 'internationalyogaday', 'internationalyogaday2021', 'internationalyoga', 'yogaislove', 'yogaisfun', 'yogaisforeveryone', 'yogaismagic']"
Ina Novoa Yoga,@inanovoa_yoga,2020-03-29T16:42:38.000Z,SUNDAY. Take it slow and give your soul a chance to catch up with your body.”  #sundayvibes #morningmotivation #yogahome #yogapractice #yogaallday #yogaeverydamnday #yogalove #yogaismagic #yogadaily #yogamoms @… https://instagram.com/p/B-UxytVDl9G/?igshid=di449lg5w0u6…,,,,,"['sundayvibes', 'morningmotivation', 'yogahome', 'yogapractice', 'yogaallday', 'yogaeverydamnday', 'yogalove', 'yogaismagic', 'yogadaily', 'yogamoms']"
Burning Heart Studio,@burninghearts_,2020-01-16T19:07:54.000Z,"Shift your vision. See what you see  
.
.
.
#burningheart #whybaptisteyoga #bethechange #yogaismagic #practice #tapas @ Burning Heart South https://instagram.com/p/B7ZEY0qlrhU/?igshid=j78d79eziuj1…",,,,,"['burningheart', 'whybaptisteyoga', 'bethechange', 'yogaismagic', 'practice', 'tapas']"
Fe Maryenne,@FeMaryenne,2019-10-29T17:05:08.000Z,"Zeal    
Be the world, 
but don’t allow the world being you.



 
#yogaismagic #asanaaddict #yogawellness #yogaliebe #dailyyogapractice #yogaflows #standinghandtobigtoe #utthitahastapadaangustha #asana… https://instagram.com/p/B4Nbh74o-G9/?igshid=1knd77hvn5orh…",,,,,"['yogaismagic', 'asanaaddict', 'yogawellness', 'yogaliebe', 'dailyyogapractice', 'yogaflows', 'standinghandtobigtoe', 'utthitahastapadaangustha', 'asana']"
Joz’Eh Yogini,@JoHotte,2019-06-14T11:52:05.000Z,Join me tonight @ 7:15pm morphtransformation Metamorphosis for a beautiful gentle hatha.                                                       #yogaeverydamnday #yogaismagic #itsthelittlethingsinlife #valcaron #local… https://instagram.com/p/BysGz1yHWNF/?igshid=8tbb03wt1uiy…,,,,,"['yogaeverydamnday', 'yogaismagic', 'itsthelittlethingsinlife', 'valcaron', 'local']"
Taylor the Tailor of Tales,@tElizaRose,2018-06-29T03:30:57.000Z,Finally did some #yoga today and my back feels so much better. #yogaismagic,,1,,1,"['yoga', 'yogaismagic']"
The Full Yoga Method,@fullyogamethod,2018-03-16T16:03:05.000Z,It’s Friday! | Yoga class tonight exertgym 6pm #fridaynight #yogaismagic @ Exert Fitness Gym https://instagram.com/p/BgY91o8AkGH/,,,,,"['fridaynight', 'yogaismagic']"
Joz’Eh Yogini,@JoHotte,2019-06-25T12:02:08.000Z,Join me tonight at Metamorphosis from 6:30-7:30pm for a nice calming hatha class.                                morphtransformation #yogaeverydamnday #gowiththegentleflow #staycalm #yogaismagic #anuraktinorth… https://instagram.com/p/BzIctFGHUOr/?igshid=b0rtfu08jpx4…,,,,,"['yogaeverydamnday', 'gowiththegentleflow', 'staycalm', 'yogaismagic', 'anuraktinorth']"
Sasha Norton Yoga,@SashaNortonYoga,2019-12-31T21:04:39.000Z,"2019 was so last decade... looking towards the next decade with 20-20 vision
.
Happy New Year everyone 
.
#happynewyear #2020 #9for2019 #yoga #yogainspiration #yogaislife #yogaismagic #yogaisfun #yogaisforeverybody https://instagram.com/p/B6wFBpenonT/?igshid=148pyf1fhc1z1…",,,,,"['happynewyear', '2020', '9for2019', 'yoga', 'yogainspiration', 'yogaislife', 'yogaismagic', 'yogaisfun', 'yogaisforeverybody']"
Tam i Tam,@Tam4riz,2020-06-21T10:54:27.000Z,"""Inhale peace, Exhale love"" 
.
Happy International Yoga Day 
.
.
.
#yoga #yogaismagic #internationalyogaday #yomecuido #yomeescucho #yomequiero #isladelburguillo #landofdreams en Isla del Burguillo https://instagram.com/p/CBscru_qz9f/?igshid=6cditukjjdj8…",,,,,"['yoga', 'yogaismagic', 'internationalyogaday', 'yomecuido', 'yomeescucho', 'yomequiero', 'isladelburguillo', 'landofdreams']"
De La Sol Yoga,@DeLaSolYoga,2019-01-29T15:52:44.000Z,"Yoga 
.
.
Grab your pals, dress warm, and join us today! We're open! 
.
.
.
Photo by 
@kalimayoga
 
.
.
#hamont #delasolyoga #galpals #yogis #yogateacher #yogateachertraining #yogatransformation #yogaislife #yogaismagic http://bit.ly/2BcQ1Rn",,,,,"['hamont', 'delasolyoga', 'galpals', 'yogis', 'yogateacher', 'yogateachertraining', 'yogatransformation', 'yogaislife', 'yogaismagic']"
The Vinyasa Cloud,@VinyasaCloud,2019-01-28T13:55:43.000Z,Even #BadassYoginis like soulshine.divine know when it's time to #Chill after a long day of yoga teacher training at #Vinyasaartslkn #yogaispeace #YogaIsMagic #yogastudio #yogastudent… https://instagram.com/p/BtLkDGIBhqR/?utm_source=ig_twitter_share&igshid=3nvhuar5u3tj…,,,,,"['BadassYoginis', 'Chill', 'Vinyasaartslkn', 'yogaispeace', 'YogaIsMagic', 'yogastudio', 'yogastudent']"
Ina Novoa Yoga,@inanovoa_yoga,2020-08-14T14:46:07.000Z,"“Opportunities to find deeper powers within ourselves come when life seems most challenging.” - Joseph Campbell   NOW  #motivationalquotes #mood #icandothis #fridayfeeling #yogaismytherapy #yogaismagic @ Lima, Peru https://instagram.com/p/CD36KFwDehY/?igshid=1fuibmck97vvn…",,,,,"['motivationalquotes', 'mood', 'icandothis', 'fridayfeeling', 'yogaismytherapy', 'yogaismagic']"
*Chef Mardi*,@ChefMardi,2019-02-05T21:49:12.000Z,"See you this evening at @IfatKent  for some beautiful energy movement and mindful adventures! 

.
.
.
#yogaismagic #mindfuladventures #theyoganestfl #yogabasics101 #vinyasaconasana… https://instagram.com/p/Btg_qLbhz8H/?utm_source=ig_twitter_share&igshid=ri9d84rmpx2a…",,,,,"['yogaismagic', 'mindfuladventures', 'theyoganestfl', 'yogabasics101', 'vinyasaconasana']"
Cassandra Rudge,@Cassandra499,2018-10-02T11:12:45.000Z,"My sanctuary. It is here I come to start or end my day. It’s the one place, aside from my husband’s arms, where I feel absolute calm #yogalife #yogagirl #yogaforwomen #yogaismagic #ohm… https://instagram.com/p/BobbmNRHQZB/?utm_source=ig_twitter_share&igshid=11cv9xdrrf6hb…",,,,,"['yogalife', 'yogagirl', 'yogaforwomen', 'yogaismagic', 'ohm']"
Naveena Sapra,@Naveenasapra,2020-06-21T11:10:15.000Z,"We are the part of universe and we are the whole universe
.
Happy International Yoga Day 
.
.
.
.
.
.
.
.
.
#internationalyogaday #yogaisforeveryone #yogaismagic #ofsimplethings #morningworkoutdone #mentalwellness… https://instagram.com/p/CBsehvDBBsa/?igshid=8j6kreu1qn9s…",,,,1,"['internationalyogaday', 'yogaisforeveryone', 'yogaismagic', 'ofsimplethings', 'morningworkoutdone', 'mentalwellness']"
Newark Yoga Movement,@NEWARKyogamvmnt,2018-12-14T23:56:53.000Z,Heaven to earth.  Pretty cool. #yogaismagic #yogainspiration #heavenonearth #stretchingminds #32knewarkkidsstrong #learnfromkids #breathe @ Abington Ave https://instagram.com/p/BrYxEftlVf3/?utm_source=ig_twitter_share&igshid=16fic1hfk5mq8…,,,,,"['yogaismagic', 'yogainspiration', 'heavenonearth', 'stretchingminds', '32knewarkkidsstrong', 'learnfromkids', 'breathe']"
Naveena Sapra,@Naveenasapra,2020-06-27T13:35:50.000Z,"ANYTHING IS POSSIBLE!""
""Trust the wait! Embrace the uncertainty, enjoy the beauty of becoming! Rise above your CHALLENGES "" 

#internationalyogaday #yogaisforeveryone #yogaismagic #ofsimplethings… https://instagram.com/p/CB8L9Qdh090/?igshid=tmw5y2szzmyv…",,,,1,"['internationalyogaday', 'yogaisforeveryone', 'yogaismagic', 'ofsimplethings']"
