username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Katie Vangucci,@KVangucci,2021-08-11T19:39:09.000Z,"Day 11 of Active Challenge, it’s yoga again with the incredible Adrienne, building strength physically and mentally. Namaste #ahpsactive #yogalove #soberlife",,1,,4,"['ahpsactive', 'yogalove', 'soberlife']"
San Marcos Yoga,@SanMarcosYoga,2021-08-12T19:07:06.000Z,"This is a place of respect and love for the culture and history surrounding yoga. When you join us, you'll not only learn yoga poses but the meaning and power behind them! #sanmarcosyoga #sandiego #vista #carlsbad #sanmarcoca #yoga #yogalife #yogalove #iyengaryoga #bksiyengar",,,,,"['sanmarcosyoga', 'sandiego', 'vista', 'carlsbad', 'sanmarcoca', 'yoga', 'yogalife', 'yogalove', 'iyengaryoga', 'bksiyengar']"
Wisdom of the Ages,@wisdom_ages,2021-08-05T17:19:46.000Z,"  #GentleYoga    is back on the schedule!  Contact us to reserve your spot! 
Check out our Facebook event page here: https://fb.me/e/11FomXlY2

#spirituality #connecticut #yogateacher #yogalove #yoga #connecticut #yogaaddict #yogaposes #meditate #yogalife #yogapose",,,2,2,"['GentleYoga', 'spirituality', 'connecticut', 'yogateacher', 'yogalove', 'yoga', 'connecticut', 'yogaaddict', 'yogaposes', 'meditate', 'yogalife', 'yogapose']"
Gerard Stocks,@gerardstocks,2021-08-09T04:25:33.000Z,"How pretty is that?

#yogadaily #yogateacher #yogalove",,,,,"['yogadaily', 'yogateacher', 'yogalove']"
Monika,@Monika48779734,2021-08-07T03:56:10.000Z,"Who said injuries can stop you from doing what you love.
I'm down what not out 
#yogalove #yogaforever #onehandyoga #yogagirl #practice #stayfocused #stayhealthy #injury #minorinjuries #bepositive #mindset #goals #goodmorning #strength #nevergiveup #inhale #exhale",,2,2,14,"['yogalove', 'yogaforever', 'onehandyoga', 'yogagirl', 'practice', 'stayfocused', 'stayhealthy', 'injury', 'minorinjuries', 'bepositive', 'mindset', 'goals', 'goodmorning', 'strength', 'nevergiveup', 'inhale', 'exhale']"
BeneFIT Bikram Yoga,@beneFITbyyoga,2021-08-13T11:30:40.000Z,"Life moves too quickly.

Slow down and do some yoga today.

9:15am ..B90Y.. True Fix

5:45pm ..B50Y.. Quick Fix

#hillcountryyoga #lakewayTX #yoga #yogalife #yogalove #virtualyoga #health #wellness #fitness #bikram #bikramyoga #hotyoga #sweat",,,,,"['hillcountryyoga', 'lakewayTX', 'yoga', 'yogalife', 'yogalove', 'virtualyoga', 'health', 'wellness', 'fitness', 'bikram', 'bikramyoga', 'hotyoga', 'sweat']"
Yıldız Özkan Terziog,@YTerziog,2021-08-11T10:14:47.000Z,"If there is really no expectation, nothing that emerges will disturb the inner balance and disappoint.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogi",,,2,2,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogi']"
Sonic Bliss Yoga,@sonicblissyoga,2021-08-06T16:15:06.000Z,"Aw...look at these friends in a ""yoga hug""! How are you feeling the love of community? #community #yoga #yogalove #kidsyoga",,,,,"['community', 'yoga', 'yogalove', 'kidsyoga']"
San Marcos Yoga,@SanMarcosYoga,2021-08-10T18:12:13.000Z,Everyone starts somewhere. We want to hear all about what yoga has done for you and what you've learned about yourself along the way. Share in the comments! #sanmarcosyoga #sandiego #vista #carlsbad #sanmarcoca #yoga #yogalife #yogalove,,,,,"['sanmarcosyoga', 'sandiego', 'vista', 'carlsbad', 'sanmarcoca', 'yoga', 'yogalife', 'yogalove']"
Downtown Manhattan Beach,@ManhattanBeachD,2021-08-09T16:31:05.000Z,"Looking for a great way to start your week? How about yoga with an ocean view 

: 
@yogaloftmb
#motivationmonday #yoga #yogaloft #MByoga #LAyoga #yogi #namaste #meditation #yogaeverydamnday #yogalove",,1,,3,"['motivationmonday', 'yoga', 'yogaloft', 'MByoga', 'LAyoga', 'yogi', 'namaste', 'meditation', 'yogaeverydamnday', 'yogalove']"
International Yoga Festival & Health Expo Fdn.,@yogahealthexpo,2021-08-12T17:00:01.000Z,"Fall in love in taking care of yourself. Mind. Body. Spirit.
#yoga #fitness #meditation #yogapractice #love #yogainspiration #yogalife #yogaeverydamnday #mindfulness #yogi #yogateacher #yogalove #motivation #workout #yogaeveryday #pilates #namaste #gym #health #yogahealthexpo",,,2,7,"['yoga', 'fitness', 'meditation', 'yogapractice', 'love', 'yogainspiration', 'yogalife', 'yogaeverydamnday', 'mindfulness', 'yogi', 'yogateacher', 'yogalove', 'motivation', 'workout', 'yogaeveryday', 'pilates', 'namaste', 'gym', 'health', 'yogahealthexpo']"
Kya Time,@kyatime225,2021-08-11T01:58:04.000Z,The practice of Yoga brings us face to face with the extraordinary complexity of our own being. #yoga #meditation #yogi #yogaeverydamnday #namaste #spiritual #spirituality #mindfulness #meditate #success #consciousness #dedication #yogalove #zen #enlightenment #yogainspiration,,,2,2,"['yoga', 'meditation', 'yogi', 'yogaeverydamnday', 'namaste', 'spiritual', 'spirituality', 'mindfulness', 'meditate', 'success', 'consciousness', 'dedication', 'yogalove', 'zen', 'enlightenment', 'yogainspiration']"
FitnessMana,@FitnessMana,2021-08-10T07:01:11.000Z,"Getting neck pain for long working hours
Try these 4 Yoga Poses for instant neck pain relief

Know more- https://bit.ly/3wWYRwB

#yogapose #yogagirl #yogabenefits #neckpain #yogaforall #yogalife #tuesdaymotivations #WorldLionDay #FitnessMana #CelebrateFitness #yogalove",GIF,,1,4,"['yogapose', 'yogagirl', 'yogabenefits', 'neckpain', 'yogaforall', 'yogalife', 'tuesdaymotivations', 'WorldLionDay', 'FitnessMana', 'CelebrateFitness', 'yogalove']"
Yıldız Özkan Terziog,@YTerziog,2021-08-12T07:51:15.000Z,"Awareness is the beginning of the solution.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogaeverywhere #yogaislife #yogaismagic  #yogaposes #healthymind",,,1,3,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogaeverywhere', 'yogaislife', 'yogaismagic', 'yogaposes', 'healthymind']"
lifetimeyogi,@lifetimeyogi,2021-08-06T05:40:12.000Z,"It is said that the senses are great; greater than the senses is the mind; greater than the mind is the intelligence.
#yogapractice #yoga #yogainspiration #yogalife #yogaeverydamnday #yogaeveryday #yogalove #yogateacher #yogagirl #yogaeverywhere #yogachallenge #yogapose",,,1,,"['yogapractice', 'yoga', 'yogainspiration', 'yogalife', 'yogaeverydamnday', 'yogaeveryday', 'yogalove', 'yogateacher', 'yogagirl', 'yogaeverywhere', 'yogachallenge', 'yogapose']"
Monika,@Monika48779734,2021-08-06T04:21:10.000Z,"Don’t wait for your feelings to change to take the action. Take the action and your feelings will change.
#sirsasana #yoga #headstand #yogapractice #yogainspiration #yogalife #fridayvibes #yogaeveryday #flexibility #yogaeverywhere #yogagirl #sirsasanavariation #yogalove #fitness",,,2,16,"['sirsasana', 'yoga', 'headstand', 'yogapractice', 'yogainspiration', 'yogalife', 'fridayvibes', 'yogaeveryday', 'flexibility', 'yogaeverywhere', 'yogagirl', 'sirsasanavariation', 'yogalove', 'fitness']"
FitnessMana,@FitnessMana,2021-08-09T05:28:22.000Z,"Tired of having sleepless nights
Try these restorative & calming yoga poses for insomnia

Know more - https://bit.ly/3wWYRwB

#yogapose #yogasleep #yogagirl #yogalife #sleepy #sleepcure #mondaythoughts #FitnessMana #CelebrateFitness #mondaymorning #yogalove #wellness",FitnessMana,,3,4,"['yogapose', 'yogasleep', 'yogagirl', 'yogalife', 'sleepy', 'sleepcure', 'mondaythoughts', 'FitnessMana', 'CelebrateFitness', 'mondaymorning', 'yogalove', 'wellness']"
Leela Gamlebyen,@LGamlebyen,2021-08-12T09:11:09.000Z,"...and you know what they say! Behind the clouds the sky is always bright and blue  
:
: 
#leela #leelagamlebyen #yoga #yogalove #words #inspiration #quotes #spiritjunkie #mindfulness",,,,,"['leela', 'leelagamlebyen', 'yoga', 'yogalove', 'words', 'inspiration', 'quotes', 'spiritjunkie', 'mindfulness']"
Super-Q-Mart,@SuperQMart1,2021-08-12T07:55:13.000Z,#mindfulness #yogalove #discount #deal Core Workout Sliders (Set Of Two) https://superqmart.com/core-workout-sliders-set-of-two/…,,,,,"['mindfulness', 'yogalove', 'discount', 'deal']"
Art Deco Designs,@ArtDecoFineArt,2021-08-12T20:40:00.000Z,"""Art Deco 14 Yoga Mat"" 
https://bit.ly/35CUdYb  

An #ArtDeco design that looks great on a #YogaMat. 
#Yoga #dailyyoga #WeHo #Hollywood #SantaMonica #BeverlyHills #CulverCity #PlayaVista #LA
#yogapractice #YogaMat #YogaLove #Yoga #Namaste #YogaDaily #meditation #yogalover",,,,1,"['ArtDeco', 'YogaMat', 'Yoga', 'dailyyoga', 'WeHo', 'Hollywood', 'SantaMonica', 'BeverlyHills', 'CulverCity', 'PlayaVista', 'LA', 'yogapractice', 'YogaMat', 'YogaLove', 'Yoga', 'Namaste', 'YogaDaily', 'meditation', 'yogalover']"
San Marcos Yoga,@SanMarcosYoga,2021-08-07T21:07:10.000Z,We've got plenty of room for everyone! Head to http://sanmarcosyoga.com for a schedule of our classes and sign-up information. We can't wait to work out with you! #sanmarcosyoga #sandiego #vista #carlsbad #sanmarcoca #yoga #yogalife #yogalove #iyengaryoga #bksiyengar,,,,,"['sanmarcosyoga', 'sandiego', 'vista', 'carlsbad', 'sanmarcoca', 'yoga', 'yogalife', 'yogalove', 'iyengaryoga', 'bksiyengar']"
kulaforkarma,@kula4karma,2021-08-12T21:13:04.000Z,"The future is in your hands! Whats your first move?⁣
⁣
#kulaforkarmayoga #yogaquotes #thefutureisnow #startnow #yougotthis #youcandoit #youcandothis #keepgoing #changeisgood #makethechange #yogaforall #yogalove #yogateachers #yogastudios #chooseyourfuture #yogalifestyle #future",,,,,"['kulaforkarmayoga', 'yogaquotes', 'thefutureisnow', 'startnow', 'yougotthis', 'youcandoit', 'youcandothis', 'keepgoing', 'changeisgood', 'makethechange', 'yogaforall', 'yogalove', 'yogateachers', 'yogastudios', 'chooseyourfuture', 'yogalifestyle', 'future']"
Vaibhavlaxmi Indian Yogini,@VL_YOGINI,2021-08-13T02:31:50.000Z,"Yoga with Partner
#vaibhavlaxmijhala #fitnessmom #indianmom #indianmomblogger #contortionist #yoga #contortionistsofinstagram #backbend  #yogainsaree #yogalove #YogaForWellness #BallWeights #trending #feelitreelit #feelkaroreelkaro 
#fitness #crossfitgames #Trending",,,1,2,"['vaibhavlaxmijhala', 'fitnessmom', 'indianmom', 'indianmomblogger', 'contortionist', 'yoga', 'contortionistsofinstagram', 'backbend', 'yogainsaree', 'yogalove', 'YogaForWellness', 'BallWeights', 'trending', 'feelitreelit', 'feelkaroreelkaro', 'fitness', 'crossfitgames', 'Trending']"
Leela Gamlebyen,@LGamlebyen,2021-08-06T09:11:09.000Z,"Pssst, yogis! Want to know a secret....
:
: #yoga #yogalove #justbreathe #mindfullness #practiceon #vinyasa #jivamukti #meditation #jivamuktiaffiliate #oslo #hvaskjerioslo #gamlebyen #yogaigamlebyen #yogaeverydamnday #leela #leelayoga #leelagamlebyen #comeplaywithus",,,,,"['yoga', 'yogalove', 'justbreathe', 'mindfullness', 'practiceon', 'vinyasa', 'jivamukti', 'meditation', 'jivamuktiaffiliate', 'oslo', 'hvaskjerioslo', 'gamlebyen', 'yogaigamlebyen', 'yogaeverydamnday', 'leela', 'leelayoga', 'leelagamlebyen', 'comeplaywithus']"
The Yogi Paige,@TheYogiPaige,2021-08-12T18:01:56.000Z,"We Move 
We Groove 

#yoga #yogainspiration #yogamotivation #yogapractice #yogagirl #yogalove #yogapose #yogaeverydamnday #fitness #fitnessmotivation #fitnessinspirations #forearmstand #strongbody #strongermind https://instagram.com/p/CSe83R0DQ8V/?utm_medium=twitter…",,,,1,"['yoga', 'yogainspiration', 'yogamotivation', 'yogapractice', 'yogagirl', 'yogalove', 'yogapose', 'yogaeverydamnday', 'fitness', 'fitnessmotivation', 'fitnessinspirations', 'forearmstand', 'strongbody', 'strongermind']"
