username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Yoga with vaibhav,@VaibhavWith,2021-05-25T14:20:24.000Z,"In truth, Yoga doesn’t take time , it gives time
#yogaphilosophy #yogawithvaibhav #yogawithadriene #yoga #yogalife ,#yogaphilosophy #yogaeverywhere #yogajobs #yogateacher #yogateacher #yogajobs #yogabeneficios #yogainthecity #yogapose #yogainvietnam #vietnamyoga #yogain",Yoga with vaibhav,,,3,"['yogaphilosophy', 'yogawithvaibhav', 'yogawithadriene', 'yoga', 'yogalife', 'yogaphilosophy', 'yogaeverywhere', 'yogajobs', 'yogateacher', 'yogateacher', 'yogajobs', 'yogabeneficios', 'yogainthecity', 'yogapose', 'yogainvietnam', 'vietnamyoga', 'yogain']"
Michelle Rains,@starseedyoga888,2018-10-21T01:43:27.000Z,"If you define yourself, you confine yourself. ~ Mooji #inspiration #yogaphilosophy",,,,3,"['inspiration', 'yogaphilosophy']"
Yoga with vaibhav,@VaibhavWith,2021-05-26T14:58:48.000Z,"Balance -shiva shakti 
 - Sun  moon
Whatever, balance is necessary in our daily life . 
#yoga #yogawithvaibhav #yogaphilosophy
#yogamumbai #yogateacher  #yogainthecity #yogquote #yogajobs #yogainstructor #yogalove #yogalover #yogainthecity #mumbai #nashik #china #vietnam #usayoga",,,2,3,"['yoga', 'yogawithvaibhav', 'yogaphilosophy', 'yogamumbai', 'yogateacher', 'yogainthecity', 'yogquote', 'yogajobs', 'yogainstructor', 'yogalove', 'yogalover', 'yogainthecity', 'mumbai', 'nashik', 'china', 'vietnam', 'usayoga']"
payaldavepatel,@payaldavepatel,2021-06-25T01:58:47.000Z,"Be the best version of yourself 
.
.
.

#yoga #yogagirl #yogaeverywhere #yogasutra #yoga #patanjali #asanas #patanjaliyogasutras #hathayoga #yogainspiration #yogaphilosophy #hathayoga #yogi #sanskrit #yogaawayoflife #spiritual #bhfyp #asanas #kriyayoga #yogawithpayaldavepatel",,1,2,5,"['yoga', 'yogagirl', 'yogaeverywhere', 'yogasutra', 'yoga', 'patanjali', 'asanas', 'patanjaliyogasutras', 'hathayoga', 'yogainspiration', 'yogaphilosophy', 'hathayoga', 'yogi', 'sanskrit', 'yogaawayoflife', 'spiritual', 'bhfyp', 'asanas', 'kriyayoga', 'yogawithpayaldavepatel']"
Shine Right Now Reiki & Yoga,@ShineReikiNow,2021-08-11T22:18:32.000Z,"""There is a lesson in each experience. Learn it & become wise."" -Swami Sivananda
It's difficult to accept a hard lesson. It's much easier to whine and get upset. Later we might realize the teaching & become wiser...Would you agree?
#yoga #yogaphilosophy #yogateachings",,,,,"['yoga', 'yogaphilosophy', 'yogateachings']"
Karen O’Brien-Kop,@obrien_kop,2020-06-24T15:40:37.000Z,"Day 1 of 10 of posting a book cover a day from my shelves with no further comment. Thanks 
@yogic_studies
  #yogaphilosophy",,,,14,['yogaphilosophy']
Yogaward International,@yogaward_intl,2021-07-09T06:10:01.000Z,"Good morning, may sunshine fill your heart this morning and your day be filled with happiness and love.  #goodmorning #morning #fridayvibes #fridayfeeling #positiveenergy #yogalife #mindset #yogaphilosophy",,,1,2,"['goodmorning', 'morning', 'fridayvibes', 'fridayfeeling', 'positiveenergy', 'yogalife', 'mindset', 'yogaphilosophy']"
Simran Mehta,@vivekananda_yog,2018-10-02T03:09:57.000Z,"If you are stressed, you get pimples. If you cry, you get wrinkles.
So just smile and get dimples. 
#smile #TuesdayMotivation #YogaTeacher #yogapractice #motivation #yogagirl #yogaphilosophy #yogaeveryday #yogaeverywhere #yogachallenge 
@YogaWorks
 @iHrithik
 @YI_Mag
 #Throwback",,,22,34,"['smile', 'TuesdayMotivation', 'YogaTeacher', 'yogapractice', 'motivation', 'yogagirl', 'yogaphilosophy', 'yogaeveryday', 'yogaeverywhere', 'yogachallenge', 'Throwback']"
Jeffrey Armstrong,@JeffreyVASA,2021-02-25T20:02:06.000Z,"You can control someone by knowing their habits. That is where they are unconscious. 

_____
#yoga #meditation #bhakti #krishna #wisdom #bhaktiyoga #inspiration #peace #yogi #higherconsciousness #yogainspiration #mindfulness #harekrishna #yogaphilosophy #karma",,1,4,8,"['yoga', 'meditation', 'bhakti', 'krishna', 'wisdom', 'bhaktiyoga', 'inspiration', 'peace', 'yogi', 'higherconsciousness', 'yogainspiration', 'mindfulness', 'harekrishna', 'yogaphilosophy', 'karma']"
Yogaward International,@yogaward_intl,2021-08-11T11:51:01.000Z,I have now given my 200th free live yoga class. I'm doing this all on the side of my demanding day job. In yoga we believe that living through kindness and compassion will bring rewards.  Namaste. #yogateacher #freeyoga #yogainspiration #yogajourney #yogaphilosophy,,1,,3,"['yogateacher', 'freeyoga', 'yogainspiration', 'yogajourney', 'yogaphilosophy']"
