username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Arpita Roy,@aroy900,2021-08-09T12:46:48.000Z,"#mondaymotivation 
The best and safest thing is to keep a balance in your life, acknowledge the great powers around us and in us. If you can do that, and live that way, you are really a wise man.”- Euripides

#yogaposes #yogabody #igyogafit
#yogaddict",,,2,7,"['mondaymotivation', 'yogaposes', 'yogabody', 'igyogafit', 'yogaddict']"
RishikaYoga,@RishikaYoga,2021-08-10T10:34:58.000Z,"Here’s how to do Chakrasana correctly! 
This has to be one of my favourite asanas and that’s because I love seeing the world upside down!! 
.
.
.
#yoga #yogi #yogini #yogaeverydamnday #asana #chakrasana #namaste #yogaposes #selflove #yogateacher #guru #mindfulness",,,2,2,"['yoga', 'yogi', 'yogini', 'yogaeverydamnday', 'asana', 'chakrasana', 'namaste', 'yogaposes', 'selflove', 'yogateacher', 'guru', 'mindfulness']"
JSS Hospital,@HospitalJss,2021-08-12T12:34:02.000Z,"Every morning, do these 3 stretches in bed to slowly start your journey to becoming more flexible. All it takes is a few minutes of dedication in the morning, for a lifetime of comfort and ease.

#JSSHospital #HealthyLifestyle101 #YogaPoses",,,,,"['JSSHospital', 'HealthyLifestyle101', 'YogaPoses']"
Yoga Articles,@parvezbdjsr,2021-08-06T06:05:29.000Z,Chronic lower #BackPain and recovery from back injuries are some of the top reasons that students show up at a #YogaClass What kinds of #YogaPoses are ideal for #LowerBack pain? Here’s a closer look at how #yoga can help the lower back. https://tiny.one/relieve-back-pain…,,1,8,25,"['BackPain', 'YogaClass', 'YogaPoses', 'LowerBack', 'yoga']"
HGroup,@HGroup05,2021-08-13T07:43:00.000Z,"On 19th August there will be yoga event outdoors in the nature that is the ramling Kodi. Register and experience the outdoor yoga with nature

Note :- gym will remain closed on 19 scan the barcode and visit is group office or closed on 9011933336 health

#healthtyoga #yogaposes",,,,,"['healthtyoga', 'yogaposes']"
yogibanker,@yogibanker1,2021-08-09T10:17:06.000Z,"Yoga for Sleep: 15 Poses to Help You Get a Good Night's Rest 

Some good suggestions for yoga poses that may help you sleep.

Do you have any favourites?
@veryenglishyogi
 @yoganama
 @meighlinyoga
  @YogaWithJools
 

#yogaposes #sleep #wellbeing","Yoga for Sleep: 15 Poses to Help You Get a Good Night's Rest
This simple yoga sequence for sleep contains 15 restful poses that all but ensure a proper night's rest.
yogajournal.com",1,2,4,"['yogaposes', 'sleep', 'wellbeing']"
Rajesh kumar,@Rajesh_Kumar3,2021-08-13T05:49:15.000Z,"Yoga Poses to Relieve Back Pain During Pregnancy : https://bit.ly/yoga-poses-during-pregnancy…

#YogaPoses #pregnancy #pregnancycare #yogalife #Pregnancyyoga","Yoga Poses to Relieve Back Pain During Pregnancy
Relieve lower back pain during pregnancy with these simple yoga Poses. So, let us try to know the yoga poses during pregnancy through this article and also know their benefits.
dailypatrika.com",,1,1,"['YogaPoses', 'pregnancy', 'pregnancycare', 'yogalife', 'Pregnancyyoga']"
FitnessMana,@FitnessMana,2021-08-13T06:07:30.000Z,"Yoga Poses for a Healthy Heart - which can gift you a longer & healthy life

Join live online yoga classes here - https://bit.ly/2VIYjxv

#hearthealth #heartdisease #hearthealthy #healthyheart #yoga #yogini #yogagirl #yogaposes #FitnessMana #CelebrateFitness #fridaymorning",GIF,,,2,"['hearthealth', 'heartdisease', 'hearthealthy', 'healthyheart', 'yoga', 'yogini', 'yogagirl', 'yogaposes', 'FitnessMana', 'CelebrateFitness', 'fridaymorning']"
ADORAtherapy,@ADORAtherapy,2021-08-12T15:51:22.000Z,"7 EASY YOGA POSES TO OPEN AND BALANCE YOUR CHAKRAS

https://bit.ly/3hOMNt0

#aromatherapy#adoreyourself #breatheinbreatheout #adoratherapy #veganbeauty #chakrahealing  #mindfulness #chakras #aromaperfume #wellness #balance #chakras #yoga #yogaposes #asana #openandbalancechakras",,,,1,"['aromatherapy', 'adoreyourself', 'breatheinbreatheout', 'adoratherapy', 'veganbeauty', 'chakrahealing', 'mindfulness', 'chakras', 'aromaperfume', 'wellness', 'balance', 'chakras', 'yoga', 'yogaposes', 'asana', 'openandbalancechakras']"
Hot Strong Legs,@Hotstronglegs,2021-08-07T23:13:25.000Z,"Reposted from @micoldelloro  
.
#yoga #yogaeveryday #makingshapes #bodyshape #yogainspiration #yogadaily #yogaposes https://instagram.com/p/CSSoyc6C7r3/?utm_medium=twitter…",,,,,"['yoga', 'yogaeveryday', 'makingshapes', 'bodyshape', 'yogainspiration', 'yogadaily', 'yogaposes']"
