username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
جميل حُسن,@jamilhussan_a,2021-08-08T08:32:27.000Z,"The government had made a promise to the youth, on which it came to power, but now it seems that the #BJP government and #Yogi ji do not care about the unemployed youth.

#YogiYuvaVirodhi",,6,106,116,"['BJP', 'Yogi', 'YogiYuvaVirodhi']"
Sudhir Panwar,@panwarsudhir1,2021-08-08T03:32:22.000Z,Why BJP is not confident after 7 years of #Modi Govt at centre & 4.5 years of #Yogi Govt at Lucknow to ask votes on achievements of government(s).,,,2,5,"['Modi', 'Yogi']"
Marilyn M Maxwell Moon-Child,@MMMaxwellDDD,2021-08-12T02:43:00.000Z,THIS!!! #shadowwork #yogi #reflection,,2,1,16,"['shadowwork', 'yogi', 'reflection']"
Luciano Herrera,@LucianoHerrer77,2021-08-11T03:00:41.000Z,"Some more Jellystone fun, this is what a layout looks like before it goes to the amazing paint department.
#jellystone #yogibear #yogi #hannabarbera #warnerbrosanimation #warnerbros #animation #cartoon #draw #drawing #design #background #fun #town #digitalart",,,3,24,"['jellystone', 'yogibear', 'yogi', 'hannabarbera', 'warnerbrosanimation', 'warnerbros', 'animation', 'cartoon', 'draw', 'drawing', 'design', 'background', 'fun', 'town', 'digitalart']"
SIGHT AND INSIGHT,@Sight_Insight,2021-08-13T05:46:02.000Z,"Well, Opinion Poll makers have started surveying, as #UP2022 would be the most crucial election. Surely, it will set the tone for 2024! Where opposition & media are in no mood to let go even a 'yawn' of #YogiAdityanath, UP Janta looks confident of its double-engine govt! #Yogi",,1,22,30,"['UP2022', 'YogiAdityanath', 'Yogi']"
Sri Sri Note,@SriSriNote,2021-08-11T01:52:59.000Z,"#SriSriNote: Work doesn’t tire as much as desires and attachments. A yogi works 100 percent without desires or attachments. This is Karma Yoga. - 
@SriSri
 

#Work #KarmaYoga #desires #Yogi #tired #WednesdayWisdom",,2,28,74,"['SriSriNote', 'Work', 'KarmaYoga', 'desires', 'Yogi', 'tired', 'WednesdayWisdom']"
SunsetSexySiren,@sunsetsexysiren,2021-08-11T16:27:35.000Z,#HappyHumpDay The weekend is just around the corner!!#WorkoutWednesday #workoutmotivation #yogi #FitnessGirl,,,,14,"['HappyHumpDay', 'WorkoutWednesday', 'workoutmotivation', 'yogi', 'FitnessGirl']"
Luciano Herrera,@LucianoHerrer77,2021-08-10T03:44:55.000Z,"Jellystone from the sky looks so calm.
#art #jellystone #yogi #bubu #hannabarbera #warnerbrosanimation #wb #cartoon #illustration #dibujitosanimados #draw #drawing #sketch #sketching #visualdevelopment #design #visdeg #digitalart",,,3,15,"['art', 'jellystone', 'yogi', 'bubu', 'hannabarbera', 'warnerbrosanimation', 'wb', 'cartoon', 'illustration', 'dibujitosanimados', 'draw', 'drawing', 'sketch', 'sketching', 'visualdevelopment', 'design', 'visdeg', 'digitalart']"
@OrthoKansas,@OrthoKansas,2021-08-11T15:00:33.000Z,"We know that yoga can provide a host of benefits including improved flexibility, balance and strength, but there's still a risk of injury if practiced incorrectly. Visit https://bit.ly/3yz3GOs for tips to help prevent yoga-related injuries. #BeHealthy #yogi",,,,3,"['BeHealthy', 'yogi']"
MG Dez,@MGDez1,2021-08-06T09:57:47.000Z,"Looking forward to attending Paitley Bridge this weekend. Which one I take, #Meg or #Yogi, will largely depend on the weather.",,,,,"['Meg', 'Yogi']"
YogaWares,@YogaWares,2021-08-09T14:09:31.000Z,Excited to share this item from my #etsy shop: #Yogi #Tea #Box #yoga #teabox #meditation #coffeeandtea https://etsy.me/2U24ZWW,,,1,1,"['etsy', 'Yogi', 'Tea', 'Box', 'yoga', 'teabox', 'meditation', 'coffeeandtea']"
Joe Ellenberger,@JoeEllenberger,2021-08-12T14:46:40.000Z, #Yogi on deck next week! #LFG,"rob hockney
@robhockney
 · Aug 11
49 () HIM came out for the launch  of @f3mainstage  on a beautiful Wed morning! Thankful and humbled to lead these men. 

F3 is led in a rotating fashion - no lonely leadership here!! 

@F3Omaha @F3Nation
2:07
619 views",,,6,"['Yogi', 'LFG']"
Sneha Aggarwal,@yogasneh,2021-08-12T10:43:42.000Z,"I am super grateful that I can balance on my hands. I could never have imagined it before I started practicing yoga. Love my yoga journey!

How about you?

#yogasneh #yogi #yogaposture #yogainspiration #yoga",,,,,"['yogasneh', 'yogi', 'yogaposture', 'yogainspiration', 'yoga']"
Yogi Rulez,@RulezYogi,2021-08-12T16:23:07.000Z,"Spiritual context, always. Even after having some beer in HD  #spirituality #chillout #lounge #loungemusic #loungeradio #chilloutradio #yogi",,,,,"['spirituality', 'chillout', 'lounge', 'loungemusic', 'loungeradio', 'chilloutradio', 'yogi']"
Prince Adejumo,@prince_adejumo,2021-08-05T14:59:14.000Z,"… we all want to be understood, to be acknowledged, to be loved … 
#yogi 
@YogiProducts",,,,1,['yogi']
"Jessica L Simpson, MPH #whitecoatsforblacklives",@SimpsonJessicaL,2021-08-05T10:02:01.000Z,"Missing my 60-75min yoga practices. 

Looking forward to getting back to that soonish…

In the meantime, morning stretching will do. #yogi #MedStudentTwitter",,,1,3,"['yogi', 'MedStudentTwitter']"
Kirthikumar BJP (2004028333),@Kirthik27218793,2021-08-11T15:21:45.000Z,just by wearing #SAFFRON he can't become #YOGI..,"BJP Tamilnadu
@BJP4TamilNadu
 · Aug 11
மக்களின் பேராதரவு மற்றும் ஆசிகளை வேண்டி நமது மத்திய இணை அமைச்சர் மாண்புமிகு டாக்டர் திரு .எல்.முருகன் அவர்கள் பிரம்மாண்ட  ""மக்கள் ஆசி  யாத்திரை"" மேற்கொள்ள இருக்கிறார்..

நாள்: ஆகஸ்ட் 16,17,18 ஆகிய தேதிகளில்.

இடம்:கோவை நாமக்கல்,ஊட்டி

@Murugan_MoS @annamalai_k @NarendiranksB",,,,"['SAFFRON', 'YOGI']"
Rupazfunnfitnesscentre,@RupazFAFC,2021-08-10T08:02:31.000Z,"Join us this coming Saturday for the first Yoga and Pilates Festival to ever be held in the city of champions.
Date: 14/08/21
Time: 9 am to 12 noon
: 
@RupazFitness
Charges: 300 for non members
#yoga #fitness #meditation #pilates #yogi #yogateacher #motivation #workout",,,2,3,"['yoga', 'fitness', 'meditation', 'pilates', 'yogi', 'yogateacher', 'motivation', 'workout']"
Yıldız Özkan Terziog,@YTerziog,2021-08-11T10:14:47.000Z,"If there is really no expectation, nothing that emerges will disturb the inner balance and disappoint.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogi",,,2,2,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogi']"
Srikant,@srikxnt,2021-08-07T08:32:13.000Z,Like a Boss. #yogi,"Vijay Patel
@vijaygajera
 · Aug 6
Yogiji ",,,2,['yogi']
Insight Yoga and Meditation,@Insightym,2021-08-06T19:14:26.000Z,"Benefits of meditation....and these are only the top 6....there are many many more!

Book a class with us on the MINDBODY app today!
#yoga #tenafly #bergencounty #yogi #insight #meditation #centered #blessed #yogaandmeditation #coolmoms #trendy",,,2,1,"['yoga', 'tenafly', 'bergencounty', 'yogi', 'insight', 'meditation', 'centered', 'blessed', 'yogaandmeditation', 'coolmoms', 'trendy']"
tony,@tonymurray76,2021-08-05T09:22:52.000Z,"Limited sizes left but £64 is a bargain #yogi #hikerdelic 
@old_town_store","Yogi Man
Old Town General Store is an independent lifestyle store for men and women selling fashion, homewares and beauty products in the heart of Stockport Old Town.
oldtowngeneralstore.co.uk",,4,,"['yogi', 'hikerdelic']"
