username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Prof Dr Ahmet Akgul,@drahmetakgul,2016-07-14T17:26:22.000Z,#mikro #avulsuyon #yöntemi ile #varise son,,,1,1,"['mikro', 'avulsuyon', 'yöntemi', 'varise']"
En Kısa,@enkisa,2010-04-10T20:52:11.000Z,Facebookta #Resimleri #ve #Videoları #Yorumlara #Kapatma #Yöntemi: Facebook gizlilik… http://goo.gl/fb/cYG9V,,,,,"['Resimleri', 've', 'Videoları', 'Yorumlara', 'Kapatma', 'Yöntemi']"
Evren,@evrentw,2015-12-30T07:01:14.000Z,"Made in #TURKEY  
@troyodeme
 #troy #Türkiye'nin #Ödeme #Yöntemi",,,,5,"['TURKEY', 'troy', 'Türkiye', 'Ödeme', 'Yöntemi']"
Asuman Dursun,@DursunAsuman,2015-05-08T10:39:26.000Z,Hahah #sorun #gülme #mutluluk #yöntemi #boşluk https://instagram.com/p/2avtMEAxmV/,,,,,"['sorun', 'gülme', 'mutluluk', 'yöntemi', 'boşluk']"
Prof Dr Ahmet Akgul,@drahmetakgul,2016-09-15T14:31:33.000Z,#Estetik #Varis #Tedavisinde #Mikro #Avulsiyon #Yöntemi nedir? https://lnkd.in/dAZ6th2,,,,2,"['Estetik', 'Varis', 'Tedavisinde', 'Mikro', 'Avulsiyon', 'Yöntemi']"
Salim Tasci,@salimtasci,2014-06-09T10:54:22.000Z,Hahaha #yeni #nesil #not #tutma #yöntemi http://instagram.com/p/pBUtLOCdz4/,,,,,"['yeni', 'nesil', 'not', 'tutma', 'yöntemi']"
İlknur Çakmak,@tugba_ilknur,2020-08-27T10:10:18.000Z,#Covid19 #Korona #Hastalık #Korunma #Yöntemi #Maske #Dikkat #Edilmesi #Gerekenler #C19 #Yenikorona #NewCovid19 #Eskişehir #Ankara #İstanbul #İzmir #Bursa,,,,2,"['Covid19', 'Korona', 'Hastalık', 'Korunma', 'Yöntemi', 'Maske', 'Dikkat', 'Edilmesi', 'Gerekenler', 'C19', 'Yenikorona', 'NewCovid19', 'Eskişehir', 'Ankara', 'İstanbul', 'İzmir', 'Bursa']"
Ahmet Yalçınkaya,@ahmet_yeka,2020-05-22T10:37:29.000Z,#intansif #tarım #yöntemi çay toplama makinesi,"0:10
92 views",,,3,"['intansif', 'tarım', 'yöntemi']"
Hypoxi Türkiye,@HypoxiTurkiye,2016-09-07T09:24:20.000Z,Hamburg Üniversitesi onaylı “#Sağlıklı #Vücut #Şekillendirme #Yöntemi” #Hypoxi ile 4 günde 1 beden incelebilirsiniz.,,,,,"['Sağlıklı', 'Vücut', 'Şekillendirme', 'Yöntemi', 'Hypoxi']"
Kahve Uzmanı Yunus Çakmak,@uzmanbarista,2016-01-19T12:55:24.000Z,"#kahve #pisirme #yöntemi #türkkahvesi #filtrekahve #meyveli #cay #izleyiciler #paylasti
http://yunuscakmak.com/trt-1-zuleyha-ortakin-iyi-fikir-programi/…",Kahve Uzmanı Yunus Çakmak,,,1,"['kahve', 'pisirme', 'yöntemi', 'türkkahvesi', 'filtrekahve', 'meyveli', 'cay', 'izleyiciler', 'paylasti']"
