username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Vikivize,@vikivize,2017-11-19T16:25:51.000Z,"Ketçap, aslı Çin'e dayanan, adı 'ke-tsiap' olan, salamura balık sosudur.              #vikivize #çinvizesi #çinfuarları #çinseyahati #kantonfuarı #cantonfuarı #cantonfair #Pekin #shanghai #chinaplasfuarı #chinaglass #belediyeonaylıdavetiye #sialchinafuarı",,,,,"['vikivize', 'çinvizesi', 'çinfuarları', 'çinseyahati', 'kantonfuarı', 'cantonfuarı', 'cantonfair', 'Pekin', 'shanghai', 'chinaplasfuarı', 'chinaglass', 'belediyeonaylıdavetiye', 'sialchinafuarı']"
Fuartour,@fuartour,2014-03-03T09:21:42.000Z,►► Çin İthalat ve İhracat Fuarı  #cantonfair #istanbul #fuartour #fuar #uzakdogu #turprogramlari #kanton #çinfuarlari,,,,,"['cantonfair', 'istanbul', 'fuartour', 'fuar', 'uzakdogu', 'turprogramlari', 'kanton', 'çinfuarlari']"
Vikivize,@vikivize,2017-11-17T22:00:48.000Z,"Çin' in Yulin şehrinde düzenlenen köpek eti festivali 2017 itibariyle yasaklanmıştır.
#vikivize #çinvizesi #çinseyahati #belediyeonaylıdavetiye #çinfuarları  #çinseyahati #Çinuçakbileti #kantonfuarı #cantonfuarı #cantonfair",,,,,"['vikivize', 'çinvizesi', 'çinseyahati', 'belediyeonaylıdavetiye', 'çinfuarları', 'çinseyahati', 'Çinuçakbileti', 'kantonfuarı', 'cantonfuarı', 'cantonfair']"
Vikivize,@vikivize,2017-11-17T21:42:41.000Z,Çin' de whatsapp kullanımı yasaklanmıştır ve onun yerine Wechat kullanırlar.                                  #vikivize  #çinvizesi #çinseyahati #whatsapp #Wechat #belediyeonaylıdavetiye #çinfuarları #çinseyahati #Çinuçakbileti #kantonfuarı #cantonfuarı #cantonfair,,,,,"['vikivize', 'çinvizesi', 'çinseyahati', 'whatsapp', 'Wechat', 'belediyeonaylıdavetiye', 'çinfuarları', 'çinseyahati', 'Çinuçakbileti', 'kantonfuarı', 'cantonfuarı', 'cantonfair']"
MARSU,@marsu_tr,2021-08-06T12:36:02.000Z,"Çin Fuarı 

China Fair

#çinfuarları #fuar #ankara #Marsu #DoğalKaynakSuyu #NaturalSpringWater #chinafair #Water #Su #Health #Sağlık",,,,,"['çinfuarları', 'fuar', 'ankara', 'Marsu', 'DoğalKaynakSuyu', 'NaturalSpringWater', 'chinafair', 'Water', 'Su', 'Health', 'Sağlık']"
Fuartour,@fuartour,2014-04-01T09:18:46.000Z,"►► Çin İthalat ve İhracat Fuarı - Kanton Fuarı 2014 
http://fuartour.com/index.php?is=fuar_detay&id=20…
#1nisan #turprogramlari #kanton #çinfuarlari #çin #cin #China",,,,,"['1nisan', 'turprogramlari', 'kanton', 'çinfuarlari', 'çin', 'cin', 'China']"
MonopolTur,@MonopolTur,2015-01-07T14:49:07.000Z,Canton 2015 1. Dönem Program 7 http://monopoltur.com/tur/Canton-2015-1.-Donem-Program-7/404#.VK1HR8RLfKE.twitter… #Çin #Çinvizesi #Çinfuarları #China #Canton #Guangzhou,,,,,"['Çin', 'Çinvizesi', 'Çinfuarları', 'China', 'Canton', 'Guangzhou']"
e-fuarhaber,@EFuarhaber,2020-12-21T09:25:51.000Z,"#haber #gündem #fuar #fair #çinfuarları
China Guangdong'da PWTC Poly World Trade Center fuar merkezinde 21.12.2020 - 23.12.2020 tarihleri arasına kadar sürecek olan Guangzhou Uluslararası Sağlık Gereçleri Fuarı açıldı.","Guangzhou International Sanitary Ware Fair Uluslararası Sağlık Gereçleri Fuarı açıldı..
China Guangdong'da PWTC Poly World Trade Center fuar merkezinde 21.12.2020 - 23.12.2020 tarihleri arasına kadar sürecek olan Guangzhou Uluslararası Sağlık Gereçleri Fuarı açıldı.Fuar Asya'daki en...
e-fuarhaber.com",,,,"['haber', 'gündem', 'fuar', 'fair', 'çinfuarları']"
Fuartour,@fuartour,2014-03-11T12:24:59.000Z,"#cantonfair #istanbul #fuartour #fuar #uzakdogu #turprogramlari #kanton #çinfuarlari
►► Çin İthalat ve İhracat Fuarı",,,,,"['cantonfair', 'istanbul', 'fuartour', 'fuar', 'uzakdogu', 'turprogramlari', 'kanton', 'çinfuarlari']"
MonopolTur,@MonopolTur,2014-12-26T16:09:34.000Z,Canton 2015 1. Dönem Program 1 http://monopoltur.com/tur/260#.VJ2H7l9O0gw.twitter… #Çin #İthalat #İhracat #Çinfuarları #Guangzhou #China #Monopoltur #Otel #Uçak,,,,,"['Çin', 'İthalat', 'İhracat', 'Çinfuarları', 'Guangzhou', 'China', 'Monopoltur', 'Otel', 'Uçak']"
MARSU,@marsu_tr,2021-08-06T11:43:58.000Z,"MARSU Ankara Ticaret Odası Çin Fuarında 

MARSU Ankara Chamber of Commerce at China Fair

#çinfuarları #fuar #ankara #Marsu #DoğalKaynakSuyu #NaturalSpringWater #chinafair #Water #Su #Health #Sağlık",,,,1,"['çinfuarları', 'fuar', 'ankara', 'Marsu', 'DoğalKaynakSuyu', 'NaturalSpringWater', 'chinafair', 'Water', 'Su', 'Health', 'Sağlık']"
