username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Kamuran Ali Artoghrul,@AliArtoghrul,2021-08-06T04:25:08.000Z,Happy Independence Day for Jamaica  #happyindependenceday #jamaica #congs #tebrikler #yamayka #kuzeyamerika #northamerica #ülke,,,,,"['happyindependenceday', 'jamaica', 'congs', 'tebrikler', 'yamayka', 'kuzeyamerika', 'northamerica', 'ülke']"
Kamuran Ali Artoghrul,@AliArtoghrul,2021-08-13T04:45:55.000Z,Happy Independence Day for Central African Republic  #happyindependenceday #centralafricanrepublic #mar #africa #afrika #country #ülke #bağımsızlıkgünü #tebrikler,,,7,7,"['happyindependenceday', 'centralafricanrepublic', 'mar', 'africa', 'afrika', 'country', 'ülke', 'bağımsızlıkgünü', 'tebrikler']"
Kamuran Ali Artoghrul,@AliArtoghrul,2021-08-10T12:05:42.000Z,Happy Independence Day for Ecuador  #happyindependenceday #ecuador #congs #tebrikler #ekvador #southamerica #güneyamerika #country #ülke,,,,,"['happyindependenceday', 'ecuador', 'congs', 'tebrikler', 'ekvador', 'southamerica', 'güneyamerika', 'country', 'ülke']"
Almanyagezgini,@Muhammetlker17,2021-08-09T09:40:43.000Z,#Ülke yanıyor,,,3,3,['Ülke']
gnczbn,@gnczbn,2021-08-06T22:37:01.000Z,#doğa #tabiat #ülke #vatan #dünya #insan #bilinç,,,,5,"['doğa', 'tabiat', 'ülke', 'vatan', 'dünya', 'insan', 'bilinç']"
Saadet Çukurova,@CukurovaSaadet,2021-08-08T15:08:14.000Z,"#Ülke meselelerinin ve teşkilat çalışmalarının değerlendirildiği Genel İdare Kurulu Toplantımız, Genel Başkanımız  
@T_Karamollaoglu
  ’nun başkanlığında gerçekleştirildi.",,1,,30,['Ülke']
Yasar karaarslan,@Yasarkaraarsla5,2021-08-10T18:34:03.000Z,"En Az Üç Çocuk Gelecekteki Provokasyonun Uyarısı İmiş.
#ÜLKE Yi İstila Ya Hazırlıyorlar.",,,,,['ÜLKE']
Kamuran Ali Artoghrul,@AliArtoghrul,2021-08-11T05:40:17.000Z,Happy Independence Day for Chad  #happyindependenceday #chad #congs #tebrikler #africa #afrika #çad #country #ülke,,,,,"['happyindependenceday', 'chad', 'congs', 'tebrikler', 'africa', 'afrika', 'çad', 'country', 'ülke']"
Le.Vanta,@guzel_yabanci,2021-08-09T06:50:36.000Z,#Yunanistan+#Türkiye #orman'ları kundaklayanlar da tüm dünyaya #Covid belasını yayanlar da aynı pislikler eminim ama kanıtlıyamam.#Virüs'ün bitiremediği #ülke'leri şimdi de #yangın'la bitirmeye çalışıyorlar gibi geliyor bana.#Rusya da yanıyor.Tüm dünyamızın #akciğeri ateşte,,,,1,"['Yunanistan', 'Türkiye', 'orman', 'Covid', 'Virüs', 'ülke', 'yangın', 'Rusya', 'akciğeri']"
soner kaya,@ssonerkayaa,2021-08-10T09:45:15.000Z,"Bu yıl yaklaşık on beş şehir gezdik.  Bunların çoğunu ilk defa gördük. 

İlk defa gördüğümüz şehirleri birkaç kelime ile ifade etmek istiyorum.  

#turist #şehir #ülke #Türkiye",,1,,,"['turist', 'şehir', 'ülke', 'Türkiye']"
Op. Dr. Fatih Kırar,@drfatihkirar,2021-08-09T07:16:12.000Z,"Ameliyatsız yöntemler 
.
.
.
.
.
.
.
.
.
.
#istanbul #doktor #sağlık #tv #ülke #omurga #health",,,,1,"['istanbul', 'doktor', 'sağlık', 'tv', 'ülke', 'omurga', 'health']"
Yasar karaarslan,@Yasarkaraarsla5,2021-08-13T10:12:05.000Z,"#ÜLKE De Milyonlarca Dönüm Arazi Yabancı Güçlere Satıldı Ve Kiraya Verildi.
SUDAN'da 800 Bin Dönüm Arazi Kiralıyorlar.!! 
SOMALİ'ye 30 Milyon Dolar Hibe Yardım Veriyorlar.
Hedef ???",,,,,['ÜLKE']
Gülşah,@GulsahKocal,2021-08-06T04:44:47.000Z,"Boş ve yol geçen hanı bir #ülke düşünün. Ne taş kalır , ne toprak, ne #ağaç kalır ne de su.",,,,,"['ülke', 'ağaç']"
Artık Çekinmek yok,@cekinmeyecegim,2021-08-06T21:52:53.000Z,#ülke ne dertte chp belediyesi ne dertte,"Artık Çekinmek yok
@cekinmeyecegim
 · Aug 7
ideolojik zihniyet hiç degişmez, (can çıkar huy çıkmazmış).sarıyerde plaja tesettürlü oldugu için bayanı almamışlar.Aldanma zalimin senden görünüşüne, çıkar ilk fırsatta karşına ey müslüman.",,,1,['ülke']
ÜZEYİR ERGÜL,@ALDUS02,2021-08-12T06:57:59.000Z,"@AhmetTelli78
 ve 
@Suavi_Suavi
 'nin bu metni imzalaması beni hayal kırıklığına uğratmıştır...#ahmettelli #suavi #mülteci #sanatçı #ülke #nereyegidiyoruz #penaber #memleket #nazimhikmet #cezmiersoz #kaygı #insanhaklari #erenkeskin #barış #kardeşlik #herkes  #Kastamonu #selfelaketi",,,,,"['ahmettelli', 'suavi', 'mülteci', 'sanatçı', 'ülke', 'nereyegidiyoruz', 'penaber', 'memleket', 'nazimhikmet', 'cezmiersoz', 'kaygı', 'insanhaklari', 'erenkeskin', 'barış', 'kardeşlik', 'herkes', 'Kastamonu', 'selfelaketi']"
Op. Dr. Fatih Kırar,@drfatihkirar,2021-08-11T18:03:00.000Z,"Robotik lazer cihazımız 
@ulketv
 canlı yayındaydı 
.
.
.
.
.
.
#istanbul #doktor #sağlık #tv #ülke #omurga #health #robot #lazer #teknoloji",,,,,"['istanbul', 'doktor', 'sağlık', 'tv', 'ülke', 'omurga', 'health', 'robot', 'lazer', 'teknoloji']"
