username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Serap Yüreğimsin BOZKURT,@SBozkurt1969,2021-08-05T07:29:49.000Z,"Öfke ve hırsına kul olanın, vicdanı sıkıntıdadır...
#günaydın
#huzur 
#sağlık 
#mutlugün
#Atatürkçüler
#ülkücüler
#Kutluyol
#AkpDefol ",,1,,7,"['günaydın', 'huzur', 'sağlık', 'mutlugün', 'Atatürkçüler', 'ülkücüler', 'Kutluyol', 'AkpDefol']"
Kürşad Han ACAR,@kursad_han,2021-08-11T05:40:54.000Z,Biz gerçek #ÜLKÜCÜLER halen aynı noktadayız Yıldıray Çiçek sen Ve arkadaşların  nerdesiniz. ???,,,,2,['ÜLKÜCÜLER']
Derviş Güneş,@Dervisgunes4433,2021-08-11T14:23:00.000Z,#Ülkücüler #ArifNihatASYA,,,,3,"['Ülkücüler', 'ArifNihatASYA']"
Necmi Üçtaş,@UctasNecmi,2021-08-13T00:51:27.000Z,"Biz net cevab bekliyoruz o zaman neler  olucak görürsünüz.
#istanbul #ülkücüler",,,,,"['istanbul', 'ülkücüler']"
BozKurt,@Gkbr07315473,2021-08-07T18:47:09.000Z,#mhp #ülkücü #ülkücüler,,,,,"['mhp', 'ülkücü', 'ülkücüler']"
Serap Yüreğimsin BOZKURT,@SBozkurt1969,2021-08-06T08:21:24.000Z,"Bir TÜRK ampülün içine girerse, Bir TÜRK dokunursa o patlar. KİM AMPÜLÜ PATLATACAK? 
BEN HAZIRIM, YA SİZLER? 
#GÜNAYDIN 
#HAYIRLICUMALAR
#ATATÜRKÇÜLER
#ÜLKÜCÜLER
#KUTLUYOL
#YansınİtibarınızAKP
#geldiklerigibigiderler
#öncehesap
#AkpVarsaHuzurYok
#akpdefol",,2,,17,"['GÜNAYDIN', 'HAYIRLICUMALAR', 'ATATÜRKÇÜLER', 'ÜLKÜCÜLER', 'KUTLUYOL', 'YansınİtibarınızAKP', 'geldiklerigibigiderler', 'öncehesap', 'AkpVarsaHuzurYok', 'akpdefol']"
volkan DAVUT,@volkanDAVUT2,2021-08-06T08:40:05.000Z,"Replying to 
@SBozkurt1969","Size de Günaydın Serap Hanım.
#HAYIRLICUMALAR
#ATATÜRKÇÜLER
#ÜLKÜCÜLER
#KUTLUYOL
#YansınİtibarınızAKP
#geldiklerigibigiderler
#öncehesap
#AkpVarsaHuzurYok
#akpdefol",1,,1,[]
Ş.Ayzıt,@_h_kubra_10,2021-08-12T09:55:32.000Z,Mekanın cennet olsun   #ülkücü #alparslantürkeş #mhp #cumhurittifakı #ülkücüler #ülkücügençler #ankara #başbuğtürkeş #başbuğ,,1,,,"['ülkücü', 'alparslantürkeş', 'mhp', 'cumhurittifakı', 'ülkücüler', 'ülkücügençler', 'ankara', 'başbuğtürkeş', 'başbuğ']"
Hercai,@Glay84794198,2021-08-08T14:08:24.000Z,"Irmağının akışına,bayrağına falan ölürüz demeyin..Türkiye'ye  zorbalık ve saldırganlıktan başka bişey katmadınız..! #ülkücüler sözde ülkeciler, istisnalar hariç..!",,,,,['ülkücüler']
Merli’nin Sakalı,@CraigMcCay,2021-08-10T19:04:57.000Z,Afganlılar her yerde #ülkücüler nerede ?,,,,,['ülkücüler']
Ayşe Gül,@Asil123Asil321,2021-08-09T09:09:21.000Z,"Hiç Bir Çakalın Haddi Değil Vekillerimize Dilini uzatsın Biz lafı HDP'ye attık Köyün İtleri toplandı Ülkücüler Burda Sayın Vekilim 
@UlviYonter
.
Toplansın Ulusun  Bozkurtlar Heryer bizim İT Çakala Haddini Bildireceğiz 
#Ülkücüler",,5,10,75,['Ülkücüler']
Fatih YILMAZ ϜϓſϞ,@FthYLMZ_1903,2021-08-07T19:41:07.000Z,Ülkü Ocakları Başkanı bedelli askerlik yapmaz. Bedelli askerlik yapmışsa o ülkücü olamaz. #Ülkücüler,,,,,['Ülkücüler']
Umut Suz,@mutsuzzprenses,2021-08-11T18:59:13.000Z,Diriliş Ertuğrullar Kurtuluş Osmanlar Yüce Kurtlar Neslin Deden Ceddin Babanlar nerdesiniz cCc ülke işgal altında bayrağın iniyor bacına anana saldırıyolar kanından canından kardeşini öldürüyolar nerdesiniz ???#Afganlarıİstemiyoruz #ülküocakları #ülkücüler #turancılar,,,,,"['Afganlarıİstemiyoruz', 'ülküocakları', 'ülkücüler', 'turancılar']"
