username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
YDS - YÖKDİL - YKSDİL,@ingilizcehane,2021-08-07T07:57:41.000Z,"#yökdil #yds  #ales #ösym2021  #kpss2021
#yks2021 #ingilizce #üniversite #tercih #eyds #MEB #ösym #yagmur #boks 

physical weakness, especially as a result of illness?","sick
75.7%
lexicon
1.4%
embellish
4.3%
debility
18.6%
70 votes
·
Final results",,,1,"['yökdil', 'yds', 'ales', 'ösym2021', 'kpss2021', 'yks2021', 'ingilizce', 'üniversite', 'tercih', 'eyds', 'MEB', 'ösym', 'yagmur', 'boks']"
YDS - YÖKDİL - YKSDİL,@ingilizcehane,2021-08-10T06:19:39.000Z,"#yökdil #yds  #ales #kpss2021
#yks2021 #ingilizce  #MEB #ösym  #dgs2021 #üniversite #tercih2021 #üniversiteli #okullar 

happening or coming immediately?","terminate
6%
halt
6%
permanent
16%
instant
72%
50 votes
·
Final results",,,3,"['yökdil', 'yds', 'ales', 'kpss2021', 'yks2021', 'ingilizce', 'MEB', 'ösym', 'dgs2021', 'üniversite', 'tercih2021', 'üniversiteli', 'okullar']"
arem.live,@AremLive,2021-08-12T14:02:35.000Z,"Attend Reformative Education Module (AREM)
#türkiye #lgs  #lgs2022 #tyt #tyt2022 #ayt #ayt2022 #yds #yds2022 #kpss #kpss2022 #ales #ales2022 #onlineders #özelders #uzaktaneğitim #egitimbilimleri #egitimkoclugu #üniversite #dilkursu #dilöğreniyorum #aremlive",,,,,"['türkiye', 'lgs', 'lgs2022', 'tyt', 'tyt2022', 'ayt', 'ayt2022', 'yds', 'yds2022', 'kpss', 'kpss2022', 'ales', 'ales2022', 'onlineders', 'özelders', 'uzaktaneğitim', 'egitimbilimleri', 'egitimkoclugu', 'üniversite', 'dilkursu', 'dilöğreniyorum', 'aremlive']"
Ayliissss ツ,@AylnKndmrr,2021-08-09T11:47:05.000Z,"Üniversite baraj puanının aşağı çekilmesi gündemdeymiş, zaten önüne gelen üniversite okuduğu için dışarıda diplomalı milyonlarca işsiz insan var bir de 120 sorudan 14 net yapamayan insan üniversiteye giremedi diye barajı aşağıya çekmeyelim, o kişiler de okumayıversin #üniversite",,7,18,197,['üniversite']
Aysun YILDIZ,@_ays___,2021-08-09T11:40:43.000Z,150-180 barajını geçemeyen de bırakın üniversite okumasın. #üniversite,,6,4,63,['üniversite']
M A V İ,@siir_misali_,2021-08-09T11:55:03.000Z,"Ben neden dakikalardır buna gülüyorum 

Bozkurtlar ulusun tanrı Türk'ü korusun  
#Üniversite
Üniversite
Devlet Bahçeli 
#altın",,21,56,1K,"['Üniversite', 'altın']"
Kübra,@kubraozzr,2021-08-09T12:47:38.000Z,Keşke üniversite sınav barajı düşürülmesi değil de mezun olduktan sonra iş istihdamının yükseltilmesi temenni edilse.  #üniversite,,,2,27,['üniversite']
Edanur,@edaaannnuuurrr,2021-08-09T12:38:01.000Z,"TYT,AYT barajını düşürdünüz okey de üniversite puanları yüksek olduğu sürece bir şey fark etmeyecek..bunun farkındasınızdır umarım. #Üniversite",,2,1,39,['Üniversite']
yalnız_kurt,@dhhgdxbnh,2021-08-09T12:39:18.000Z,Burdan baraj düşürülmesin diyenlere sesleniyorum size ne aq hepiniz dahisiniz ya aq evlatları #Üniversite,,5,,16,['Üniversite']
ASBÜ Kuzey Kıbrıs Akademik Birimi,@asbukktc,2021-08-06T06:39:55.000Z,"Haydi sen de aramıza katıl!

#KKTC #KKTCASBÜ #yks #yks2021 #tercih #üniversite #lisans #eğitim #education #ASBÜ #ASBÜdeyim #tercihimASBÜ",,,4,14,"['KKTC', 'KKTCASBÜ', 'yks', 'yks2021', 'tercih', 'üniversite', 'lisans', 'eğitim', 'education', 'ASBÜ', 'ASBÜdeyim', 'tercihimASBÜ']"
Gülüzar,@glzrpdr,2021-08-09T12:42:36.000Z,"#üniversite asıl mesele üniversite okumak değil. Nitelikli, geleceğe umutla bakan nesiller yetiştirebilmek.",,,,5,['üniversite']
A.Ü Öğrenci Konseyi,@AUKONSEY2019,2021-08-05T17:53:15.000Z,"Ankara, Ankara; güzel Ankara!
#tercih2021 #tercih #üniversite #yks2021 #ankara #AnkaraÜniversitesindeSıraSende
@AnkaraUni
 
@necdetunuvar",,,4,29,"['tercih2021', 'tercih', 'üniversite', 'yks2021', 'ankara', 'AnkaraÜniversitesindeSıraSende']"
ÆLLEHASÖWMİŞOQLİM,@selamcayicekmi,2021-08-12T19:32:35.000Z,#üniversite tercihlerinde aile zoru ile yasadıgım İLÇEDEKİ yeri seçmek zorunda kalınca benim çehre,,,,1,['üniversite']
hakan eryüzlü,@hakaneryuzlu,2021-08-07T10:17:16.000Z,"Akdeniz sanayisinin kalbinde İskenderun'da, İskenderun Teknik Üniversitesi EKONOMİ BÖLÜMÜ olarak yeni öğrencilerimizi bekliyoruz #tercih2021 #2021tercih #ykstercih2021 #ekonomi #yks2021 #üniversite",,,,4,"['tercih2021', '2021tercih', 'ykstercih2021', 'ekonomi', 'yks2021', 'üniversite']"
EMRAH ADAKLI Kariyer Bakanı,@EMRAHADAKLI,2021-08-12T17:27:46.000Z,"Sağlık Bakanımıza çok teşekkür ediyoruz. YÖK Başkanımıza ziyarette bulundu ve Bilim Kurulu’nun üniversitelerde alınması gereken önlem raporunu sundu. Sağlıkla ve önlemlerle kampüslerinize kavuşuyorsunuz arkadaşlar. 

#ÇiftAşılıKampüse 
#Üniversite #ÜnilerAçılıyor",,5,11,219,"['ÇiftAşılıKampüse', 'Üniversite', 'ÜnilerAçılıyor']"
ASBÜ,@ASBUedu,2021-08-06T19:20:04.000Z,"ASBÜ Tanıtım Günleri hafta sonu da devam ediyor.

#ASBÜ #tercihimASBÜ #ASBÜdeyim #yks #yks2021 #tercih #üniversite #sosyalbilimler #lisans #eğitim #education","0:20
634 views",,8,19,"['ASBÜ', 'tercihimASBÜ', 'ASBÜdeyim', 'yks', 'yks2021', 'tercih', 'üniversite', 'sosyalbilimler', 'lisans', 'eğitim', 'education']"
Radyo 80,@radyo80,2021-08-12T10:55:59.000Z,"Osmaniye Ülkü Ocakları tarafından üniversite tercihi yapacak gençlere tercihlerinde rehberlik etmek amacıyla Cumhuriyet Meydanı'nda stant kuruldu. 

#yks #yks2021tercih #ykstercih #üniversite #osmaniye #ykstayfa #yks21 #yksbaraj",,,,4,"['yks', 'yks2021tercih', 'ykstercih', 'üniversite', 'osmaniye', 'ykstayfa', 'yks21', 'yksbaraj']"
İzmir Yüksek Teknoloji Enstitüsü (İYTE),@iyteedutr,2021-08-11T10:01:28.000Z,"İYTE Rektörü 
@ProfYusufBaran
 aday öğrencilerimizi İYTE’li olmaya davet ediyor.
#benceiyteyegelmelisin #İYTE #üniversite #aday #yks #yks2021 #yks2021tayfa #izmir #izmirzamanı",,,2,15,"['benceiyteyegelmelisin', 'İYTE', 'üniversite', 'aday', 'yks', 'yks2021', 'yks2021tayfa', 'izmir', 'izmirzamanı']"
hulya,@SecretHulya,2021-08-09T12:36:59.000Z,Siginmacilara sinavsiz #üniversite ye girisler kaldirilsin madem esit sartlara sahibiz ozaman esit rekabet edilsin,,1,1,5,['üniversite']
ASBÜ,@ASBUedu,2021-08-05T17:00:02.000Z,"Kıbrıs kampüsümüze dair merak edilenler.

Haydi sen de aramıza katıl!

#KKTC #KKTCASBÜ #yks #yks2021 #tercih #üniversite #lisans #eğitim #education #ASBÜ #ASBÜdeyim #tercihimASBÜ",,,5,13,"['KKTC', 'KKTCASBÜ', 'yks', 'yks2021', 'tercih', 'üniversite', 'lisans', 'eğitim', 'education', 'ASBÜ', 'ASBÜdeyim', 'tercihimASBÜ']"
Univclub,@univclubtr,2021-08-10T19:49:10.000Z," BİR BİLENE SOR: ""Eğitim Fakültesi Hakkında Bilinmesi Gerekenler""

 Prof. Dr. Servet BAYRAM (Psikolojik Danışman)

 11 Ağustos 16.00

Etkinlik Zoom üzerinden canlı olarak gerçekleşecektir.

#etkinlik #üniversite #koçluk #rehberlik #tercihdönemi #sınav #eğitim #Univclub",,,,2,"['etkinlik', 'üniversite', 'koçluk', 'rehberlik', 'tercihdönemi', 'sınav', 'eğitim', 'Univclub']"
İbrahim kaya,@ibrhim_ky77,2021-08-09T12:01:01.000Z,Bir #Üniversite hayalim vardı. İyi başladı nasıl bitti anlayamadım.....,,,,2,['Üniversite']
Univclub,@univclubtr,2021-08-05T19:50:18.000Z,"""Bir Bilene Sor"" serimizin ikinci etkinliğini Eğitim Danışmanı İlker Serdar Çetinkaya ile gerçekleştirdik. İlker Serdar Çetinkaya'ya kıymetli aktarımlarından dolayı teşekkür ederiz.
 #tercih #yks #online #etkinlik #üniversite #koçluk #rehberlik #tercihdönemi",,,,1,"['tercih', 'yks', 'online', 'etkinlik', 'üniversite', 'koçluk', 'rehberlik', 'tercihdönemi']"
Barış,@baristetiiik,2021-08-09T11:49:07.000Z,"Baraj puanlarını arttırmak yerine, azaltmayı düşünmek söz konusu olmamalı. Zira her birimiz üniversite okuyoruz da noluyor? Okullarımıza kolaylık getireceğinize, istihdam getirin. #üniversite",,,,7,['üniversite']
Uşak Üniversitesi,@universiteusak,2021-08-07T09:52:00.000Z,Teknik Bilimler Meslek Yüksekokulu Sizleri Bekliyor... #tercih2021 #yks #üniversite #üniversitetercih,,1,2,15,"['tercih2021', 'yks', 'üniversite', 'üniversitetercih']"
𝓜𝒂𝒉𝒊𝒓 T𝑼𝑵𝑪𝑬𝑹,@mahirtuncer23,2021-08-06T17:05:38.000Z,"Tarih dersen; Harput, Palu, Tatil dersen; Sivrice, Keban, Huzur dersen; Ağın,  Bal dersen; Arıcak, Kaysı dersen Baskil, Mermer dersen; Maden, Alacakaya, Tarım, Hayvancılık dersen; Karakoçan, Kovancılar,  Acıktım dersen Köfteciler Sokağı, #Üniversite dersen #FıratSeniBekliyor","0:16
731 views",,7,49,"['Üniversite', 'FıratSeniBekliyor']"
TEDÜ Sosyoloji,@TEDUSosyoloji,2021-08-13T11:17:32.000Z,"Akademik kadromuzu tanıtmaya TED Üniversitesi Sosyoloji Bölümü Dr. Öğretim Üyesi Aylin Çakıroğlu Çevik ile devam ediyoruz.

#tercih2021 #yks2021 #sosyoloji #üniversite #tedü",,,,1,"['tercih2021', 'yks2021', 'sosyoloji', 'üniversite', 'tedü']"
ŞABAN,@ataly007,2021-08-09T11:40:59.000Z,"O kadar sorudan 17’sini yapıp barajı geçemeyen öğrenci bir zahmet üniversite okumasın. Değil salgın dünya tersine de dönse barajı geçemeyen öğrenci başarısızdır, yeniden hazırlanması gerekir. #üniversite",,,,16,['üniversite']
Kadın ve Aile,@kadinveaile_com,2021-08-09T17:46:37.000Z,"Üniversite sınavına giren gençleri ve ailelerini bu faydalı ve güzel söyleşiye davet ediyoruz.

Yarın akşam saat 21.00'de
Kadın ve Aile Instagram sayfamızda yayınlanacaktır.

#tercih2021 #yks2021 #sınav #üniversite #tercihrehberi",,,16,49,"['tercih2021', 'yks2021', 'sınav', 'üniversite', 'tercihrehberi']"
Ceyhun ALAN,@Ceyhunalann,2021-08-09T11:37:43.000Z,"Aklı olan kişi üniversite okumaz . Gidip sanayide çalışır .
#üniversite",,,,3,['üniversite']
Aksaray Üniversitesi,@aksarayedutr,2021-08-08T17:38:11.000Z,"Engelsiz, çevreci, başarılı #üniversite #ASÜsenibekliyor 

#ASÜ Ulusal Basında 
@yenisafak
Aday Öğrenci Sayfası 
http://tanitim.aksaray.edu.tr

#NedenASÜ #YKS2021 #Tercih2021 #Tercihim2021 #TercihimAksaray",Prof. Dr. Yusuf Şahin,,14,32,"['üniversite', 'ASÜsenibekliyor', 'ASÜ', 'NedenASÜ', 'YKS2021', 'Tercih2021', 'Tercihim2021', 'TercihimAksaray']"
Yeni Yüzyıl Üniversitesi,@YeniYuzyilEduTR,2021-08-06T13:50:39.000Z,"6-7-8 Ağustos 2021 Tarihleri arasında İstanbul Kongre Merkezinde düzenlenen #Üniversite Tercih Fuarında bizler yerimizi aldık. Kariyerinize yön vermek adına, sizleri de standımıza bekliyoruz. #tercihfuarı #istanbulkongremerkezi #yks2021",,,1,3,"['Üniversite', 'tercihfuarı', 'istanbulkongremerkezi', 'yks2021']"
Yeni Yüzyıl Üniversitesi,@YeniYuzyilEduTR,2021-08-09T06:23:15.000Z,Günaydın! #Tercih ve Tanıtım Günlerimiz 20 Ağustos'a kadar devam ediyor. Alanında uzman akademik kadromuzla sizleri Cevizlibağ Kampüsümüze bekliyoruz. #2021yks #üniversite,,,2,2,"['Tercih', '2021yks', 'üniversite']"
Mehmet Yasir,@yasir_yldz07,2021-08-09T12:07:34.000Z,"Gecenin sabahı beklediği gibi bekliyorum açıklanmanı #dgs2021
#Üniversite 
#pazartesi",,,1,5,"['dgs2021', 'Üniversite', 'pazartesi']"
Tarsus Üniversitesi,@TarsusUni,2021-08-10T19:06:19.000Z,"Tarsus Üniversitesi-Moda Tasarımı
#üniversite #benimtercihim #tarsusüniversitesi #meslekyüksekokulu #moda #modatasarımı  #önlisans #aday #tercih2021 #yks2021 #akdeniz #tercih #mersin #tarsus #ykstercih2021 Burada Odak Sensin",,,,6,"['üniversite', 'benimtercihim', 'tarsusüniversitesi', 'meslekyüksekokulu', 'moda', 'modatasarımı', 'önlisans', 'aday', 'tercih2021', 'yks2021', 'akdeniz', 'tercih', 'mersin', 'tarsus', 'ykstercih2021']"
Muhammed Bozkurt,@Bozkurt_6556,2021-08-09T12:09:40.000Z,#üniversite artık üniversiteler yüz yüze açılacak açıklamasını bekliyoruz. ,,,2,6,['üniversite']
Hacettepe Üniversitesi Jeoloji Mühendisliği,@Hacettepe_Jeo,2021-08-10T14:16:52.000Z,"2021 #5 | Tanıtım Yayını | Kamu ve Özel Sektör | Kıdemli | Hacettepe Jeoloji | 10082021
https://youtu.be/-jqPE1QIMx0

#yks #yks2021 #tercih #tercih2021 #jeoloji #hidrojeoloji #hacettepe #mühendislik #üniversite #yks21 #jeolojimühendisliği",,,1,4,"['5', 'yks', 'yks2021', 'tercih', 'tercih2021', 'jeoloji', 'hidrojeoloji', 'hacettepe', 'mühendislik', 'üniversite', 'yks21', 'jeolojimühendisliği']"
Erkan,@Erkan81269370,2021-08-09T13:27:36.000Z,Sanırsın üniden sonra hemen iş hayatına atılıyorsun da herkes de üniversite merakı sarmış #üniversite,,,1,1,['üniversite']
Hümeyra,@Humeyradegilim7,2021-08-09T12:18:01.000Z,"Ya Allah askina yok mu şu istanbulda Aydin,kultur,maltepe,Izu,biruni ,okan #üniversite lerinde okuyaaannnn",,2,,12,['üniversite']
fadime,@fadimeoztuurk,2021-08-09T12:18:31.000Z,evet okullarin açılmasını arkadas ortamiyla it gibi gezip tozmak için istiyorum ne vardi #üniversite,,1,,28,['üniversite']
SAÜEMK,@sakaryaemk,2021-08-09T09:24:36.000Z,"Endüstri Mühendisliği hakkında bilgi arayan adaylar, aklınızdaki soruların cevaplarını SAÜEMK'dan Öğrenin! Herkesin merak ettiği soruları sizler için cevapladık. Aklınıza takılan veya farklı sorularınızı DM yolu ile sorabilirsiniz  #tercih #yks2021 #endüstrimühendisliği
1/3",,2,13,19,"['tercih', 'yks2021', 'endüstrimühendisliği']"
SAÜEMK,@sakaryaemk,2021-08-09T09:26:21.000Z,"Endüstri Mühendisliği hakkında bilgi arayan adaylar, aklınızdaki soruların cevaplarını SAÜEMK'dan Öğrenin! Herkesin merak ettiği soruları sizler için cevapladık. Aklınıza takılan veya farklı sorularınızı DM yolu ile sorabilirsiniz  #üniversite #kampüs #tercih2021 
3/3",,,5,15,"['üniversite', 'kampüs', 'tercih2021']"
elif,@elif56615911,2021-08-09T12:22:31.000Z,#üniversite açılsın,,,,1,['üniversite']
Kürşat Bozkurt,@KB_Bozkurt,2021-08-10T14:13:52.000Z,"Oruç Aruoba, ""Üniversitenin Ölümü"", 21 Kasım 1981

#OruçAruoba #Üniversite",,,,7,"['OruçAruoba', 'Üniversite']"
