username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Didar Eroğlu,@eroglu_didar,2021-08-10T20:57:38.000Z,êſčòrțſ    Imagination is more important than knowledge. #nizip #şahinbey,"EDA
@RahimekzKoyuncu
 · Aug 10",,2,2,"['nizip', 'şahinbey']"
Mircan,@Mircan28298233,2021-08-05T20:29:16.000Z,êſčòrțſ    Try to be a rainbow in someone’s cloud. #nizip #şahinbey,"EDA
@RahimekzKoyuncu
 · Aug 5",,2,2,"['nizip', 'şahinbey']"
Şahinbey Belediyesi,@sahinbeybel,2021-08-13T07:17:02.000Z,"Spor şehri #Şahinbey!

Bugüne kadar 16 branşta uzman antrenörlerimizle . öğrenciye eğitim verdik. Hali hazırda 
. öğrencimiz yaz spor okullarımızda eğitimlerine devam ediyor.

#İşimizGücümüzŞahinbey",,2,24,67,"['Şahinbey', 'İşimizGücümüzŞahinbey']"
Gaziantep Valiliği #Maske#Mesafe#Hijyen,@gantepvaliligi,2021-08-12T14:25:58.000Z,"Hayırsever iş adamı Kahraman Eruslu tarafından #Şahinbey ilçemizde yaptırılacak Diyanet Gençlik Merkezi için imzalar atıldı.

Geleceğimizin teminatı gençlerimize hizmet verecek bu önemli eseri #Gaziantep’e kazandıran Eruslu ailesine teşekkür ediyoruz.",Davut GÜL,2,15,128,"['Şahinbey', 'Gaziantep']"
Prof. Dr. İmam Hüseyin FİLİZ,@ProfDrFiliz,2021-08-06T16:40:15.000Z,#Gaziantep #Şahinbey #ŞahinbeyOtoSanayi,,,3,9,"['Gaziantep', 'Şahinbey', 'ŞahinbeyOtoSanayi']"
Şerife Sarı ☼,@erifeSa06938795,2021-08-09T23:34:31.000Z,adileştirmekten feylesoftan dikeçmemişler ciltçilikten falsolutan eskileşmeğe bitmeymiştim dolamtan 81910 #sahinbey #sehitkamil,,101,,,"['sahinbey', 'sehitkamil']"
Sempati Koleji,@SempatiKoleji,2021-08-10T16:08:25.000Z,"12 kişilik sınıflarımız, donanımlı öğretmen kadromuzla, kaliteli ve istikrarlı bir eğitim sunuyoruz. 

#eğitim #sempatikoleji #sempativip #sınıf #kurs #yazkampı #haziran #ağustos #yaz #kayıt #öğrenci #İbrahimli #emek #Şahinbey #Gaziantep #Şehitkamil #vipegitim",,,,1,"['eğitim', 'sempatikoleji', 'sempativip', 'sınıf', 'kurs', 'yazkampı', 'haziran', 'ağustos', 'yaz', 'kayıt', 'öğrenci', 'İbrahimli', 'emek', 'Şahinbey', 'Gaziantep', 'Şehitkamil', 'vipegitim']"
Sempati Koleji,@SempatiKoleji,2021-08-06T17:08:26.000Z,"#GününSözü
""Bir mermer parçası için heykel traş ne ise ruh için de eğitim odur.""

#thomas #edison #eğitim #sempatikoleji #sempativip #sınıf #kurs #yazkampı #haziran #ağustos #yaz #kayıt #öğrenci #İbrahimli #emek #Şahinbey #Gaziantep #şehitkamil",,,,,"['GününSözü', 'thomas', 'edison', 'eğitim', 'sempatikoleji', 'sempativip', 'sınıf', 'kurs', 'yazkampı', 'haziran', 'ağustos', 'yaz', 'kayıt', 'öğrenci', 'İbrahimli', 'emek', 'Şahinbey', 'Gaziantep', 'şehitkamil']"
mehmet bozkurt,@detaymehmet,2021-08-09T15:09:12.000Z,"BÜYÜKŞEHİR, ZARAR GÖREN VATANDAŞLARA AYNİ YARDIM YAPACAK
http://detaygazetesi.org/haberdetay-25621-buyuksehir-zarar-goren-vatandaslara-ayni-yardim-yapilacak.html…
#Gaziantep 
@FatmaHayranlari
 @FatmaSahin
 @GaziantepBeld
 #gaziantep #şahinbey #SevdamızGaziantep #şehitkamil #Antep",,,,,"['Gaziantep', 'gaziantep', 'şahinbey', 'SevdamızGaziantep', 'şehitkamil', 'Antep']"
Özdemir şubesi sigorta yelpazesi,@Ozdemirsubesi,2021-08-13T10:26:35.000Z,"Bize sormadan  sigorta yaptırmayınız! En uygun fiyatlarla teklifinizi alınız.
#kasko #bes #trafik #sigorta #gaziantep #şahinbey #şehitkamil #sağlık #dask #inşaat #ferdikaza #nakliyat #tarım #işyeri #tarım #konut #seyahat #hayat #cepkasko",,,1,2,"['kasko', 'bes', 'trafik', 'sigorta', 'gaziantep', 'şahinbey', 'şehitkamil', 'sağlık', 'dask', 'inşaat', 'ferdikaza', 'nakliyat', 'tarım', 'işyeri', 'tarım', 'konut', 'seyahat', 'hayat', 'cepkasko']"
