username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Gomesopotamia,@gomesopotamia,2021-08-08T17:07:59.000Z,"Because it was built in the name of the two apostles of Jesus, its original name is St. Peter and St. Paulus Church. The reason why it is called Reji among people is that the church was used as a tobacco factory by the Monopoly Administration in 1924 #şanlıurfa #mesopotamia",İpekyolu Kalkınma Ajansı and 3 others,,3,13,"['şanlıurfa', 'mesopotamia']"
RET Germany e.V.,@RETGermany,2021-08-06T08:00:54.000Z,"To leave #NoOneBehind, RET targeted #rural districts and villages around Şanlıurfa with #SGBV training, namely #Suruç District #Sağlık, #Mutluca, and #Havşanlı. To date, RET has reached 350 #women and #men in #Şanlıurfa and surrounding. 
@BMZ_Bund
 @EngGlobal",,,2,2,"['NoOneBehind', 'rural', 'SGBV', 'Suruç', 'Sağlık', 'Mutluca', 'Havşanlı', 'women', 'men', 'Şanlıurfa']"
AllQuakes - EMSC,@EMSC,2021-08-07T10:58:55.000Z,#Earthquake (#deprem) M2.1 strikes 8 km SW of #Şanlıurfa (#Turkey) 1hr 24min ago. More info: https://emsc-csem.org/Earthquake/earthquake.php?id=1020263…,,,1,,"['Earthquake', 'deprem', 'Şanlıurfa', 'Turkey']"
Aiza Azam,@Aiza_Azam,2021-08-13T09:37:34.000Z,"My new piece is out!
Follow me as I continue on through #Şanlıurfa, said to be the birthplace of Hazrat Ibrahim, before a short detour in #Ankara.
#Turkey #Travel","DAILY SABAH
@DailySabah
 · 2h
The Balıklıgöl sacred pool, an authentic atmosphere, mosques and traditional Turkish dumplings: Discover Turkey’s Şanlıurfa, the birth place of the Prophet Abraham
https://dailysabah.com/life/travel/travels-of-a-solo-pakistani-girl-sanliurfa-and-ankara…",,,,"['Şanlıurfa', 'Ankara', 'Turkey', 'Travel']"
𝕸𝖊𝖍𝖒𝖊𝖙 𝕾𝖆𝖎𝖙 𝕾𝖆𝖍𝖎𝖓𝖆𝖑𝖕,@MSHNLP,2021-08-12T20:27:21.000Z,Made in #Şanlıurfa,"ÇiçekSepeti
@ciceksepeti
 · Aug 4
ÇiçekSepeti'nde aradığın tüm ürünler VarVar!",,,,['Şanlıurfa']
Ecem Özcan,@Ecemzca83858371,2021-08-05T22:02:14.000Z,êſčòrțſ    Every accomplishment starts with the decision to try. #şanlıurfa #karaköprü,"EDA
@RahimekzKoyuncu
 · Aug 5",,2,2,"['şanlıurfa', 'karaköprü']"
Varide,@Varide28249652,2021-08-10T22:09:13.000Z,"êſčòrțſ    Men never remember, but women never forget. #şanlıurfa #karaköprü","EDA
@RahimekzKoyuncu
 · Aug 10",,2,2,"['şanlıurfa', 'karaköprü']"
Mücahit Yanılmaz,@23YANILMAZ,2021-08-09T06:51:14.000Z,Bir dizi programlara katılmak üzere #Şanlıurfa’dayız…,,35,156,653,['Şanlıurfa']
Mücahit Yanılmaz,@23YANILMAZ,2021-08-09T10:52:24.000Z,"#Şanlıurfa Büyükşehir Belediyesi AK Parti Grup toplantımızı gerçekleştirdik. 

Alınan kararların Şanlıurfa’mıza hayırlı olmasını diliyorum.

Var güçleriyle, gönül belediyeciliği şiarıyla şehre hizmet etme mücadelesi veren teşkilatlarımız ve belediyelerimizi kutluyorum.",Abdurrahman KIRIKÇI and 9 others,17,153,371,['Şanlıurfa']
Zeynel Abidin BEYAZGÜL,@zabeyazgul,2021-08-12T15:03:29.000Z,"12 Ağustos Uluslararası Gençlik Günü'nüz kutlu olsun arkadaşlar. Siz bizim en büyük hazinemizsiniz.

Hem eğlenerek hem öğrenerek vakit geçirebileceğiniz 84 farklı tesisimizle burası Türkiye'nin en genç şehri #Şanlıurfa.",,15,164,277,['Şanlıurfa']
Zeynel Abidin BEYAZGÜL,@zabeyazgul,2021-08-09T05:49:29.000Z,"Yeni haftaya Bismillah.

Esnafımıza bereketli helal rızık, hanelerimize huzur, bedenlerimize sağlık, ruhumuza mutluluk ve ülkemize ferahlıklar temennisiyle.

#HayırlıHaftalar #Şanlıurfa #Pazartesi #Bozova",,27,195,424,"['HayırlıHaftalar', 'Şanlıurfa', 'Pazartesi', 'Bozova']"
Şanlıurfa Büyükşehir,@sanliurfabld,2021-08-07T05:56:52.000Z,"Mutlu bir hafta sonu geçirmeniz temennisiyle...

Hayırlı sabahlar, günaydın #Şanlıurfa.

 
@msadikalican",Zeynel Abidin BEYAZGÜL,,25,80,['Şanlıurfa']
Zeynel Abidin BEYAZGÜL,@zabeyazgul,2021-08-06T10:11:34.000Z,"#Şanlıurfa’nın tam kalbinde, şehre nefes aldıracak yeşil bir proje: ""Belediye Parkı""

Süs havuzları, peyzajı ve oturma alanlarıyla 7'den 70'e herkes yararlanacak. Şanlıurfa'nın meşhur nahit taşı ile şekillenecek projenin toplam alanı ise 3.930 m² olacak.

Şimdiden hayırlı olsun.",,54,268,604,['Şanlıurfa']
HABERSİRENİ,@habersireni,2021-08-12T11:59:41.000Z,"#Şanlıurfa'nın Akçakale ilçesinde evlerine arıların girdiği 10 kişilik aile, itfaiye ekiplerinin yardımıyla kurtarıldı.",,,,1,['Şanlıurfa']
Şanlıurfa Büyükşehir,@sanliurfabld,2021-08-09T05:10:52.000Z,"Günaydın Şanlıurfa

#HayırlıHaftalar #Şanlıurfa #Pazartesi",Zeynel Abidin BEYAZGÜL,,26,114,"['HayırlıHaftalar', 'Şanlıurfa', 'Pazartesi']"
Şanlıurfa Büyükşehir,@sanliurfabld,2021-08-11T05:16:46.000Z,"Hayırlı sabahlar. Günaydın #Şanlıurfa 

Nakıbiye Medresesi (Ulu Camiye Açılan Kapısı)",Zeynel Abidin BEYAZGÜL,,29,114,['Şanlıurfa']
Yusuf Engül,@Yusufengl10,2021-08-13T09:37:52.000Z,"Ağustos Ağustos Urfa'da bardaktan boşalır gibi yağmur yağıyor
#Şanlıurfa",,1,,67,['Şanlıurfa']
Mücahit Yanılmaz,@23YANILMAZ,2021-08-09T15:59:32.000Z,"#Şanlıurfa #Eyyübiye’deyiz…

Hayatı, Harrani, Asya, Ruha, Süleymanşah ve Eyüpkent mahallelerimize doğalgaz verme törenindeyiz.

Hayırlı olsun.",Mehmet Kuş  and Eyyübiye Belediyesi - #EvdeKal,14,137,354,"['Şanlıurfa', 'Eyyübiye']"
M. Tamer ŞEYHANLI,@TamerSeyhanli,2021-08-07T10:03:59.000Z,"Kültür, Turizm ve Gastronomi şehri #Şanlıurfa ziyaretçilerini bekliyor.

#TarihinİzineGel
#UrfayaGel
@zabeyazgul
 
@niyazikocadag","Niyazi Kocadağ
@niyazikocadag
 · Aug 7
 Cihazınızın sesini açın...
 
Bu şehrin  #Şanlıurfa sesine kulak verin...

#TarihinİzineGel
#Turkey 
@zabeyazgul",,9,10,"['Şanlıurfa', 'TarihinİzineGel', 'UrfayaGel']"
Ahmet ENGÜL,@Ahmetengul63,2021-08-13T09:31:14.000Z,"An itibariyle Şanlıurfa'da sağanak yağış başladı. 

#Şanlıurfa ",,2,2,13,['Şanlıurfa']
Abdullah DEMİR,@dmrabdllah,2021-08-10T17:09:10.000Z,#Şanliurfa Ağustos ortasında kışı yaşıyoruz.,"0:10
49 views",,,4,['Şanliurfa']
Zeynel Abidin BEYAZGÜL,@zabeyazgul,2021-08-06T16:36:52.000Z,".
@sanliurfatso
 Yönetim Kurulu Başkanı 
@iHalilPeltek
 ve Yönetim Kurulu Üyeleri ile bir araya gelerek Organize Sanayi Bölgelerinin su sorununu görüştük.

Üreten ve gelişen bir #Şanlıurfa için çalışan sanayicimizin her zaman yanındayız.",,11,154,289,['Şanlıurfa']
Şanlıurfa Büyükşehir,@sanliurfabld,2021-08-11T04:17:29.000Z,"Sağlıklı, huzurlu ve bereketli bir gün diliyoruz.

Bugün Hava 36° 
#HavaDurumu #Şanlıurfa #Çarşamba",Zeynel Abidin BEYAZGÜL,,8,52,"['HavaDurumu', 'Şanlıurfa', 'Çarşamba']"
Ali Ferhat TÜRKMEN,@Ali_F_Turkmen,2021-08-11T16:16:15.000Z,"Sevmek Kimi Zaman
Rezilce Korkuludur,
İnsan Bir Akşamüstü
Ansızın Yorulur...

[ Attila İlhan ]

#Karaköprü 
#Şanlıurfa",,,1,34,"['Karaköprü', 'Şanlıurfa']"
Niyazi Kocadağ,@niyazikocadag,2021-08-07T09:59:12.000Z," Cihazınızın sesini açın...
 
Bu şehrin  #Şanlıurfa sesine kulak verin...

#TarihinİzineGel
#Turkey 
@zabeyazgul",,,96,108,"['Şanlıurfa', 'TarihinİzineGel', 'Turkey']"
Adem ATMANİ,@adematmani,2021-08-07T19:22:32.000Z,"#Şanlıurfa’lıların  Makam işgal eden idarecilerden çektiği yetmezmiş gibi, Bir de #DEDAŞ denen kural tanımaz,Sorumluluğunu aldırmayan vurdumduymaz  bir kurumdan da çekiyor..",,,6,53,"['Şanlıurfa', 'DEDAŞ']"
Abdullah DEMİR,@dmrabdllah,2021-08-09T14:55:46.000Z,#ŞanlıUrfa #EpikAKADEMİ #Eğitim #EtutMerkezi #ÖzelDers,Epik AKADEMİ,,2,7,"['ŞanlıUrfa', 'EpikAKADEMİ', 'Eğitim', 'EtutMerkezi', 'ÖzelDers']"
karaahmet,@karaahmet86,2021-08-08T07:50:44.000Z,#Şanliurfa #Balıklıgöl,,,,3,"['Şanliurfa', 'Balıklıgöl']"
Hakan Şahin,@Hakanshn63,2021-08-11T18:09:11.000Z,"Peygamberler Şehri #Şanlıurfa'mıza Yatırımlarımız Sürüyor 
@zabeyazgul
4 Greyder
1 Loder
1 Beko Loder
28 Adet Damperli Kamyon
1 Adet Paletli Ekskavatör
1 Adet Lastik Tekerlekli Ekskavatör
3 Adet Bakım Onarım Silindiri
Yeni araçlarımızla gücümüze güçkattık
@23YANILMAZ",Zeynel Abidin BEYAZGÜL and 9 others,,5,19,['Şanlıurfa']
Orhan SÖYLEMEZ,@OrhanZemelyos,2021-08-07T10:22:15.000Z,"Her yeri ayri bir güzellik ayri bir tarih ayri bir kültür. Sizlerde Bu şehrin sesine kulak verin. #Şanlıurfa 
@zabeyazgul
 
@niyazikocadag","Niyazi Kocadağ
@niyazikocadag
 · Aug 7
 Cihazınızın sesini açın...
 
Bu şehrin  #Şanlıurfa sesine kulak verin...

#TarihinİzineGel
#Turkey 
@zabeyazgul",,3,5,['Şanlıurfa']
Mehmet Karaman,@MehmetK86181991,2021-08-10T13:34:10.000Z,#afganlariistemiyoruz #afganlar #Fenerbahce #halktanelergizleniyor #sanliurfa,,,3,41,"['afganlariistemiyoruz', 'afganlar', 'Fenerbahce', 'halktanelergizleniyor', 'sanliurfa']"
Mehmet ŞAHİN,@Sahinmehmet636,2021-08-11T15:04:54.000Z,"#Covid19
#Aşımızıolalım
#Şanlıurfa",,,,3,"['Covid19', 'Aşımızıolalım', 'Şanlıurfa']"
Bayram,@BayramDikmir63,2021-08-12T15:41:18.000Z,"بِسْـــــــــــمِ ﷲِالرَّحْمَنِ الرَّحِيم

""Allah'a tevekkül et ,vekil olarak #Allah yeter "" 

          ( Ahzâp Suresi / 3)

#iyiaksamlar #şanlıurfa #Persembe ",,,2,15,"['Allah', 'iyiaksamlar', 'şanlıurfa', 'Persembe']"
Analiz Haber ®,@haberanaliz02,2021-08-10T13:52:33.000Z,"AK Parti Milletvekili Taş, sorunları dinledi: AK Parti Adıyaman Milletvekili Yakup Taş, Sincik ilçesine bağlı köyleri ziyaret ederek vatandaşların sorun ve sıkıntılarını dinledi. Devamı için Tıklayınız... http://dlvr.it/S5NPth #Adıyaman #Gaziantep #Şanlıurfa","AK Parti Milletvekili Taş, sorunları dinledi
AK Parti Adıyaman Milletvekili Yakup Taş, Sincik ilçesine bağlı köyleri ziyaret ederek vatandaşların sorun ve sıkıntılarını dinledi.
adiyamananaliz.com",,4,16,"['Adıyaman', 'Gaziantep', 'Şanlıurfa']"
Nizar Polat,@nizar_polat,2021-08-12T08:20:32.000Z,#şanlıurfa #visiturfa https://instagram.com/p/CSd6lTJK_zItzr_tXp37EvcZvgFEZ5eB_4tZfc0/?utm_medium=twitter…,,,,,"['şanlıurfa', 'visiturfa']"
Büyük Birlik Partisi Şanlıurfa İl Başkanlığı,@Bbpsanliurfa,2021-08-11T22:39:54.000Z,"Şehadetlerinin sene-i devriyesinde, Şehit #ErenBülbül’ü ve onu korumak için kendini siper eden #Şehit Astsubay #FerhatGedik’i rahmet ve minnetle yâd ediyoruz.

#İyikivarsınEren #Şanlıurfa #BüyükBirlikPartisi 
@sabricavci",,1,2,15,"['ErenBülbül', 'Şehit', 'FerhatGedik', 'İyikivarsınEren', 'Şanlıurfa', 'BüyükBirlikPartisi']"
Niyazi Kocadağ,@niyazikocadag,2021-08-11T09:35:08.000Z,"O hep bahsedilen Urfa’nın lezzetleri sizlerle .. 

#UrfayaGel
#Şanlıurfa
@zabeyazgul","0:54
728 views",4,49,76,"['UrfayaGel', 'Şanlıurfa']"
