username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
// 10,@mayannaisev,2021-08-06T14:53:27.000Z,"// character death
 #undertale #sans",,14,109,877,"['undertale', 'sans']"
Among the stars,@Amongthestars0,2021-08-06T11:42:45.000Z,"Happy Birthday To Geno Sans! 

#genosans #undertale #afterdeath #aftertale #undertaleau #reapersans #sans #undertaleFanart #reapertale",,1,23,140,"['genosans', 'undertale', 'afterdeath', 'aftertale', 'undertaleau', 'reapersans', 'sans', 'undertaleFanart', 'reapertale']"
Peanut | Tobi,@FunOnABunX,2021-08-05T11:07:56.000Z,"Thanks for the coffee 
@perville1985
! Here’s a happy geno for ya >:]
#genosans #sans #sansfanart #undertale #underverse",,4,45,602,"['genosans', 'sans', 'sansfanart', 'undertale', 'underverse']"
bum,@salvage_tale,2021-08-06T21:11:40.000Z,"it is not ketchup
#undertale #undertaleAU #sans #Sans #sansundertale #aftertale #genosans #Geno誕2021 #uttwt #ArtistOnTwitter #8月6日はGenoの誕生日 (happy bday geno)",,,25,239,"['undertale', 'undertaleAU', 'sans', 'Sans', 'sansundertale', 'aftertale', 'genosans', 'Geno誕2021', 'uttwt', 'ArtistOnTwitter', '8月6日はGenoの誕生日']"
Aoi.Koi9,@aoikoidibujos,2021-08-07T00:27:36.000Z,"Happy B Day!!!

Today is the birthday of one of my Favorite Sans, Geno !!
Happy birthday sweetie

#Errorsans
#genosans 
#reapersans
#undertale
#afthertale
#sanscest 
#sans
#simp
#ship
#sansoteiramen 
#digitalart 
#cuteart
#artsuport 
#errorsansxinksans 
#8月6日はgenoの誕生日",,1,12,77,"['Errorsans', 'genosans', 'reapersans', 'undertale', 'afthertale', 'sanscest', 'sans', 'simp', 'ship', 'sansoteiramen', 'digitalart', 'cuteart', 'artsuport', 'errorsansxinksans', '8月6日はgenoの誕生日']"
Mello,@Nutca6,2021-08-06T12:35:52.000Z,"Fem shattered dream 
#undertale #UndertaleAU #Sans 
#Shattereddream #Shattered 
#Shattereddreamsans #art 
#dreamtale #dream_sans #myart 
#NightmareSans #Sansfanart 
#Nightmare_sans",,1,22,293,"['undertale', 'UndertaleAU', 'Sans', 'Shattereddream', 'Shattered', 'Shattereddreamsans', 'art', 'dreamtale', 'dream_sans', 'myart', 'NightmareSans', 'Sansfanart', 'Nightmare_sans']"
HEIST,@Stuffed_Bread,2021-08-07T01:14:06.000Z,"and the classics are done :]
x
#undertale #papyrus #sans",,1,39,189,"['undertale', 'papyrus', 'sans']"
透明老兄_小透,@4AYndqPUmxZdyAf,2021-08-05T10:42:09.000Z,"Slash
@ProductionRoxy
#undertale #undertaleAU 
#sans #muffet",,5,15,347,"['undertale', 'undertaleAU', 'sans', 'muffet']"
---Fat bear---,@mayonna52410987,2021-08-05T15:12:35.000Z,"Doraemon Hand 

#undertale #undertaleAu #undertaleFanart #sans",,,3,9,"['undertale', 'undertaleAu', 'undertaleFanart', 'sans']"
Yasuribp,@yalisonbp,2021-08-07T22:07:14.000Z,Just practice #Errorink #errink #undertaleAU #sans #undertaleaus,,1,70,727,"['Errorink', 'errink', 'undertaleAU', 'sans', 'undertaleaus']"
Perifrog,@perifrogd7,2021-08-05T23:51:06.000Z,"le dead sans by me
#undertale #undertaleAU #aftertale #sans #genosans #art #ArtistOnTwitter",,,5,28,"['undertale', 'undertaleAU', 'aftertale', 'sans', 'genosans', 'art', 'ArtistOnTwitter']"
الملاحة الجوية السعودية,@SANS_KSA,2021-08-05T14:00:25.000Z,"Our ambitions rely on how quick we are keeping up with changes, and racing time through thinking and planning takes us a step closer to the future we hope for the Saudi aviation industry.

#الملاحة_الجوية_السعودية 
#SANS",,,1,3,"['الملاحة_الجوية_السعودية', 'SANS']"
Mara (Commissions closed),@LMaruchaYT,2021-08-05T14:16:22.000Z,"#undertale #sans #wip

This is why I test out ideas in 8-10 minutes before rendering a painting. Why I drew a stop sign if this is meant to be a bus stop, I have no idea. ",,,3,14,"['undertale', 'sans', 'wip']"
Madz,@bubblaymadz,2021-08-05T16:53:42.000Z,"Stinky's 

#Swapfell #undertale #Undertale好きと繋がりたい #undertaleAU #papyrus #sans #fypシ #sona #selfIncert #clipstudiopaint #cute # #au #myart",,,3,19,"['Swapfell', 'undertale', 'Undertale好きと繋がりたい', 'undertaleAU', 'papyrus', 'sans', 'fypシ', 'sona', 'selfIncert', 'clipstudiopaint', 'cute', 'au', 'myart']"
Sketcherless,@Sketcherless,2021-08-06T07:25:18.000Z,"Sans amirite? Finished the animation scene :D

#Glitchtale #Sans #Undertale #Animation","0:00
2.7K views",9,51,519,"['Glitchtale', 'Sans', 'Undertale', 'Animation']"
