username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Didar Eroğlu,@eroglu_didar,2021-08-10T20:56:53.000Z,êſčòrțſ    Imagination is more important than knowledge. #gaziantep #şehitkamil,"EDA
@RahimekzKoyuncu
 · Aug 10",,2,2,"['gaziantep', 'şehitkamil']"
Çisil Yeşilmen,@CisilYesilmen,2021-08-05T20:28:16.000Z,êſčòrțſ    Try to be a rainbow in someone’s cloud. #gaziantep #şehitkamil,"EDA
@RahimekzKoyuncu
 · Aug 5",,2,2,"['gaziantep', 'şehitkamil']"
Prof. Dr. İmam Hüseyin FİLİZ,@ProfDrFiliz,2021-08-13T05:05:59.000Z,#Gaziantep #Şehitkamil,,,2,8,"['Gaziantep', 'Şehitkamil']"
Rıdvan Fadıloğlu,@rfadiloglu,2021-08-09T14:27:53.000Z,"Hizmet ve çözüm ortağımız değerli muhtarlarımız ile her daim istişare halindeyiz.

Nazik ziyaretleri için teşekkür ediyorum.

#Şehitkamil 
#Gaziantep",,,14,70,"['Şehitkamil', 'Gaziantep']"
Prof. Dr. İmam Hüseyin FİLİZ,@ProfDrFiliz,2021-08-11T17:37:39.000Z,#Gaziantep #Şehitkamil #AtatürkMahallesi,,,2,8,"['Gaziantep', 'Şehitkamil', 'AtatürkMahallesi']"
Şerife Sarı ☼,@erifeSa06938795,2021-08-09T23:34:31.000Z,adileştirmekten feylesoftan dikeçmemişler ciltçilikten falsolutan eskileşmeğe bitmeymiştim dolamtan 81910 #sahinbey #sehitkamil,,101,,,"['sahinbey', 'sehitkamil']"
mehmet bozkurt,@detaymehmet,2021-08-09T15:09:12.000Z,"BÜYÜKŞEHİR, ZARAR GÖREN VATANDAŞLARA AYNİ YARDIM YAPACAK
http://detaygazetesi.org/haberdetay-25621-buyuksehir-zarar-goren-vatandaslara-ayni-yardim-yapilacak.html…
#Gaziantep 
@FatmaHayranlari
 @FatmaSahin
 @GaziantepBeld
 #gaziantep #şahinbey #SevdamızGaziantep #şehitkamil #Antep",,,,,"['Gaziantep', 'gaziantep', 'şahinbey', 'SevdamızGaziantep', 'şehitkamil', 'Antep']"
Sempati Koleji,@SempatiKoleji,2021-08-06T17:08:26.000Z,"#GününSözü
""Bir mermer parçası için heykel traş ne ise ruh için de eğitim odur.""

#thomas #edison #eğitim #sempatikoleji #sempativip #sınıf #kurs #yazkampı #haziran #ağustos #yaz #kayıt #öğrenci #İbrahimli #emek #Şahinbey #Gaziantep #şehitkamil",,,,,"['GününSözü', 'thomas', 'edison', 'eğitim', 'sempatikoleji', 'sempativip', 'sınıf', 'kurs', 'yazkampı', 'haziran', 'ağustos', 'yaz', 'kayıt', 'öğrenci', 'İbrahimli', 'emek', 'Şahinbey', 'Gaziantep', 'şehitkamil']"
mehmet bozkurt,@detaymehmet,2021-08-12T17:11:19.000Z,"KOCALAR, ASANSÖR UYARISINI SÜRDÜRDÜ
http://detaygazetesi.org/haberdetay-25623-kocalar-asansor-uyarisini-surdurdu.html…
@KocalarAYKUT
 @mmo_gaziantep
 #gaziantep #şahinbey #SevdamızGaziantep #şehitkamil #Antep",,,,1,"['gaziantep', 'şahinbey', 'SevdamızGaziantep', 'şehitkamil', 'Antep']"
Özdemir şubesi sigorta yelpazesi,@Ozdemirsubesi,2021-08-13T10:26:35.000Z,"Bize sormadan  sigorta yaptırmayınız! En uygun fiyatlarla teklifinizi alınız.
#kasko #bes #trafik #sigorta #gaziantep #şahinbey #şehitkamil #sağlık #dask #inşaat #ferdikaza #nakliyat #tarım #işyeri #tarım #konut #seyahat #hayat #cepkasko",,,1,2,"['kasko', 'bes', 'trafik', 'sigorta', 'gaziantep', 'şahinbey', 'şehitkamil', 'sağlık', 'dask', 'inşaat', 'ferdikaza', 'nakliyat', 'tarım', 'işyeri', 'tarım', 'konut', 'seyahat', 'hayat', 'cepkasko']"
Amatör Spor Org,@amatorspororg,2021-08-08T11:44:50.000Z,"Şehitkamil Spor Lisesi Öğrenci Alımı Başvuruları Başladı. http://amatorspor.org/futbol/sehitkamil-spor-lisesi-ogrenci-alimi-basladi/…

#sporlisesi #şehitkamilsporlisesi #gaziantep #şehitkamil #lise #spor",,,,3,"['sporlisesi', 'şehitkamilsporlisesi', 'gaziantep', 'şehitkamil', 'lise', 'spor']"
Sempati Koleji,@SempatiKoleji,2021-08-08T16:33:11.000Z,"Başarının yolları Sempati'den geçer! 

#eğitim #sempatikoleji #sempativip #sınıf #kurs #yazkampı #haziran #ağustos #yaz #kayıt #öğrenci #İbrahimli #emek #Şahinbey #Gaziantep #şehitkamil",,,,,"['eğitim', 'sempatikoleji', 'sempativip', 'sınıf', 'kurs', 'yazkampı', 'haziran', 'ağustos', 'yaz', 'kayıt', 'öğrenci', 'İbrahimli', 'emek', 'Şahinbey', 'Gaziantep', 'şehitkamil']"
Prof. Dr. İmam Hüseyin FİLİZ,@ProfDrFiliz,2021-08-13T05:31:18.000Z,#Gaziantep #Şehitkamil #İYİParti,,,1,5,"['Gaziantep', 'Şehitkamil', 'İYİParti']"
Cahit Çıkmaz,@cahitcikmaz,2021-08-09T18:02:00.000Z,"#Hedefte #İnançta #Fikirde Birlik..

İl Başkanlığımızda  #Şahinbey İlçe Başkanımız 
@ilkerkizikli
 - #Şehitkamil ilçe Başkanımız 
@akinerol27
 ve İl - İlçe yönetim kurulu üyelerimizin katılımıyla toplantımızı gerçekleştirdik.

Birlik ve beraberliğimiz daim olsun..",,,10,61,"['Hedefte', 'İnançta', 'Fikirde', 'Şahinbey', 'Şehitkamil']"
Özdemir şubesi sigorta yelpazesi,@Ozdemirsubesi,2021-08-06T14:28:57.000Z,"Bize sormadan  sigorta yaptırmayınız! En uygun fiyatlarla teklifinizi alınız.
#kasko #bes #trafik #sigorta #gaziantep #şahinbey #şehitkamil #sağlık #dask #inşaat #ferdikaza #nakliyat #tarım #işyeri #tarım #konut #seyahat #cepkasko",,,,1,"['kasko', 'bes', 'trafik', 'sigorta', 'gaziantep', 'şahinbey', 'şehitkamil', 'sağlık', 'dask', 'inşaat', 'ferdikaza', 'nakliyat', 'tarım', 'işyeri', 'tarım', 'konut', 'seyahat', 'cepkasko']"
Doubletree By Hilton Gaziantep,@dtbhgaziantep,2021-08-09T06:52:52.000Z,#doubletreebyhilton #TasteOfHilton #suite #suite #luxury #CleanStay #hijyen #temizlik #cleaning #gaziantep #şehitkâmil,,,,1,"['doubletreebyhilton', 'TasteOfHilton', 'suite', 'suite', 'luxury', 'CleanStay', 'hijyen', 'temizlik', 'cleaning', 'gaziantep', 'şehitkâmil']"
