username,twhandle,postdate,content,responding,reply,retweet,like,hashtags,docid
Madencilik Türkiye Dergisi,@MadencilikTR,2021-07-13T13:49:51.000Z,"Erdal Can Alkoçlar: “Tokenizasyon, Madenciliğin Geleceğidir.” https://madencilikturkiye.com/erdal-can-alkoclar-tokenizasyon-madenciligin-gelecegidir/… 

#maden #madencilik #bitcoin #proje #tokenizasyon #teknoloji #bist100","Erdal Can Alkoçlar: “Tokenizasyon, Madenciliğin Geleceğidir.”
Son dönemde Bitcoin öncülüğünde gündeme gelen blockchain (blok zincir) teknolojisi ve tokenizasyon gibi kavramlar birçok farklı iş koluna entegre...
madencilikturkiye.com",0,8,8,"[""['maden', 'madencilik', 'bitcoin', 'proje', 'tokenizasyon', 'teknoloji', 'bist100']""]",27193
KoinFinans,@KoinFinans,2021-08-01T18:38:10.000Z,"Bitcoin Mevcut Yükselişi: Boğa Koşusu Mu Boğa Tuzağı Mı?

#Bitcoin #BTC #kriptopara #haber","Bitcoin Mevcut Yükselişi: Boğa Koşusu Mu Boğa Tuzağı Mı?
Boğaların harekete geçtiği Kasım 2020'den bu yana Bitcoin'in en iyi yıllarından birine şahit olduk. Bu yılın başlarında, analistler, yatırımcılar ve
koinfinans.com",1,0,6,,1228
KoinFinans,@KoinFinans,2021-08-08T08:23:02.000Z,"Bitcoin 45.000 Dolar’ın Üzerine Çıktı! İşte Dikkat Edilmesi Gereken Seviyeler 

#Bitcoin #BTC #kriptopara #haber","Bitcoin 45.000 Dolar'ın Üzerine Çıktı! İşte Dikkat Edilmesi Gereken Seviyeler
Nihayet beklenen oldu ve Bitcoin, bir dizi direnç seviyesini kırdıktan sonra 45.000 dolar seviyesinin üzerine çıkmayı başardı. Mayıs ayındaki düşüşten bu
koinfinans.com",0,0,3,"[""['Bitcoin', 'BTC', 'kriptopara', 'haber']""]",15108
KoinFinans,@KoinFinans,2021-08-01T20:33:11.000Z,"Bitcoin’de Düşüş Bekleyen Analist Fikrini Değiştirdi! İşte Analistin Yeni Yatırım Stratejisi 

#Bitcoin #BTC #kriptopara #haber","Bitcoin'de Düşüş Bekleyen Analist Fikrini Değiştirdi! İşte Analistin Yeni Yatırım Stratejisi
Popüler bir kripto trader'ı ve analisti, önde gelen kripto para birimi 42.000 dolar'a ulaştığı için Bitcoin (BTC) tahmininde değişikliğe gitti. Cantering
koinfinans.com",0,1,7,,1191
KoinMedya,@koinmedya_,2021-07-29T16:30:38.000Z,Blockchain oyunlarının yükselişi – Bir oyuna 4.5 milyon dolarlık yatırım https://buff.ly/3l8VAIl #blockchain #kriptopara #nft #oyun #btc #bitcoin #eth,,0,1,5,,3438
KoinMedya,@koinmedya_,2021-07-29T16:30:38.000Z,Blockchain oyunlarının yükselişi – Bir oyuna 4.5 milyon dolarlık yatırım https://buff.ly/3l8VAIl #blockchain #kriptopara #nft #oyun #btc #bitcoin #eth,,0,1,5,"[""['blockchain', 'kriptopara', 'nft', 'oyun', 'btc', 'bitcoin', 'eth']""]",4653
Madencilik Türkiye Dergisi,@MadencilikTR,2021-07-13T13:49:51.000Z,"Erdal Can Alkoçlar: “Tokenizasyon, Madenciliğin Geleceğidir.” https://madencilikturkiye.com/erdal-can-alkoclar-tokenizasyon-madenciligin-gelecegidir/… 

#maden #madencilik #bitcoin #proje #tokenizasyon #teknoloji #bist100","Erdal Can Alkoçlar: “Tokenizasyon, Madenciliğin Geleceğidir.”
Son dönemde Bitcoin öncülüğünde gündeme gelen blockchain (blok zincir) teknolojisi ve tokenizasyon gibi kavramlar birçok farklı iş koluna entegre...
madencilikturkiye.com",,8,8,"[""['maden', 'madencilik', 'bitcoin', 'proje', 'tokenizasyon', 'teknoloji', 'bist100']""]",27193
KoinFinans,@KoinFinans,2021-08-01T18:38:10.000Z,"Bitcoin Mevcut Yükselişi: Boğa Koşusu Mu Boğa Tuzağı Mı?

#Bitcoin #BTC #kriptopara #haber","Bitcoin Mevcut Yükselişi: Boğa Koşusu Mu Boğa Tuzağı Mı?
Boğaların harekete geçtiği Kasım 2020'den bu yana Bitcoin'in en iyi yıllarından birine şahit olduk. Bu yılın başlarında, analistler, yatırımcılar ve
koinfinans.com",1,,6,,1228
KoinFinans,@KoinFinans,2021-08-08T08:23:02.000Z,"Bitcoin 45.000 Dolar’ın Üzerine Çıktı! İşte Dikkat Edilmesi Gereken Seviyeler 

#Bitcoin #BTC #kriptopara #haber","Bitcoin 45.000 Dolar'ın Üzerine Çıktı! İşte Dikkat Edilmesi Gereken Seviyeler
Nihayet beklenen oldu ve Bitcoin, bir dizi direnç seviyesini kırdıktan sonra 45.000 dolar seviyesinin üzerine çıkmayı başardı. Mayıs ayındaki düşüşten bu
koinfinans.com",,,3,"[""['Bitcoin', 'BTC', 'kriptopara', 'haber']""]",15108
KoinFinans,@KoinFinans,2021-08-01T20:33:11.000Z,"Bitcoin’de Düşüş Bekleyen Analist Fikrini Değiştirdi! İşte Analistin Yeni Yatırım Stratejisi 

#Bitcoin #BTC #kriptopara #haber","Bitcoin'de Düşüş Bekleyen Analist Fikrini Değiştirdi! İşte Analistin Yeni Yatırım Stratejisi
Popüler bir kripto trader'ı ve analisti, önde gelen kripto para birimi 42.000 dolar'a ulaştığı için Bitcoin (BTC) tahmininde değişikliğe gitti. Cantering
koinfinans.com",,1,7,,1191
