username,twhandle,postdate,content,responding,reply,retweet,like
OfficeCentral Indonesia,@PtAwani,2021-07-26T06:34:43.000Z,"Do what you want to do. Do what you like to do.
Lei Jun (Founder Xiaomi)
#quotes #quotesoftheday #Indonesia #Crazyrich #ERP #OfficeCentral  #HR #Akuntansi #CRM #UKM #Entrepreneur #Business #LokalBusiness #Bisnis #Ekonomi #OfficeCentralCommunity #inspire #inspiration",,,1,
꒰ XiX ꒱ ˖♡ got limited,@BiBajiChi,2021-07-31T05:24:41.000Z,rip xix's wish to drive around in her car but unfortunately cant be granted because theyre more scared to drive any vehicles,,3,,5
꒰ XiX ꒱ ˖♡ got limited,@BiBajiChi,2021-07-31T05:24:41.000Z,but if im using the public transport then im contributing to the country's economy #ekonomi #im4u #FaizalTahir #Aircond #youmadgetrekt,,,,1
Yalçın Diyar,@ydiyaryd,2021-07-28T22:27:04.000Z,Turkish defense firm inks largest-ever armored vehicle export deal http://sabahdai.ly/_ut1 #business #defence #defenceindustry #Turkey #Kenya #economy #ekonomi,"Turkish defense firm inks largest-ever armored vehicle export deal
Turkish defense firm Katmerciler has signed a contract with Kenya’s Defense Ministry to provide the African country with armored vehicle products...
dailysabah.com",,,3
Yalçın Diyar,@ydiyaryd,2021-07-29T22:37:09.000Z,Trendyol due to become Turkey’s first ‘decacorn’ with $16.5B valuation http://sabahdai.ly/_uvv #Turkey #business #tech #economy #ecommerce #ekonomi,"Trendyol due to become Turkey’s first ‘decacorn’ with $16.5B valuation
Turkish e-commerce giant Trendyol is close to raising new funding that will see its valuation reach $16.5 billion (TL 140 billion), Bloomberg reported...
dailysabah.com",,,
KBR,@beritaKBR,2021-08-02T08:19:50.000Z,"""Kalau dilihat komoditas penyumbang inflasi di Sorong di antaranya kenaikan harga komoditas ikan kembung dengan andil 0,52 persen, kenaikan harga cabai rawit yang mengambil andil 0,22 persen"" Kepala 
@bps_statistics
 Margo Yuwono.

#Inflasi #Ekonomi","BPS: Inflasi Juli 0,08 Persen - kbr.id
Kalau dilihat komoditas penyumbang inflasi di Sorong di antaranya kenaikan harga komoditas ikan kembung dengan andil 0,52 persen, kenaikan harga cabai rawit yang mengambil andil 0,22 persen
kbr.id",,,
Dünya Samsun,@DunyaSamsun,2021-07-26T07:03:20.000Z,"Ulusoy Un günlük üretimini 2700 tona çıkaracak
#üretim #ekonomi #ulusoyun",,,2,3
Branding Türkiye,@brandingtrcom,2021-07-26T16:02:52.000Z,"Ekonomik Güven Endeksi (Haziran 2021)

 https://bit.ly/3eXfthK
#BrandingTürkiye #Raporlar #Haberler #EkonomikGüvenEndeksi #TÜİK #Ekonomi #Zam #BuSabah",,,,4
Radio Sonora Jakarta,@SonoraFM92,2021-07-29T03:13:51.000Z,"10.13 #BeritaSONORA - “20 menit” sebenarnya lebih dari cukup untuk merenungkan kembali apakah kita memiliki ”sense of crisis” di tengah pandemi Covid-19 ini. #Ekonomi #AdadiKompas 
@hariankompas","""20 Menit""
“20 menit” sebenarnya lebih dari cukup untuk merenungkan kembali apakah kita memiliki ""sense of crisis"" di tengah pandemi Covid-19 ini.
kompas.id",,,
Genç EFD,@gencegefinans,2021-07-25T12:37:15.000Z,"Okuma Köşesi  Malcolm Gladwell - Blink

#okumakosesi #kitap #kitaptavsiyesi #blink #ekonomi #isletme #okumaköşesi #beraberokuyalım #gencefd",,,,7
olay.com.tr,@OlayHaber_Bursa,2021-08-02T08:23:14.000Z,"Zam pazarlığında ilk toplantı

https://olay.com.tr/zam-pazarliginda-ilk-toplanti-826680… #haber #sondakika #Ekonomi",,,,
Yeni Mesaj Gazetesi,@yenimesaj,2021-07-26T13:43:51.000Z,"Avrupa’nın en ucuz benzini orada

https://yenimesaj.com.tr/avrupanin-en-ucuz-benzini-orada-H1400917.htm…

#Ekonomi #pazartesi",,,2,3
Doğru Veri,@dogru_veri,2021-07-29T10:02:04.000Z,"Y KUŞAĞINDA MALİ ENDİŞELER VE DAVRANIŞLAR

#ykuşağı #ekonomi",,,1,8
MrdEconomy,@EconomyMrd,2021-07-26T15:49:04.000Z,"Kapanış Bülteni - 26.07.2021 Pazartesi
#ekonomi #borsa",,,,1
MrdEconomy,@EconomyMrd,2021-07-30T20:42:16.000Z,"Döviz Ekranı - 30.07.2021 Cuma
#ekonomi #döviz",,,,3
angga,@jangrangga2,2021-07-30T07:28:33.000Z,#Ekonomi #IndonesiaMaju,,,,
Erzurum Mikrofinans Şubesi,@tgmperzurum,2021-07-29T05:05:29.000Z,#tgmp #erzurum #finans #18temmuz #MCT #microcredittoken #kadin #mikrofinans #girişimci #ekonomi,,,,4
angga,@jangrangga2,2021-07-30T07:28:42.000Z,#Ekonomi #IndonesiaMaju,,,,
dika.reza,@dikareza6,2021-07-30T06:10:19.000Z,"Pengawasan Penyaluran Bantuan Sosial
#Ekonomi #Indonesia #Bansos",,,,1
MrdEconomy,@EconomyMrd,2021-07-26T19:10:43.000Z,"Döviz Ekranı - 26.07.2021 Pazartesi
#ekonomi #döviz",,,,
Sariagri.id,@sariagri_id,2021-08-02T02:47:00.000Z,"Nilai tukar rupiah terhadap dolar AS di pasar spot pada pembukaan transaksi awal Agustus ini, Senin (2/8), menguat 4 poin atau 0,02 persen ke posisi Rp14.458.

https://news.sariagri.id/76049/rupiah-masih-di-jalur-penguatan…

#sariagri #ihsg #ekonomi","Rupiah Masih di Jalur Penguatan - News sariagri.id
Nilai tukar rupiah terhadap dolar AS di pasar spot pada pembukaan transaksi awal Agustus ini, Senin (2/8), menguat 4 poin atau 0,02 persen ke posisi Rp14.458.
news.sariagri.id",,,
dika.reza,@dikareza6,2021-07-30T06:10:15.000Z,"Pengawasan Penyaluran Bantuan Sosial
#Ekonomi #Indonesia #Bansos",,,,1
Pusula Finans,@PusulaFinans,2021-07-28T09:07:17.000Z,"Yerli doğalgazda ilk ateş bugün çıkıyor. 
#ekonomi #dogalgaz",,,1,1
chacaliz,@elischaca,2021-07-30T07:27:43.000Z,#Ekonomi #IndonesiaMaju,,,,
