username,twhandle,postdate,content,responding,reply,retweet,like
Digital Health Portal,@digithealthport,2021-07-28T18:56:47.000Z,The future of AR shopping experience #HoloNext #AugmentedReality #AR #XR #VirtualReality #shopping #ecommerce #augmented #MixedReality #online #sanalgerçeklik #mobile #artırılmışgerçeklik #sanal #alışveriş #tech #technology #Teknoloji #Istanbul #Turkey,"From 
HoloNext",1,3,8
osiplatformu,@osiplatformu,2021-08-01T15:01:46.000Z,"Kaynak: Medgaget
Science Daily

#ösip #ösipbülten #haberler #news #medgatget #science #technologynews #technology #teknolojihaberleri #gelecekiçinteknoloji #teknoloji #bilimhaberleri #biomedicalnews #biyomedikalhaberleri #sağlık #sağlıkhaberleri #sağlıkteknolojileri",,,,1
Cheating Spouse,@TamannaIslamMe1,2021-07-27T06:27:01.000Z,"SMS Hack Remotely Without Access To Target Phone : https://blog.spouseware.net/sms-hack-remotely-without-access-to-target-phone/…
#Phone
#Apple
#cybersecurity
#cheating
#linux
#Hackers
#hacking
#machinelearning
#cybersecurity
#teknoloji
#hack
#facebook
#instagram
#hacked
#selfie
#twitter
#aşk
#messi
#leomessi",,,4,
Pişmanlıklar,@pismanlik_lar,2021-07-25T17:00:46.000Z,#teknoloji #kaza #elektrik #pişmanlık,,1,7,65
Notit,@notitbilim,2021-07-25T10:46:36.000Z,"Ay neden bazen gün içinde de görülebilir?

: http://instagram.com/thewanderingtandart…

#DUTlab #notit #bilim #teknoloji #technology #ay #moon #güneş #gökyüzü",,1,,3
Erciyes Otonom,@erciyesotonom,2021-07-26T18:02:16.000Z,"2021 akü sponsorumuz Aküsan’a ve Değerli Ahmet Tutkun Bey’e teşekkür ederek çalışmalarında başarılar dileriz. 
 
#Teknofest2021 #Teknofest #Otonom #ErciyesÜniversitesi #Mühendislik #Bilim #Teknoloji #Akü #Aküsan",Aküsan,,1,5
gülay ekren,@glayekren1,2021-07-27T19:26:32.000Z,"Instagram ve Twitter için gönder etiketleri:

#siyaset #gbp #güçbirliğipartisi #güçbirliğihareketi #AliKarnap #gündem #keşfet #teknoloji #Türkiye #Turkey #medya #sondakika #vatan #millet #politica #politician #politics #ekonomi #birliktegüçlüyüz #birliğingücü #güçbirliği #Ankara",Ali Karnap and 8 others,,2,14
Notit,@notitbilim,2021-07-26T16:12:38.000Z,"Kıvrılabilir ekranlar aslında uzun zamandır hayatımızdalar.

Yazının devamı sitemizde!

http://notit.dutlab.com/kivrilabilir-ekran-oled/…

#DUTlab #notit #teknoloji #mühendislik",,1,,2
Bilim ve Teknik,@tubitakbiltek,2021-07-31T18:40:31.000Z,"@tubitakbiltek
 AĞUSTOS sayısı bayilerde...
TÜRKİYE’NİN GÖZLEMEVLERİ
KUANTUM MEKANİĞİ VE BEYİN
NANOSANAT ESERLERİ
SUZ BUZ GİBİ, YÜZELİM Mİ?
AG ile zenginleştirilmiş GÜNEŞ SİSTEMİ POSTERİ
#bilim ve #teknoloji dolu zengin içerik…
#bilimveteknik #tübitak #nesillerbuyutendergi",,2,3,13
HİDROMEK,@hidromek,2021-07-27T11:08:07.000Z,"HMK 140 LC ile çalışma alanlarınızı artırın!
HMK 140 LC; yüksek performanslı motoru, gücü ve teknolojik donanımları sayesinde birçok alanda ve koşulda sorunsuz ve sürekli çalışma imkanı sağlar.

#HİDROMEK #HMK140LC #H4Serisi #güç #teknoloji #tasarım #işmakinesi #paletliekskavatör",,,2,16
medi,@hale_medi,2021-07-26T22:32:01.000Z,"#Rus uçak mühendisi Alexander Begak, tasarladığı uçan arabayı #MAKS2021 Fuarında tanıttı. Ekolojik araba sadece 80 kg ağırlığında. Hem karada hem havada gidebiliyor, elektrikle çalışıyor. Şarj edildiğinde 400 km. benzin devreye sokulduğunda daha uzun uçabiliyor, 1500 m.",,1,1,5
medi,@hale_medi,2021-07-26T22:32:01.000Z,yüksekliğe çıkabiliyor. Karadan ise tek şarjla 100 km.  gidebiliyor. 33 beygir gücünde. #teknoloji #araba,"Russia: Aircraft designer from Pyatigorsk demonstrates convertible...
Subscribe to our channel! rupt.ly/subscribeAn aircraft designer from Pyatigorsk, Alexander Begak, presented a unique transformer aircraft at the XV Internati...
youtube.com",,,2
Batuhan Ülker,@BatuhanUlker07,2021-07-27T12:20:42.000Z,"#Teknoloji çok hızlı değişiyor.

Yakında cep telefonlarımızı ellerimizle değil, gözlerimizle kontrol edebileceğiz. 

Yeni yeni geliştirilen ve tanıtılan gözlerle telefon kontrol demosu 

Çok ilginç.","0:29
2.6K views",,,90
SWORD,@SS_w_o_R_d,2021-07-29T11:09:48.000Z,"Instagram, 16 Yaş Altı Hesapları Otomatikmen Gizli Hesap Haline Getireceklerini Açıkladı

#instagram #app #private #account #web #security #sibergüvenlik #cybersecurity #device #teknoloji #technology #instagram #socialmedia #haber #news #network",,,,2
Gıda Mühendisleri Derneği,@gidamuhder,2021-08-02T07:36:52.000Z,"| Online Söyleşi 

""İş Zekası Uzmanlığı Kariyer Yolculuğu""

 5 Ağustos 2021 Perşembe
| Online Söyleşi 

#gıdamuhder #gıda #gıdamühendisi #gıdamühendisliği #food #işzekası #teknoloji #bilgi #iletişim #powerbi

Söyleşimiz, Youtube uygulaması üzerinden gerçekleştirilecektir.",,,1,
Prof. Dr. Yusuf Baran,@ProfYusufBaran,2021-08-02T06:48:29.000Z,"#benceiyteyegelmelisin

ÇÜNKÜ;

#%100ingilizceeğitim #teknoloji #inovasyon #girişimcilik #A+Üniversite #yks #yks2021 #yks2021tayfa #izmir #İYTE #aday #üniversite #izmirzamanı",,,,5
Nardatabank Bilişim ve Teknoloji A.Ş.,@Nardatabank,2021-07-28T08:47:03.000Z,"NarDC kurumsal mail servisi ile profesyonel bir şekilde maillerinizi yönetin.
.
.
#NarDC #Kurumsal #Mail #Servisi #Bilişim #Teknoloji #Sunucu #Başarılı #Sistem",,,4,9
Multinet Up,@multinetcomtr,2021-07-27T09:02:04.000Z," “Multinet Up ile Teknoloji Gündemi”nde bu hafta, dünyanın en büyük #teknoloji şirketlerinden Amazon’un yönetimindeki değişiklikten bir haber var.

Amazon'u kurduğu günden beri CEO olarak görev yapan Jeff Bezos, resmi olarak görevinden istifa etti.",,1,,1
Harput Ajans,@ajansharputt,2021-08-02T07:32:53.000Z,"Yaşanabilir akıllı şehirlere dönüşüm yolculuğu sanal konferansı ve fuarını 8-9 eylül tarihlerinde gerçekleştiriyoruz. Detaylı bilgiye http://smartcitiesturkey.com üzerinden ulaşabilirsiniz.

#akıllışehirler #akıllıbelediyecilik #teknoloji #konferans #fuar",,,,
Erciyes Otonom,@erciyesotonom,2021-07-28T13:35:44.000Z,"Bilgi köşemizde bugün; Teknofest 2021 Robotaksi yarışması için üzerine çalıştığımız yerli bileşenlerden biri olan “Şerit Takip Sistemi” nedir bir göz atalım! 

#Teknofest2021 #Teknofest #Otonom #ErciyesÜniversitesi #Mühendislik #Bilim #Teknoloji #şerittakipsistemi",,,1,4
Orhan Samast,@orhansamast,2021-07-30T14:59:29.000Z,"Geleceğe dair en önemli 2 ana başlık
“Çevre ve Teknoloji”.
Gelecek bu iki başlık etrafında şekillenecek. #çevre #teknoloji",,,,10
medi,@hale_medi,2021-07-29T09:17:14.000Z,"Hava sıcaklığının 50 derecenin üzerinde seyrettiği BAE, dronlarla yağmur yağdırıyor. Dronlar, bulutlara lazer ateşlemesi yapıyorlar. Elektrik yüklenen bulutlarda yoğunlaşma oluyor, yağmur olarak yere düşüyor. Geçen hafta bu yolla #Dubai'de yoğun yağış sağlanmış.",,3,2,12
medi,@hale_medi,2021-07-29T09:17:14.000Z,"Ne kadar yağmur yağacağını kontrol altında tutamamak en büyük eksiklik olarak nitelendiriyor, yöntemin sellere yol açma ihtimalinden kaygı duyuluyor. #manavgatyanıyor #iklim #teknoloji #dron","Dubai is coping with its 125-degree heat by using laser-beam-shooting drones to shock rainwater out...
Dubai is desperately in need of more rain. The UAE gets around four inches of rainfall per year, which makes farming close to impossible.
yahoo.com",,,3
Metal Dünyası,@metal_dunyasi,2021-07-30T14:24:53.000Z,"Yeşil Alüminyum-1

Okumak İçin: https://bit.ly/MetalDünyası_TD%C3%BCnyas%C4%B1_Temmuz_ErmanCar…

#yeşil #alüminyum #endüstri #hammadde #madencilik #teknoloji #ermancar #metalurji #metaldünyası #prestijyayıncılık",,,1,4
